"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"1976-12-01T06:00:00.000Z","0.2469","0.2469","0.2407","0.2407","","-15.39","80,896"
"1977-01-03T06:00:00.000Z","0.2469","0.2469","0.1914","0.2037","-15.37","-30.76","9,147,280"
"1978-01-02T06:00:00.000Z","0.2068","0.2161","0.1759","0.1883","-7.56","-22.95","12,774,104"
"1979-01-01T06:00:00.000Z","0.1790","0.2068","0.1667","0.1852","-1.65","-17.03","19,675,552"
"1980-01-01T06:00:00.000Z","0.1852","0.2531","0.1667","0.2346","26.67","11.29","33,152,968"
"1981-01-01T06:00:00.000Z","0.2346","0.2685","0.1759","0.2639","12.49","-2.90","28,112,528"
"1982-01-01T06:00:00.000Z","0.2639","0.3704","0.2269","0.3287","24.55","9.17","24,882,400"
"1983-01-03T06:00:00.000Z","0.3287","0.5278","0.2870","0.5069","54.21","38.83","33,702,900"
"1984-01-02T06:00:00.000Z","0.5000","0.6198","0.4167","0.5885","16.10","0.7115","50,232,992"
"1985-01-01T06:00:00.000Z","0.5833","1.06","0.5313","1.04","76.13","60.74","136,601,880"
"1986-01-01T06:00:00.000Z","1.04","1.28","0.8958","1.07","3.51","-11.87","103,528,796"
"1987-01-01T06:00:00.000Z","1.07","1.46","0.9583","1.14","5.83","-9.56","141,407,896"
"1988-01-01T06:00:00.000Z","1.14","1.17","0.9167","0.9792","-13.76","-29.14","101,984,384"
"1989-01-02T06:00:00.000Z","0.9792","1.57","0.8125","1.56","59.57","44.18","331,247,032"
"1990-01-01T06:00:00.000Z","1.56","1.74","1.15","1.47","-6.00","-21.38","170,904,936"
"1991-01-01T06:00:00.000Z","1.47","2.71","1.35","2.49","69.50","54.11","90,559,308"
"1992-01-01T06:00:00.000Z","2.47","2.98","2.02","2.60","4.60","-10.78","93,062,496"
"1993-01-01T06:00:00.000Z","2.60","2.74","1.91","2.35","-9.60","-24.99","88,395,700"
"1994-01-03T06:00:00.000Z","2.33","2.44","1.39","1.50","-36.28","-51.67","103,609,244"
"1995-01-02T06:00:00.000Z","1.49","2.07","1.42","1.54","2.78","-12.61","81,500,540"
"1996-01-01T06:00:00.000Z","1.54","1.94","1.46","1.91","23.65","8.26","75,088,960"
"1997-01-01T06:00:00.000Z","1.90","2.73","1.80","2.34","22.68","7.29","88,388,536"
"1998-01-01T06:00:00.000Z","2.33","3.00","2.21","2.99","28.06","12.67","96,296,512"
"1999-01-01T06:00:00.000Z","2.97","5.03","2.75","4.45","48.52","33.13","188,979,404"
"2000-01-03T06:00:00.000Z","4.51","4.63","2.45","3.71","-16.63","-32.01","161,747,280"
"2001-01-01T06:00:00.000Z","3.71","4.74","3.26","4.44","19.69","4.30","155,606,328"
"2002-01-01T06:00:00.000Z","4.39","6.08","4.26","5.07","14.27","-1.12","250,922,484"
"2003-01-01T06:00:00.000Z","5.10","6.92","4.60","6.60","30.13","14.75","215,372,944"
"2004-01-01T06:00:00.000Z","6.58","8.41","6.40","8.40","27.35","11.96","253,373,288"
"2005-01-03T06:00:00.000Z","8.39","9.90","8.03","8.26","-1.75","-17.14","291,432,000"
"2006-01-02T06:00:00.000Z","8.28","10.89","8.18","10.66","29.13","13.74","265,379,200"
"2007-01-01T06:00:00.000Z","10.75","14.30","10.59","13.52","26.78","11.39","391,861,140"
"2008-01-01T06:00:00.000Z","13.49","16.39","11.90","14.03","3.79","-11.59","595,902,168"
"2009-01-01T06:00:00.000Z","14.04","15.61","11.35","15.11","7.72","-7.67","622,336,140"
"2010-01-01T06:00:00.000Z","15.14","17.75","14.77","17.25","14.18","-1.21","468,867,820"
"2011-01-03T06:00:00.000Z","17.28","23.23","16.91","22.88","32.60","17.21","405,558,546"
"2012-01-02T06:00:00.000Z","23.00","29.64","22.11","26.79","17.07","1.68","396,784,556"
"2013-01-01T06:00:00.000Z","27.21","33.48","26.90","33.14","23.73","8.34","319,401,876"
"2014-01-01T06:00:00.000Z","33.13","40.48","30.50","39.41","18.90","3.52","355,099,314"
"2015-01-01T06:00:00.000Z","39.45","45.37","38.70","42.44","7.70","-7.68","380,237,776"
"2016-01-01T06:00:00.000Z","41.90","53.68","38.42","44.19","4.12","-11.26","448,255,296"
"2017-01-02T06:00:00.000Z","44.25","54.18","43.21","50.17","13.53","-1.85","432,396,854"
"2018-01-01T06:00:00.000Z","50.07","69.49","44.87","65.76","31.07","15.69","509,639,568"
"2019-01-02T06:00:00.000Z","65.14","80.99","59.64","70.34","6.96","-8.42","406,932,953"
"2020-01-02T06:00:00.000Z","70.38","98.96","47.98","87.23","24.01","8.63","412,908,277"
"2021-01-04T06:00:00.000Z","87.02","103.00","77.62","102.50","17.51","2.12","344,051,868"
"2022-01-03T06:00:00.000Z","101.37","105.28","70.16","80.61","-21.36","-36.74","393,260,414"
"2023-01-03T06:00:00.000Z","80.75","100.52","78.63","96.26","19.41","4.03","237,555,499"
