"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"1982-04-01T06:00:00.000Z","5.81","6.15","3.44","4.92","","-15.67","316,191,233"
"1983-01-03T06:00:00.000Z","4.85","5.72","4.18","4.86","-1.13","-16.80","431,466,318"
"1984-01-02T06:00:00.000Z","4.86","5.06","3.00","4.93","1.43","-14.24","563,620,450"
"1985-01-01T06:00:00.000Z","4.92","7.14","4.83","7.14","44.79","29.11","455,711,908"
"1986-01-01T06:00:00.000Z","7.14","8.58","5.68","6.11","-14.40","-30.07","651,955,418"
"1987-01-01T06:00:00.000Z","6.11","7.72","4.58","4.87","-20.23","-35.90","586,401,723"
"1988-01-01T06:00:00.000Z","4.94","6.15","4.75","5.24","7.41","-8.27","398,620,181"
"1989-01-02T06:00:00.000Z","5.24","7.42","5.10","6.61","26.26","10.59","311,188,814"
"1990-01-01T06:00:00.000Z","6.61","6.74","3.69","4.54","-31.30","-46.97","417,871,553"
"1991-01-01T06:00:00.000Z","4.54","6.86","4.00","6.79","49.54","33.87","365,225,013"
"1992-01-01T06:00:00.000Z","6.69","6.76","5.24","6.51","-4.09","-19.76","341,068,520"
"1993-01-01T06:00:00.000Z","6.53","7.60","6.28","6.97","7.04","-8.64","369,444,273"
"1994-01-03T06:00:00.000Z","7.00","8.22","6.33","7.07","1.39","-14.28","481,753,939"
"1995-01-02T06:00:00.000Z","7.06","12.78","6.92","11.47","62.28","46.61","651,120,218"
"1996-01-01T06:00:00.000Z","11.47","15.93","11.19","15.18","32.32","16.65","552,852,676"
"1997-01-01T06:00:00.000Z","15.19","22.31","14.90","19.15","26.17","10.49","579,224,966"
"1998-01-01T06:00:00.000Z","19.22","27.46","18.67","25.77","34.56","18.88","432,624,422"
"1999-01-01T06:00:00.000Z","26.33","32.87","21.15","26.85","4.20","-11.47","575,059,120"
"2000-01-03T06:00:00.000Z","26.77","45.58","20.25","44.10","64.22","48.55","631,753,993"
"2001-01-01T06:00:00.000Z","44.43","44.98","23.29","30.88","-29.97","-45.64","727,452,847"
"2002-01-01T06:00:00.000Z","30.83","37.00","11.38","13.71","-55.62","-71.29","881,795,672"
"2003-01-01T06:00:00.000Z","13.71","19.53","13.03","19.17","39.84","24.16","970,285,499"
"2004-01-01T06:00:00.000Z","19.19","27.76","17.63","27.19","41.86","26.19","903,892,406"
"2005-01-03T06:00:00.000Z","27.18","39.94","26.04","37.23","36.94","21.27","810,807,188"
"2006-01-02T06:00:00.000Z","37.30","44.59","29.35","43.86","17.79","2.12","946,701,653"
"2007-01-01T06:00:00.000Z","44.28","57.61","42.33","53.73","22.51","6.84","584,383,977"
"2008-01-01T06:00:00.000Z","53.80","56.98","8.00","16.85","-68.64","-84.31","918,272,976"
"2009-01-01T06:00:00.000Z","16.91","38.12","12.68","35.27","109.32","93.65","1,212,085,837"
"2010-01-01T06:00:00.000Z","35.27","39.26","29.12","36.66","3.94","-11.73","865,793,380"
"2011-01-03T06:00:00.000Z","36.86","52.95","36.76","42.00","14.57","-1.11","749,733,465"
"2012-01-02T06:00:00.000Z","42.82","54.53","39.01","53.46","27.29","11.61","691,137,196"
"2013-01-01T06:00:00.000Z","54.10","88.57","53.91","87.48","63.64","47.96","435,546,607"
"2014-01-01T06:00:00.000Z","86.99","105.73","73.47","102.91","17.64","1.97","431,491,679"
"2015-01-01T06:00:00.000Z","103.64","170.68","100.67","146.33","42.19","26.52","506,292,007"
"2016-01-01T06:00:00.000Z","144.71","148.99","115.03","133.39","-8.84","-24.52","361,956,171"
"2017-01-02T06:00:00.000Z","133.91","212.46","133.52","203.09","52.25","36.58","337,944,501"
"2018-01-01T06:00:00.000Z","204.14","227.13","163.02","189.92","-6.48","-22.16","611,317,608"
"2019-01-02T06:00:00.000Z","187.69","207.28","141.95","204.49","7.67","-8.00","593,976,998"
"2020-01-02T06:00:00.000Z","205.39","224.96","118.50","208.18","1.80","-13.87","534,779,198"
"2021-01-04T06:00:00.000Z","209.14","272.81","190.88","229.63","10.30","-5.37","475,295,046"
"2022-01-03T06:00:00.000Z","229.49","340.11","213.16","331.34","44.29","28.62","450,525,650"
"2023-01-03T06:00:00.000Z","327.36","327.91","240.50","276.67","-16.50","-32.17","281,995,523"
