"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"1972-12-01T06:00:00.000Z","1.83","1.83","1.76","1.76","","-12.46","146,569"
"1973-01-01T06:00:00.000Z","1.69","1.85","0.6284","0.6970","-60.39","-72.85","13,142,416"
"1974-01-01T06:00:00.000Z","0.7198","0.9027","0.3542","0.3656","-47.55","-60.00","6,957,125"
"1975-01-01T06:00:00.000Z","0.3656","0.6399","0.3656","0.5142","40.65","28.19","7,210,993"
"1976-01-01T06:00:00.000Z","0.5085","0.9084","0.5085","0.9084","76.66","64.21","7,606,068"
"1977-01-03T06:00:00.000Z","0.9198","0.9655","0.7770","0.8455","-6.92","-19.38","8,374,472"
"1978-01-02T06:00:00.000Z","0.8398","1.29","0.8227","1.14","35.14","22.68","11,288,105"
"1979-01-01T06:00:00.000Z","1.14","1.62","1.14","1.39","22.00","9.55","10,626,276"
"1980-01-01T06:00:00.000Z","1.37","1.87","1.07","1.68","20.49","8.03","15,674,927"
"1981-01-01T06:00:00.000Z","1.69","2.17","1.66","1.78","6.13","-6.33","16,361,924"
"1982-01-01T06:00:00.000Z","1.78","2.26","1.37","2.16","21.15","8.69","21,441,888"
"1983-01-03T06:00:00.000Z","2.16","3.39","2.16","3.18","47.09","34.64","22,013,555"
"1984-01-02T06:00:00.000Z","3.18","3.48","2.51","3.46","8.99","-3.47","25,639,682"
"1985-01-01T06:00:00.000Z","3.46","5.76","3.45","5.46","57.76","45.30","45,985,528"
"1986-01-01T06:00:00.000Z","5.46","7.30","5.42","5.69","4.18","-8.27","43,310,743"
"1987-01-01T06:00:00.000Z","5.69","6.90","3.34","3.59","-36.95","-49.40","71,043,016"
"1988-01-01T06:00:00.000Z","3.59","5.58","3.59","4.82","34.39","21.94","51,887,497"
"1989-01-02T06:00:00.000Z","4.82","7.56","4.82","7.27","50.71","38.25","51,342,679"
"1990-01-01T06:00:00.000Z","7.27","8.20","5.90","7.68","5.66","-6.80","93,690,587"
"1991-01-01T06:00:00.000Z","7.68","11.22","7.11","9.83","27.98","15.52","34,849,925"
"1992-01-01T06:00:00.000Z","9.83","17.21","9.78","16.80","70.93","58.48","40,888,590"
"1993-01-01T06:00:00.000Z","16.66","18.30","13.71","14.67","-12.65","-25.11","43,882,021"
"1994-01-03T06:00:00.000Z","14.88","15.97","12.61","14.12","-3.74","-16.19","35,923,777"
"1995-01-02T06:00:00.000Z","14.12","19.22","13.92","18.79","33.03","20.58","45,174,683"
"1996-01-01T06:00:00.000Z","18.64","19.80","16.10","19.61","4.40","-8.06","49,432,401"
"1997-01-01T06:00:00.000Z","19.58","42.78","18.75","42.55","116.96","104.50","82,637,219"
"1998-01-01T06:00:00.000Z","42.33","42.55","27.66","33.22","-21.94","-34.39","64,612,817"
"1999-01-01T06:00:00.000Z","33.39","38.55","27.32","28.29","-14.85","-27.30","75,408,638"
"2000-01-03T06:00:00.000Z","28.00","39.29","23.75","35.88","26.85","14.40","99,381,756"
"2001-01-01T06:00:00.000Z","35.88","38.94","30.84","34.60","-3.57","-16.03","96,593,201"
"2002-01-01T06:00:00.000Z","34.50","42.90","29.41","34.06","-1.57","-14.03","120,034,692"
"2003-01-01T06:00:00.000Z","34.29","38.01","30.00","37.87","11.19","-1.27","101,127,369"
"2004-01-01T06:00:00.000Z","37.80","43.52","36.57","42.15","11.31","-1.14","103,218,835"
"2005-01-03T06:00:00.000Z","42.42","45.95","38.38","44.68","6.00","-6.46","106,184,906"
"2006-01-02T06:00:00.000Z","44.96","49.19","41.21","45.31","1.41","-11.05","113,984,044"
"2007-01-01T06:00:00.000Z","45.35","48.45","36.00","39.54","-12.73","-25.19","180,212,901"
"2008-01-01T06:00:00.000Z","39.26","40.24","13.68","29.07","-26.48","-38.94","345,664,914"
"2009-01-01T06:00:00.000Z","29.11","29.66","17.84","26.24","-9.74","-22.19","357,933,888"
"2010-01-01T06:00:00.000Z","26.42","32.27","25.25","31.69","20.77","8.31","272,901,032"
"2011-01-03T06:00:00.000Z","32.04","34.33","23.65","30.46","-3.88","-16.34","335,830,527"
"2012-01-02T06:00:00.000Z","31.13","40.96","30.06","39.16","28.56","16.11","246,653,109"
"2013-01-01T06:00:00.000Z","39.91","53.74","39.60","52.37","33.73","21.28","163,518,224"
"2014-01-01T06:00:00.000Z","52.15","55.35","44.90","51.83","-1.03","-13.49","148,031,929"
"2015-01-01T06:00:00.000Z","52.00","61.59","49.72","59.17","14.16","1.71","152,362,686"
"2016-01-01T06:00:00.000Z","58.11","79.60","53.64","75.75","28.02","15.56","162,788,340"
"2017-01-02T06:00:00.000Z","76.26","81.98","68.24","74.97","-1.03","-13.49","130,852,344"
"2018-01-01T06:00:00.000Z","75.37","82.86","66.33","77.42","3.27","-9.19","145,122,800"
"2019-01-02T06:00:00.000Z","76.60","118.19","74.26","105.15","35.82","23.36","167,963,611"
"2020-01-02T06:00:00.000Z","105.62","115.53","46.07","87.37","-16.91","-29.37","268,942,767"
"2021-01-04T06:00:00.000Z","87.82","127.25","82.62","113.93","30.40","17.94","156,941,418"
"2022-01-03T06:00:00.000Z","114.36","143.22","88.66","102.39","-10.13","-22.59","182,980,937"
"2023-01-03T06:00:00.000Z","102.40","130.66","95.01","106.48","3.99","-8.46","114,625,728"
