"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"1972-12-01T06:00:00.000Z","0.0610","0.0610","0.0561","0.0561","","-21.39","1,331,310"
"1973-01-01T06:00:00.000Z","0.0549","0.0549","0.0146","0.0171","-69.52","-90.91","11,937,004"
"1974-01-01T06:00:00.000Z","0.0146","0.0244","0.0073","0.0122","-28.65","-50.05","8,348,716"
"1975-01-01T06:00:00.000Z","0.0122","0.0317","0.0122","0.0244","100.00","78.61","8,942,618"
"1976-01-01T06:00:00.000Z","0.0244","0.0366","0.0219","0.0366","50.00","28.61","9,218,084"
"1977-01-03T06:00:00.000Z","0.0366","0.0537","0.0366","0.0537","46.72","25.33","21,024,882"
"1978-01-02T06:00:00.000Z","0.0537","0.1488","0.0488","0.1219","127.00","105.61","45,062,594"
"1979-01-01T06:00:00.000Z","0.1219","0.2805","0.1195","0.2658","118.05","96.65","61,841,328"
"1980-01-01T06:00:00.000Z","0.2585","0.4755","0.1853","0.4390","65.16","43.77","83,260,156"
"1981-01-01T06:00:00.000Z","0.4426","0.6036","0.3804","0.4445","1.25","-20.14","58,636,256"
"1982-01-01T06:00:00.000Z","0.4445","0.5926","0.3128","0.5761","29.61","8.21","57,210,390"
"1983-01-03T06:00:00.000Z","0.5761","0.8313","0.5597","0.7737","34.30","12.91","212,168,116"
"1984-01-02T06:00:00.000Z","0.7737","1.02","0.5597","0.9938","28.45","7.05","205,734,634"
"1985-01-01T06:00:00.000Z","0.9938","1.85","0.9815","1.66","66.77","45.38","312,344,578"
"1986-01-01T06:00:00.000Z","1.65","2.24","1.27","1.27","-23.46","-44.86","295,889,582"
"1987-01-01T06:00:00.000Z","1.27","2.01","1.19","1.82","43.80","22.41","517,311,384"
"1988-01-01T06:00:00.000Z","1.82","2.06","0.9907","1.24","-31.98","-53.38","616,375,240"
"1989-01-02T06:00:00.000Z","1.23","2.21","1.21","1.86","50.00","28.61","693,405,224"
"1990-01-01T06:00:00.000Z","1.86","1.96","0.8472","1.46","-21.64","-43.04","509,857,372"
"1991-01-01T06:00:00.000Z","1.46","2.03","1.21","1.86","27.62","6.23","454,194,462"
"1992-01-01T06:00:00.000Z","1.82","2.19","1.50","2.15","15.67","-5.72","672,127,442"
"1993-01-01T06:00:00.000Z","2.15","4.69","1.94","4.04","87.74","66.35","1,180,852,510"
"1994-01-03T06:00:00.000Z","4.01","4.04","2.29","2.56","-36.60","-57.99","572,333,750"
"1995-01-02T06:00:00.000Z","2.60","3.75","2.29","2.94","14.63","-6.76","371,927,094"
"1996-01-01T06:00:00.000Z","2.96","3.52","2.29","2.94","","-21.39","441,101,944"
"1997-01-01T06:00:00.000Z","2.96","5.52","2.40","5.31","80.85","59.46","454,291,084"
"1998-01-01T06:00:00.000Z","5.30","9.83","4.92","9.57","80.20","58.80","483,008,132"
"1999-01-01T06:00:00.000Z","9.63","18.21","9.35","15.96","66.70","45.31","385,788,534"
"2000-01-03T06:00:00.000Z","16.15","17.46","9.31","13.77","-13.71","-35.10","155,875,080"
"2001-01-01T06:00:00.000Z","13.65","15.27","10.62","12.00","-12.86","-34.25","79,949,340"
"2002-01-01T06:00:00.000Z","12.01","12.52","5.68","7.86","-34.53","-55.92","1,518,346,886"
"2003-01-01T06:00:00.000Z","7.81","11.62","7.81","10.93","39.12","17.72","6,141,797,484"
"2004-01-01T06:00:00.000Z","10.97","12.17","8.75","11.09","1.49","-19.90","6,045,457,352"
"2005-01-03T06:00:00.000Z","11.09","11.50","8.60","8.64","-22.12","-43.51","7,010,979,462"
"2006-01-02T06:00:00.000Z","8.68","14.47","8.45","14.11","63.31","41.92","7,948,058,432"
"2007-01-01T06:00:00.000Z","14.13","15.09","8.69","9.13","-35.29","-56.69","11,336,484,458"
"2008-01-01T06:00:00.000Z","9.15","11.43","6.25","8.44","-7.56","-28.95","12,200,344,650"
"2009-01-01T06:00:00.000Z","8.36","9.05","5.55","8.43","-0.1185","-21.51","11,957,276,920"
"2010-01-01T06:00:00.000Z","8.38","11.20","7.55","10.98","30.31","8.91","11,140,788,466"
"2011-01-03T06:00:00.000Z","11.09","13.58","9.60","11.86","7.92","-13.47","9,106,433,248"
"2012-01-02T06:00:00.000Z","12.14","19.11","12.14","18.68","57.57","36.18","6,562,160,540"
"2013-01-01T06:00:00.000Z","19.02","26.05","18.61","25.98","39.09","17.70","5,848,912,576"
"2014-01-01T06:00:00.000Z","25.90","29.65","23.87","29.00","11.63","-9.76","7,454,588,238"
"2015-01-01T06:00:00.000Z","29.00","32.49","25.00","28.21","-2.72","-24.12","7,071,640,814"
"2016-01-01T06:00:00.000Z","27.57","35.66","26.17","34.52","22.36","0.9698","5,145,888,192"
"2017-01-02T06:00:00.000Z","34.84","42.18","34.12","40.05","16.00","-5.39","5,109,226,253"
"2018-01-01T06:00:00.000Z","40.39","44.00","30.43","34.05","-14.98","-36.38","6,234,277,839"
"2019-01-02T06:00:00.000Z","33.49","47.27","33.42","44.97","32.07","10.68","4,576,378,241"
"2020-01-02T06:00:00.000Z","45.36","52.49","31.70","52.40","16.52","-4.87","5,375,095,954"
"2021-01-04T06:00:00.000Z","52.28","61.80","46.29","50.33","-3.95","-25.34","4,376,276,190"
"2022-01-03T06:00:00.000Z","49.98","52.10","28.39","34.97","-30.52","-51.91","6,185,853,068"
"2023-01-03T06:00:00.000Z","34.94","47.45","34.63","45.73","30.77","9.38","3,122,980,779"
