"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"1968-01-01T06:00:00.000Z","4.28","6.03","4.28","5.13","","-14.45","6,116,800"
"1969-01-01T06:00:00.000Z","5.06","5.45","4.19","4.47","-12.80","-27.26","4,589,600"
"1970-01-01T06:00:00.000Z","4.53","4.80","3.25","4.44","-0.7004","-15.15","4,200,000"
"1971-01-01T06:00:00.000Z","4.50","7.00","4.45","6.64","49.65","35.19","13,655,200"
"1972-01-03T06:00:00.000Z","6.69","8.63","6.11","7.42","11.77","-2.69","13,468,800"
"1973-01-01T06:00:00.000Z","7.42","7.48","3.66","3.92","-47.16","-61.61","12,180,800"
"1974-01-01T06:00:00.000Z","3.92","4.72","1.45","2.03","-48.21","-62.66","7,506,400"
"1975-01-01T06:00:00.000Z","2.03","3.19","1.97","2.44","20.00","5.55","10,330,400"
"1976-01-01T06:00:00.000Z","2.45","6.09","2.45","6.06","148.72","134.26","20,836,000"
"1977-01-03T06:00:00.000Z","6.06","7.31","4.38","4.77","-21.39","-35.85","35,597,600"
"1978-01-02T06:00:00.000Z","4.77","5.34","3.67","4.16","-12.79","-27.24","26,145,600"
"1979-01-01T06:00:00.000Z","4.16","4.91","3.48","3.88","-6.77","-21.22","27,048,800"
"1980-01-01T06:00:00.000Z","3.88","4.59","3.23","3.78","-2.42","-16.87","17,752,800"
"1981-01-01T06:00:00.000Z","3.78","7.34","3.75","4.44","17.36","2.90","44,292,000"
"1982-01-01T06:00:00.000Z","4.44","6.16","3.25","6.09","37.33","22.87","30,475,200"
"1983-01-03T06:00:00.000Z","6.09","10.19","5.95","10.06","65.13","50.67","57,828,000"
"1984-01-02T06:00:00.000Z","10.06","11.03","7.66","9.70","-3.57","-18.02","72,072,800"
"1985-01-01T06:00:00.000Z","9.70","11.06","7.28","9.00","-7.25","-21.70","75,628,800"
"1986-01-01T06:00:00.000Z","9.00","9.84","6.41","8.39","-6.77","-21.22","101,603,200"
"1987-01-01T06:00:00.000Z","8.39","11.84","5.09","5.91","-29.61","-44.06","132,332,000"
"1988-01-01T06:00:00.000Z","5.95","8.50","5.39","8.03","35.98","21.53","134,426,400"
"1989-01-02T06:00:00.000Z","8.03","9.03","6.00","6.34","-21.01","-35.46","133,431,200"
