"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"1968-01-01T06:00:00.000Z","43.38","46.38","36.25","45.13","","-6.04","1,518,400"
"1969-01-01T06:00:00.000Z","44.88","44.88","31.75","33.50","-25.76","-31.81","2,101,800"
"1970-01-01T06:00:00.000Z","33.88","38.50","27.75","35.38","5.60","-0.4467","2,169,100"
"1971-01-01T06:00:00.000Z","35.38","37.25","28.75","31.50","-10.95","-17.00","3,227,400"
"1972-01-03T06:00:00.000Z","31.63","32.75","27.13","29.00","-7.94","-13.98","3,491,500"
"1973-01-01T06:00:00.000Z","29.00","30.38","21.00","22.75","-21.55","-27.60","2,565,300"
"1974-01-01T06:00:00.000Z","22.75","24.88","9.00","9.88","-56.59","-62.64","4,259,400"
"1975-01-01T06:00:00.000Z","9.88","19.25","9.88","19.00","92.41","86.36","5,602,000"
"1976-01-01T06:00:00.000Z","19.00","22.75","19.00","22.63","19.08","13.04","7,199,500"
"1977-01-03T06:00:00.000Z","22.63","25.88","20.88","24.13","6.63","0.5861","9,229,300"
"1978-01-02T06:00:00.000Z","24.00","25.25","20.13","22.38","-7.25","-13.30","7,392,100"
"1979-01-01T06:00:00.000Z","22.38","23.63","18.50","18.88","-15.64","-21.69","9,259,300"
"1980-01-01T06:00:00.000Z","18.88","21.88","15.38","16.63","-11.92","-17.96","16,576,900"
"1981-01-01T06:00:00.000Z","16.63","19.25","15.88","17.13","3.01","-3.04","14,532,500"
"1982-01-01T06:00:00.000Z","17.13","20.00","16.25","19.63","14.60","8.55","27,087,000"
"1983-01-03T06:00:00.000Z","19.63","21.88","13.13","14.13","-28.03","-34.07","50,615,200"
"1984-01-02T06:00:00.000Z","14.25","16.13","4.13","4.63","-67.26","-73.30","61,254,100"
"1985-01-01T06:00:00.000Z","4.63","8.88","4.38","7.50","62.16","56.12","41,948,000"
"1986-01-01T06:00:00.000Z","7.50","17.38","7.50","15.63","108.33","102.29","80,675,300"
"1987-01-01T06:00:00.000Z","15.63","20.00","10.50","13.50","-13.60","-19.64","60,038,500"
"1988-01-01T06:00:00.000Z","13.75","26.50","13.50","24.38","80.56","74.51","39,102,500"
"1989-01-02T06:00:00.000Z","24.25","39.63","22.50","38.00","55.90","49.85","54,172,800"
"1990-01-01T06:00:00.000Z","37.88","38.50","24.88","27.88","-26.64","-32.69","40,465,200"
"1991-01-01T06:00:00.000Z","27.88","33.00","16.63","18.38","-34.08","-40.12","61,014,700"
"1992-01-01T06:00:00.000Z","18.25","22.75","14.88","18.38","","-6.04","77,249,601"
"1993-01-01T06:00:00.000Z","18.38","27.50","18.13","25.13","36.73","30.69","70,333,000"
"1994-01-03T06:00:00.000Z","24.88","25.00","19.63","22.88","-8.96","-15.00","48,320,000"
"1995-01-02T06:00:00.000Z","23.00","30.00","22.63","29.88","30.60","24.56","46,471,500"
"1996-01-01T06:00:00.000Z","29.88","33.75","27.81","33.63","12.55","6.51","48,875,500"
"1997-01-01T06:00:00.000Z","33.63","44.06","31.13","44.06","31.04","25.00","57,916,200"
"1998-01-01T06:00:00.000Z","43.94","50.13","38.75","48.44","9.93","3.89","77,771,700"
"1999-01-01T06:00:00.000Z","48.44","48.44","30.31","31.19","-35.61","-41.66","105,364,602"
"2000-01-03T06:00:00.000Z","30.94","32.25","16.06","31.69","1.60","-4.44","217,074,099"
"2001-01-01T06:00:00.000Z","31.31","31.80","19.49","24.03","-24.17","-30.21","206,046,002"
"2002-01-01T06:00:00.000Z","23.90","24.80","5.45","9.44","-60.72","-66.76","364,781,301"
"2003-01-01T06:00:00.000Z","9.47","10.74","3.41","8.52","-9.75","-15.79","404,523,035"
"2004-01-01T06:00:00.000Z","8.62","10.65","7.81","10.45","22.65","16.61","302,125,499"
"2005-01-03T06:00:00.000Z","10.43","16.80","9.70","14.51","38.85","32.81","556,728,004"
"2006-01-02T06:00:00.000Z","14.57","17.00","12.09","16.70","15.09","9.05","450,418,702"
"2007-01-01T06:00:00.000Z","16.76","19.55","14.98","17.38","4.07","-1.97","573,566,119"
"2008-01-01T06:00:00.000Z","17.33","17.47","8.33","10.11","-41.83","-47.87","868,559,659"
"2009-01-01T06:00:00.000Z","10.18","16.13","9.98","15.66","54.90","48.85","973,117,071"
"2010-01-01T06:00:00.000Z","15.67","19.25","14.09","18.60","18.77","12.73","916,933,464"
"2011-01-03T06:00:00.000Z","18.70","22.37","16.96","22.08","18.71","12.67","764,584,636"
"2012-01-02T06:00:00.000Z","22.32","24.98","21.12","24.38","10.42","4.37","625,622,578"
"2013-01-01T06:00:00.000Z","24.74","29.98","24.60","26.77","9.80","3.76","654,820,809"
"2014-01-01T06:00:00.000Z","26.80","36.87","25.95","34.75","29.81","23.77","589,612,399"
"2015-01-01T06:00:00.000Z","34.90","38.66","31.22","36.08","3.83","-2.22","682,920,041"
"2016-01-01T06:00:00.000Z","35.83","46.25","34.96","41.62","15.35","9.31","553,768,597"
"2017-01-02T06:00:00.000Z","41.64","50.85","41.12","47.30","13.65","7.60","460,381,272"
"2018-01-01T06:00:00.000Z","47.39","53.82","40.48","49.65","4.97","-1.08","673,955,463"
"2019-01-02T06:00:00.000Z","49.52","65.31","47.97","62.84","26.57","20.52","505,245,185"
"2020-01-02T06:00:00.000Z","62.86","69.17","46.03","61.01","-2.91","-8.96","513,850,728"
"2021-01-04T06:00:00.000Z","60.64","65.79","53.19","65.05","6.62","0.5781","468,366,080"
"2022-01-03T06:00:00.000Z","64.98","73.76","52.41","63.33","-2.64","-8.69","488,127,455"
"2023-01-03T06:00:00.000Z","63.50","65.72","54.83","55.39","-12.54","-18.58","327,122,444"
