"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"1969-02-03T06:00:00.000Z","18.33","20.54","6.62","7.71","","-8.27","15,863,765"
"1970-01-01T06:00:00.000Z","7.92","7.92","3.54","6.33","-17.84","-26.11","21,276,109"
"1971-01-01T06:00:00.000Z","6.25","8.50","5.87","8.04","26.97","18.70","27,995,862"
"1972-01-03T06:00:00.000Z","8.12","8.96","5.79","6.71","-16.58","-24.85","25,098,428"
"1973-01-01T06:00:00.000Z","6.79","6.87","2.88","3.00","-55.28","-63.55","32,120,593"
"1974-01-01T06:00:00.000Z","3.00","3.71","0.7500","0.9583","-68.06","-76.33","27,444,463"
"1975-01-01T06:00:00.000Z","0.9583","2.63","0.9167","2.00","108.70","100.43","12,990,040"
"1976-01-01T06:00:00.000Z","2.00","2.92","1.79","2.58","29.16","20.89","15,507,058"
"1977-01-03T06:00:00.000Z","2.54","3.08","2.08","2.67","3.22","-5.05","16,513,558"
"1978-01-02T06:00:00.000Z","2.63","4.58","2.25","3.33","25.00","16.73","40,372,179"
"1979-01-01T06:00:00.000Z","3.38","5.37","3.38","5.33","60.00","51.73","30,874,101"
"1980-01-01T06:00:00.000Z","5.37","6.54","3.79","5.33","","-8.27","8,870,725"
"1981-01-01T06:00:00.000Z","5.33","6.17","3.75","5.00","-6.25","-14.52","5,491,212"
"1982-01-01T06:00:00.000Z","4.92","6.12","3.42","5.79","15.83","7.56","12,282,067"
"1983-01-03T06:00:00.000Z","5.79","7.62","5.67","7.04","21.58","13.31","9,605,741"
"1984-01-02T06:00:00.000Z","7.04","10.67","7.00","10.67","51.48","43.21","12,281,148"
"1985-01-01T06:00:00.000Z","10.67","21.71","10.50","21.50","101.56","93.29","38,800,479"
"1986-01-01T06:00:00.000Z","21.50","25.00","15.75","17.92","-16.67","-24.94","40,899,582"
"1987-01-01T06:00:00.000Z","18.00","22.17","15.67","18.54","3.49","-4.79","45,246,924"
"1988-01-01T06:00:00.000Z","18.54","22.04","17.00","20.17","8.76","0.4902","36,868,142"
"1989-01-02T06:00:00.000Z","20.08","36.25","19.21","32.67","61.98","53.71","29,762,267"
"1990-01-01T06:00:00.000Z","32.67","33.33","16.50","22.87","-29.97","-38.25","23,000,800"
"1991-01-01T06:00:00.000Z","22.87","33.08","20.92","32.67","42.80","34.53","16,031,743"
"1992-01-01T06:00:00.000Z","32.25","34.83","26.17","32.67","","-8.27","14,121,326"
"1993-01-01T06:00:00.000Z","32.71","33.67","24.75","25.83","-20.92","-29.19","14,272,227"
"1994-01-03T06:00:00.000Z","25.75","27.42","20.00","21.62","-16.29","-24.56","38,450,675"
"1995-01-02T06:00:00.000Z","21.71","41.08","21.58","37.83","74.95","66.68","17,057,779"
"1996-01-01T06:00:00.000Z","37.75","39.17","31.92","35.67","-5.73","-14.00","17,649,970"
"1997-01-01T06:00:00.000Z","35.58","44.08","32.12","42.58","19.39","11.12","24,180,716"
"1998-01-01T06:00:00.000Z","42.42","53.31","34.50","40.25","-5.48","-13.75","22,969,126"
"1999-01-01T06:00:00.000Z","40.38","45.31","33.00","38.94","-3.26","-11.53","27,015,100"
"2000-01-03T06:00:00.000Z","39.13","41.94","24.56","38.75","-0.4815","-8.76","24,796,200"
"2001-01-01T06:00:00.000Z","38.75","40.24","23.00","29.17","-24.72","-33.00","53,151,800"
"2002-01-01T06:00:00.000Z","29.40","30.99","21.45","25.60","-12.24","-20.51","47,712,900"
"2003-01-01T06:00:00.000Z","25.95","27.35","18.57","24.10","-5.86","-14.13","63,627,722"
"2004-01-01T06:00:00.000Z","24.40","30.67","21.63","26.75","11.00","2.72","52,863,200"
"2005-01-03T06:00:00.000Z","26.60","35.33","25.64","32.73","22.36","14.08","58,520,600"
"2006-01-02T06:00:00.000Z","32.80","40.82","29.72","40.32","23.19","14.92","87,122,900"
"2007-01-01T06:00:00.000Z","40.31","51.96","32.26","33.72","-16.37","-24.64","127,259,508"
"2008-01-01T06:00:00.000Z","34.00","35.04","8.50","16.44","-51.25","-59.52","169,578,817"
"2009-01-01T06:00:00.000Z","16.40","26.51","6.41","24.00","45.99","37.71","143,796,640"
"2010-01-01T06:00:00.000Z","24.31","29.53","21.71","27.05","12.71","4.43","71,537,571"
"2011-01-03T06:00:00.000Z","27.25","31.53","21.22","26.75","-1.11","-9.38","52,563,659"
"2012-01-02T06:00:00.000Z","27.28","31.50","25.71","28.01","4.71","-3.56","43,389,450"
"2013-01-01T06:00:00.000Z","28.51","42.93","28.49","42.89","53.12","44.85","40,022,867"
"2014-01-01T06:00:00.000Z","42.65","43.65","35.68","38.71","-9.75","-18.02","33,608,783"
"2015-01-01T06:00:00.000Z","38.75","43.65","33.78","35.15","-9.20","-17.47","30,772,646"
"2016-01-01T06:00:00.000Z","34.57","42.27","27.99","41.50","18.07","9.79","41,455,002"
"2017-01-02T06:00:00.000Z","41.55","55.62","39.96","53.05","27.83","19.56","49,108,348"
"2018-01-01T06:00:00.000Z","53.31","55.39","41.49","44.15","-16.78","-25.05","56,571,331"
"2019-01-02T06:00:00.000Z","43.51","50.47","42.28","44.81","1.49","-6.78","54,307,817"
"2020-01-02T06:00:00.000Z","45.11","51.30","25.18","38.96","-13.06","-21.33","72,016,353"
"2021-01-04T06:00:00.000Z","39.00","49.08","37.57","44.08","13.14","4.87","44,239,098"
"2022-01-03T06:00:00.000Z","44.43","50.33","35.90","42.28","-4.08","-12.36","50,536,596"
"2023-01-03T06:00:00.000Z","42.22","45.42","36.17","39.64","-6.24","-14.52","34,576,101"
