"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"1983-01-03T06:00:00.000Z","28.64","41.93","21.56","22.88","","-19.31","7,965,342"
"1984-01-02T06:00:00.000Z","22.88","37.31","17.81","24.75","8.20","-11.11","26,606,764"
"1985-01-01T06:00:00.000Z","24.75","43.13","24.19","40.88","65.15","45.84","19,232,768"
"1986-01-01T06:00:00.000Z","40.88","42.75","21.56","26.25","-35.78","-55.09","25,599,362"
"1987-01-01T06:00:00.000Z","26.25","30.00","8.63","12.75","-51.43","-70.74","23,089,704"
"1988-01-01T06:00:00.000Z","12.75","22.50","7.13","8.06","-36.76","-56.08","29,570,418"
"1989-01-02T06:00:00.000Z","8.06","8.06","3.19","4.88","-39.53","-58.85","17,229,826"
"1990-01-01T06:00:00.000Z","4.88","7.31","3.75","5.44","11.54","-7.77","5,382,754"
"1991-01-01T06:00:00.000Z","5.81","9.19","4.50","5.06","-6.90","-26.21","9,921,044"
"1992-01-01T06:00:00.000Z","5.06","6.56","1.31","1.88","-62.96","-82.27","11,151,298"
"1993-01-01T06:00:00.000Z","1.88","1.88","0.4219","1.03","-45.00","-64.31","12,538,224"
"1994-01-03T06:00:00.000Z","1.03","5.25","0.6562","3.38","227.29","207.98","22,715,370"
"1995-01-02T06:00:00.000Z","3.38","5.63","2.63","3.75","11.11","-8.20","24,004,616"
"1996-01-01T06:00:00.000Z","3.75","8.69","3.19","8.63","130.00","110.69","19,230,000"
"1997-01-01T06:00:00.000Z","8.50","21.00","7.94","20.44","136.96","117.65","41,079,400"
"1998-01-01T06:00:00.000Z","20.56","25.84","7.00","10.34","-49.39","-68.70","63,935,200"
"1999-01-01T06:00:00.000Z","10.44","15.94","5.88","15.06","45.62","26.31","63,503,800"
"2000-01-03T06:00:00.000Z","15.19","20.75","12.50","19.94","32.37","13.05","42,785,400"
"2001-01-01T06:00:00.000Z","19.69","27.86","17.45","24.99","25.34","6.03","79,853,800"
"2002-01-01T06:00:00.000Z","24.99","31.47","19.18","25.02","0.1200","-19.19","116,775,502"
"2003-01-01T06:00:00.000Z","25.25","48.15","23.10","47.13","88.37","69.06","106,469,160"
"2004-01-01T06:00:00.000Z","47.25","75.75","45.75","70.59","49.78","30.47","94,032,600"
"2005-01-03T06:00:00.000Z","70.95","84.70","44.75","51.30","-27.33","-46.64","192,754,706"
"2006-01-02T06:00:00.000Z","51.40","58.94","41.85","44.50","-13.26","-32.57","159,567,599"
"2007-01-01T06:00:00.000Z","43.91","57.59","36.68","38.00","-14.61","-33.92","186,269,405"
"2008-01-01T06:00:00.000Z","37.96","41.66","10.17","16.40","-56.84","-76.15","175,011,521"
"2009-01-01T06:00:00.000Z","16.56","38.99","16.50","38.12","132.44","113.13","166,114,296"
"2010-01-01T06:00:00.000Z","38.26","59.11","34.28","56.34","47.80","28.49","109,609,781"
"2011-01-03T06:00:00.000Z","56.70","84.20","52.60","70.52","25.17","5.86","162,959,613"
"2012-01-02T06:00:00.000Z","71.92","100.92","67.98","92.48","31.14","11.83","111,562,052"
"2013-01-01T06:00:00.000Z","93.75","135.41","93.46","123.84","33.91","14.60","81,788,074"
"2014-01-01T06:00:00.000Z","123.25","171.54","116.95","162.09","30.89","11.58","132,910,742"
"2015-01-01T06:00:00.000Z","162.88","190.00","121.01","134.20","-17.21","-36.52","119,292,156"
"2016-01-01T06:00:00.000Z","132.46","190.99","119.28","174.93","30.35","11.04","123,373,675"
"2017-01-02T06:00:00.000Z","175.68","256.39","174.05","217.88","24.55","5.24","107,674,384"
"2018-01-01T06:00:00.000Z","217.92","283.18","216.47","254.50","16.81","-2.50","101,520,512"
"2019-01-02T06:00:00.000Z","251.54","344.32","241.72","321.29","26.24","6.93","80,233,597"
"2020-01-02T06:00:00.000Z","323.22","371.59","236.68","363.32","13.08","-6.23","79,656,377"
"2021-01-04T06:00:00.000Z","365.00","463.59","353.01","418.94","15.31","-4.00","69,723,195"
"2022-01-03T06:00:00.000Z","428.16","430.67","244.22","330.67","-21.07","-40.38","83,078,271"
"2023-01-03T06:00:00.000Z","333.91","399.62","320.04","364.69","10.29","-9.02","48,545,021"
