"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"1968-01-01T06:00:00.000Z","2.11","2.46","1.73","2.42","","-10.32","179,230,849"
"1969-01-01T06:00:00.000Z","2.41","2.45","1.45","1.55","-35.88","-46.20","207,999,017"
"1970-01-01T06:00:00.000Z","1.59","1.99","1.30","1.81","17.10","6.78","195,345,127"
"1971-01-01T06:00:00.000Z","1.81","2.22","1.72","1.97","8.41","-1.91","154,161,179"
"1972-01-03T06:00:00.000Z","1.94","2.85","1.69","2.85","44.90","34.58","209,563,434"
"1973-01-01T06:00:00.000Z","2.85","4.53","2.60","4.40","54.37","44.05","234,278,206"
"1974-01-01T06:00:00.000Z","4.40","4.59","2.03","2.78","-36.86","-47.18","174,249,548"
"1975-01-01T06:00:00.000Z","2.78","3.88","2.38","3.49","25.44","15.12","187,821,885"
"1976-01-01T06:00:00.000Z","3.49","4.26","3.18","4.25","21.89","11.57","194,680,448"
"1977-01-03T06:00:00.000Z","4.25","4.32","3.31","3.93","-7.37","-17.69","220,855,315"
"1978-01-02T06:00:00.000Z","3.93","4.67","3.44","4.06","3.26","-7.06","177,355,069"
"1979-01-01T06:00:00.000Z","4.06","6.50","3.79","6.17","51.78","41.46","256,809,748"
"1980-01-01T06:00:00.000Z","6.15","8.08","4.83","7.55","22.40","12.08","506,526,345"
"1981-01-01T06:00:00.000Z","7.55","7.64","4.37","5.20","-31.06","-41.38","502,956,965"
"1982-01-01T06:00:00.000Z","5.19","5.24","3.02","4.19","-19.44","-29.76","677,985,307"
"1983-01-03T06:00:00.000Z","4.19","4.99","3.77","4.43","5.75","-4.57","639,074,045"
"1984-01-02T06:00:00.000Z","4.40","7.23","4.29","5.75","29.71","19.39","1,088,493,292"
"1985-01-01T06:00:00.000Z","5.70","6.62","4.24","4.67","-18.71","-29.03","1,428,721,191"
"1986-01-01T06:00:00.000Z","4.67","4.91","3.18","4.53","-3.09","-13.41","566,453,114"
"1987-01-01T06:00:00.000Z","4.53","7.23","3.85","5.40","19.15","8.83","687,944,088"
"1988-01-01T06:00:00.000Z","5.40","8.62","4.67","7.52","39.29","28.97","583,803,740"
"1989-01-02T06:00:00.000Z","7.52","11.61","7.37","9.73","29.49","19.17","554,904,785"
"1990-01-01T06:00:00.000Z","9.73","12.00","8.67","10.07","3.47","-6.85","374,300,830"
"1991-01-01T06:00:00.000Z","10.07","11.37","8.43","9.25","-8.13","-18.45","315,498,122"
"1992-01-01T06:00:00.000Z","9.25","11.13","8.48","9.68","4.69","-5.63","338,215,458"
"1993-01-01T06:00:00.000Z","9.88","14.41","9.44","11.18","15.42","5.10","399,121,678"
"1994-01-03T06:00:00.000Z","11.18","14.36","9.83","12.62","12.93","2.61","365,208,847"
"1995-01-02T06:00:00.000Z","12.62","14.31","11.52","13.15","4.20","-6.12","338,027,634"
"1996-01-01T06:00:00.000Z","13.15","17.68","12.00","17.06","29.67","19.35","419,856,139"
"1997-01-01T06:00:00.000Z","17.10","20.14","14.41","18.74","9.89","-0.4326","400,942,675"
