"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"1986-02-03T06:00:00.000Z","2.52","3.25","1.42","2.23","","-21.45","186,441,600"
"1987-01-01T06:00:00.000Z","2.23","2.54","0.9375","1.38","-38.32","-59.77","186,486,000"
"1988-01-01T06:00:00.000Z","1.40","2.71","1.40","2.65","92.42","70.97","155,139,000"
"1989-01-02T06:00:00.000Z","2.65","5.94","2.63","5.88","122.05","100.60","247,777,800"
"1990-01-01T06:00:00.000Z","5.88","8.17","5.00","8.04","36.88","15.43","385,051,200"
"1991-01-01T06:00:00.000Z","8.04","19.75","7.54","18.58","131.09","109.64","476,198,400"
"1992-01-01T06:00:00.000Z","18.25","21.33","10.13","12.25","-34.08","-55.53","580,177,300"
"1993-01-01T06:00:00.000Z","12.38","12.63","7.50","9.63","-21.43","-42.88","602,716,002"
"1994-01-03T06:00:00.000Z","9.56","10.81","6.25","6.44","-33.12","-54.57","606,680,006"
"1995-01-02T06:00:00.000Z","6.44","9.38","6.00","7.63","18.45","-3.00","472,976,600"
"1996-01-01T06:00:00.000Z","7.63","13.00","7.31","12.56","64.75","43.30","671,043,400"
"1997-01-01T06:00:00.000Z","12.63","22.59","11.88","22.31","77.61","56.16","963,206,392"
"1998-01-01T06:00:00.000Z","22.31","38.06","20.63","36.09","61.76","40.31","978,338,196"
"1999-01-01T06:00:00.000Z","36.22","49.38","32.69","45.63","26.41","4.96","1,103,078,396"
"2000-01-03T06:00:00.000Z","45.53","60.50","25.94","39.94","-12.47","-33.92","1,572,502,285"
"2001-01-01T06:00:00.000Z","40.00","46.38","29.83","44.38","11.12","-10.33","1,214,615,602"
"2002-01-01T06:00:00.000Z","44.20","46.90","27.09","28.06","-36.77","-58.22","1,265,094,714"
"2003-01-01T06:00:00.000Z","28.24","39.02","27.00","37.18","32.50","11.05","1,202,840,483"
"2004-01-01T06:00:00.000Z","37.19","50.46","35.05","48.41","30.20","8.75","890,400,123"
"2005-01-03T06:00:00.000Z","48.24","51.21","39.48","49.47","2.19","-19.26","797,562,835"
"2006-01-02T06:00:00.000Z","49.75","57.94","46.00","52.87","6.87","-14.58","911,007,575"
"2007-01-01T06:00:00.000Z","53.35","72.68","51.52","69.76","31.95","10.49","1,074,487,335"
"2008-01-01T06:00:00.000Z","69.63","75.23","43.88","52.50","-24.74","-46.19","1,592,248,437"
"2009-01-01T06:00:00.000Z","52.44","61.25","38.17","59.17","12.70","-8.75","1,258,990,524"
"2010-01-01T06:00:00.000Z","59.13","73.16","53.41","72.21","22.04","0.5867","966,866,131"
"2011-01-03T06:00:00.000Z","72.75","88.68","69.54","83.32","15.39","-6.07","641,867,817"
"2012-01-02T06:00:00.000Z","84.28","105.97","78.81","98.73","18.49","-2.96","587,033,010"
"2013-01-01T06:00:00.000Z","100.60","126.12","98.95","119.02","20.55","-0.9005","455,950,277"
"2014-01-01T06:00:00.000Z","118.71","146.82","109.50","141.75","19.10","-2.35","525,717,696"
"2015-01-01T06:00:00.000Z","141.87","169.73","117.03","161.50","13.93","-7.52","540,530,796"
"2016-01-01T06:00:00.000Z","159.81","169.59","138.57","160.11","-0.8607","-22.31","606,273,238"
"2017-01-02T06:00:00.000Z","160.65","195.35","150.00","186.12","16.25","-5.21","774,646,730"
"2018-01-01T06:00:00.000Z","187.23","245.16","175.79","203.71","9.45","-12.00","588,638,637"
"2019-01-02T06:00:00.000Z","200.50","307.34","199.85","293.92","44.28","22.83","498,528,256"
"2020-01-02T06:00:00.000Z","294.06","393.15","271.28","376.78","28.19","6.74","697,143,475"
"2021-01-04T06:00:00.000Z","377.43","571.49","307.00","567.70","50.67","29.22","564,753,087"
"2022-01-03T06:00:00.000Z","565.03","612.27","406.51","456.50","-19.59","-41.04","624,017,933"
"2023-01-03T06:00:00.000Z","458.00","571.16","447.90","544.25","19.22","-2.23","304,693,436"
