"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"1968-01-01T06:00:00.000Z","1.71","2.05","1.58","1.90","","-7.95","43,662,331"
"1969-01-01T06:00:00.000Z","1.90","2.16","1.71","2.12","11.77","3.81","42,877,327"
"1970-01-01T06:00:00.000Z","2.12","2.18","1.49","1.93","-9.12","-17.07","36,183,122"
"1971-01-01T06:00:00.000Z","1.91","2.14","1.54","1.79","-7.34","-15.29","72,961,813"
"1972-01-03T06:00:00.000Z","1.79","2.09","1.54","2.00","11.66","3.71","48,966,003"
"1973-01-01T06:00:00.000Z","2.02","2.12","1.62","1.79","-10.44","-18.40","31,241,725"
"1974-01-01T06:00:00.000Z","1.79","2.23","1.33","1.64","-8.34","-16.29","27,796,500"
"1975-01-01T06:00:00.000Z","1.64","2.15","1.63","2.00","21.82","13.86","41,397,922"
"1976-01-01T06:00:00.000Z","2.00","2.35","1.77","2.35","17.54","9.58","46,646,268"
"1977-01-03T06:00:00.000Z","2.35","2.36","1.98","2.01","-14.29","-22.24","41,832,351"
"1978-01-02T06:00:00.000Z","2.01","2.27","1.85","2.03","0.7405","-7.21","44,378,524"
"1979-01-01T06:00:00.000Z","2.03","2.13","1.65","1.79","-11.76","-19.72","48,390,689"
"1980-01-01T06:00:00.000Z","1.79","1.96","1.51","1.85","3.33","-4.62","60,378,540"
"1981-01-01T06:00:00.000Z","1.85","2.02","1.56","1.71","-7.66","-15.62","63,416,165"
"1982-01-01T06:00:00.000Z","1.69","2.97","1.67","2.88","69.00","61.04","154,045,367"
"1983-01-03T06:00:00.000Z","2.88","3.82","2.55","3.64","26.09","18.14","108,618,377"
"1984-01-02T06:00:00.000Z","3.64","4.30","3.23","4.14","13.94","5.98","134,601,828"
"1985-01-01T06:00:00.000Z","4.13","6.93","3.60","5.89","42.09","34.13","192,610,428"
"1986-01-01T06:00:00.000Z","5.89","8.17","5.25","6.80","15.44","7.49","223,213,211"
"1987-01-01T06:00:00.000Z","6.80","8.44","5.43","6.65","-2.19","-10.15","186,244,976"
"1988-01-01T06:00:00.000Z","6.65","8.41","5.69","7.51","13.00","5.05","133,318,250"
"1989-01-02T06:00:00.000Z","7.45","14.46","7.27","13.98","86.11","78.16","244,242,673"
"1990-01-01T06:00:00.000Z","13.83","14.79","10.43","13.95","-0.2132","-8.17","207,666,921"
"1991-01-01T06:00:00.000Z","13.89","20.93","12.91","20.27","45.30","37.34","170,671,854"
"1992-01-01T06:00:00.000Z","19.97","21.58","15.02","20.09","-0.8826","-8.84","142,745,665"
"1993-01-01T06:00:00.000Z","20.21","21.64","16.81","19.55","-2.67","-10.63","116,706,238"
"1994-01-03T06:00:00.000Z","19.38","21.94","16.34","20.99","7.32","-0.6375","118,155,236"
"1995-01-02T06:00:00.000Z","20.87","29.21","19.55","28.62","36.36","28.41","120,045,582"
"1996-01-01T06:00:00.000Z","28.50","40.18","26.71","38.28","33.75","25.80","216,638,511"
"1997-01-01T06:00:00.000Z","38.16","56.70","37.56","55.45","44.86","36.91","184,696,380"
"1998-01-01T06:00:00.000Z","55.27","59.98","46.69","55.00","-0.8033","-8.76","175,678,215"
"1999-01-01T06:00:00.000Z","54.88","55.75","37.44","38.69","-29.66","-37.61","198,418,502"
"2000-01-03T06:00:00.000Z","39.63","39.63","23.75","34.63","-10.50","-18.46","181,346,700"
"2001-01-01T06:00:00.000Z","34.69","35.44","25.52","29.87","-13.73","-21.69","176,912,600"
"2002-01-01T06:00:00.000Z","29.62","30.00","19.65","23.47","-21.43","-29.38","215,104,598"
"2003-01-01T06:00:00.000Z","23.63","27.90","19.95","26.80","14.19","6.23","258,544,532"
"2004-01-01T06:00:00.000Z","26.80","30.52","25.03","29.89","11.53","3.58","213,971,900"
"2005-01-03T06:00:00.000Z","30.00","31.60","27.35","29.77","-0.4015","-8.36","282,737,398"
