"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"1989-07-03T05:00:00.000Z","3.35","4.00","3.25","3.95","","-10.86","100,500"
"1990-01-01T06:00:00.000Z","4.55","4.72","3.77","4.10","3.80","-7.07","5,000"
"1991-01-01T06:00:00.000Z","3.92","4.92","3.80","3.80","-7.32","-18.18","43,500"
"1992-01-01T06:00:00.000Z","3.92","4.35","3.20","3.27","-13.82","-24.68","53,000"
"1993-01-01T06:00:00.000Z","3.40","4.90","3.00","4.55","38.93","28.07","277,000"
"1994-03-01T06:00:00.000Z","5.67","6.05","5.10","5.70","25.27","14.41","56,000"
"1995-01-02T06:00:00.000Z","5.70","7.67","5.60","7.45","30.70","19.84","489,000"
"1996-01-01T06:00:00.000Z","7.67","10.75","7.47","10.15","36.24","25.38","328,000"
"1997-01-01T06:00:00.000Z","10.15","12.55","9.60","11.55","13.79","2.93","811,500"
"1998-01-01T06:00:00.000Z","11.55","19.38","10.50","18.00","55.84","44.98","2,071,000"
"1999-01-01T06:00:00.000Z","17.50","23.25","15.50","22.00","22.22","11.36","2,270,500"
"2000-01-03T06:00:00.000Z","23.00","23.75","13.63","18.00","-18.18","-29.05","3,687,200"
"2001-01-01T06:00:00.000Z","17.75","19.94","13.25","17.11","-4.94","-15.81","5,009,900"
"2002-01-01T06:00:00.000Z","17.60","18.50","11.00","12.20","-28.70","-39.56","4,529,749"
"2003-01-01T06:00:00.000Z","12.53","20.68","11.79","20.10","64.75","53.89","3,682,539"
"2004-01-01T06:00:00.000Z","20.85","27.48","19.86","26.78","33.23","22.37","3,891,560"
"2005-01-03T06:00:00.000Z","27.17","31.11","24.31","29.61","10.57","-0.2959","4,523,968"
"2006-01-02T06:00:00.000Z","29.80","45.80","28.87","42.50","43.53","32.67","7,632,996"
"2007-01-01T06:00:00.000Z","42.40","53.24","32.50","34.88","-17.93","-28.79","13,618,888"
"2008-01-01T06:00:00.000Z","35.37","41.90","0.0200","26.03","-25.37","-36.24","36,027,926"
"2009-01-01T06:00:00.000Z","25.60","30.53","17.37","27.33","4.99","-5.87","53,435,066"
"2010-01-01T06:00:00.000Z","27.94","29.44","14.76","20.80","-23.89","-34.76","64,006,769"
"2011-01-03T06:00:00.000Z","21.03","25.16","14.17","19.82","-4.71","-15.58","64,795,459"
"2012-01-02T06:00:00.000Z","20.26","22.31","16.22","20.34","2.62","-8.24","53,901,490"
"2013-01-01T06:00:00.000Z","21.03","26.75","19.46","25.55","25.61","14.75","49,747,470"
"2014-01-01T06:00:00.000Z","25.49","30.06","19.95","24.01","-6.03","-16.89","102,332,578"
"2015-01-01T06:00:00.000Z","23.95","30.95","22.30","28.82","20.03","9.17","103,667,611"
"2016-01-01T06:00:00.000Z","28.26","35.88","23.33","34.38","19.29","8.43","210,720,123"
"2017-01-02T06:00:00.000Z","34.01","38.06","32.82","36.09","4.97","-5.89","146,166,963"
"2018-01-01T06:00:00.000Z","36.03","39.32","24.62","26.35","-26.99","-37.85","187,832,725"
"2019-01-02T06:00:00.000Z","26.03","40.58","25.81","40.33","53.06","42.19","134,156,173"
"2020-01-02T06:00:00.000Z","40.87","43.07","17.73","42.58","5.58","-5.28","176,346,181"
"2021-01-04T06:00:00.000Z","43.57","53.99","40.92","52.80","24.00","13.14","112,131,795"
"2022-01-03T06:00:00.000Z","53.04","54.54","31.22","39.79","-24.64","-35.50","153,259,601"
"2023-01-03T06:00:00.000Z","41.35","60.72","40.76","57.17","43.68","32.82","179,044,096"
