"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"1980-11-03T06:00:00.000Z","0.3912","0.4572","0.3808","0.4421","","-12.82","342,560,778"
"1981-01-01T06:00:00.000Z","0.4421","0.5602","0.3796","0.5370","21.47","8.65","2,090,734,966"
"1982-01-01T06:00:00.000Z","0.5370","0.5486","0.3356","0.4734","-11.84","-24.66","2,296,123,081"
"1983-01-03T06:00:00.000Z","0.4734","0.7639","0.4282","0.6875","45.23","32.41","2,815,041,198"
"1984-01-02T06:00:00.000Z","0.6875","0.7292","0.5104","0.6667","-3.03","-15.85","2,470,123,465"
"1985-01-01T06:00:00.000Z","0.6667","0.8854","0.6215","0.8403","26.04","13.22","3,857,294,337"
"1986-01-01T06:00:00.000Z","0.8403","1.04","0.7118","0.8090","-3.72","-16.54","3,469,498,057"
"1987-01-01T06:00:00.000Z","0.8090","1.16","0.6146","0.8090","","-12.82","3,843,293,755"
"1988-01-01T06:00:00.000Z","0.8125","0.9028","0.6771","0.8819","9.01","-3.81","4,097,679,747"
"1989-01-02T06:00:00.000Z","0.8819","1.07","0.8264","0.9965","12.99","0.1750","1,965,102,706"
"1990-01-01T06:00:00.000Z","0.9965","1.06","0.7222","0.8819","-11.50","-24.32","1,514,420,947"
"1991-01-01T06:00:00.000Z","0.8819","1.61","0.8264","1.61","82.29","69.47","2,156,570,813"
"1992-01-01T06:00:00.000Z","1.60","2.05","1.51","1.91","18.79","5.97","2,138,934,247"
"1993-01-01T06:00:00.000Z","1.92","2.45","1.84","2.27","19.09","6.27","2,234,832,062"
"1994-01-03T06:00:00.000Z","2.27","2.57","1.75","1.93","-14.96","-27.78","2,129,973,734"
"1995-01-02T06:00:00.000Z","1.93","2.56","1.93","2.53","31.06","18.24","2,141,191,448"
"1996-01-01T06:00:00.000Z","2.51","2.95","2.34","2.35","-7.40","-20.22","1,965,331,302"
"1997-01-01T06:00:00.000Z","2.35","3.47","2.29","3.00","27.81","14.99","2,467,245,282"
"1998-01-01T06:00:00.000Z","3.00","3.38","2.03","2.31","-23.15","-35.97","2,367,574,539"
"1999-01-01T06:00:00.000Z","2.32","3.00","1.60","1.74","-24.40","-37.22","2,357,264,037"
"2000-01-03T06:00:00.000Z","1.74","1.86","1.08","1.44","-17.33","-30.15","3,283,331,031"
"2001-01-01T06:00:00.000Z","1.44","2.29","1.38","1.95","35.13","22.31","4,559,239,036"
"2002-01-01T06:00:00.000Z","1.97","2.30","1.39","1.57","-19.23","-32.05","5,719,022,441"
"2003-01-01T06:00:00.000Z","1.58","2.02","1.42","2.00","26.95","14.13","4,761,984,448"
"2004-01-01T06:00:00.000Z","2.00","2.25","1.60","2.23","11.52","-1.30","4,922,963,656"
"2005-01-03T06:00:00.000Z","2.22","2.87","2.05","2.82","26.67","13.85","6,072,364,472"
"2006-01-02T06:00:00.000Z","2.83","4.26","2.70","3.83","35.63","22.81","9,424,831,155"
"2007-01-01T06:00:00.000Z","3.86","5.76","3.72","4.89","27.74","14.92","15,002,002,016"
"2008-01-01T06:00:00.000Z","4.89","7.86","3.33","3.61","-26.17","-38.99","14,057,961,457"
"2009-01-01T06:00:00.000Z","3.62","5.64","2.30","5.39","49.34","36.52","14,184,866,481"
"2010-01-01T06:00:00.000Z","5.44","7.20","4.67","7.18","33.24","20.42","9,332,126,693"
"2011-01-03T06:00:00.000Z","7.23","9.02","5.90","7.02","-2.21","-15.03","7,775,113,652"
"2012-01-02T06:00:00.000Z","7.20","7.90","6.29","6.58","-6.31","-19.13","6,931,990,550"
"2013-01-01T06:00:00.000Z","6.70","9.60","6.67","9.59","45.82","33.00","5,260,209,346"
"2014-01-01T06:00:00.000Z","9.54","12.66","8.61","12.08","25.93","13.11","5,020,106,106"
"2015-01-01T06:00:00.000Z","12.04","12.56","8.16","8.65","-28.37","-41.19","6,481,394,833"
"2016-01-01T06:00:00.000Z","8.46","12.47","7.11","11.98","38.46","25.64","6,206,411,788"
"2017-01-02T06:00:00.000Z","12.05","19.45","11.86","18.34","53.10","40.28","6,518,037,841"
"2018-01-01T06:00:00.000Z","18.54","25.41","16.14","20.71","12.94","0.1239","4,434,775,380"
"2019-01-02T06:00:00.000Z","20.25","26.91","20.01","24.12","16.47","3.65","3,612,838,690"
"2020-01-02T06:00:00.000Z","24.27","31.23","15.60","30.25","25.41","12.59","3,366,834,354"
"2021-01-04T06:00:00.000Z","30.22","37.82","27.70","37.60","24.30","11.48","2,851,198,607"
"2022-01-03T06:00:00.000Z","37.46","38.63","25.80","30.98","-17.61","-30.43","3,988,962,133"
"2023-01-03T06:00:00.000Z","31.08","34.38","27.60","30.63","-1.13","-13.95","2,182,405,719"
