"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"1983-08-01T05:00:00.000Z","0.9514","1.30","0.9514","1.19","","-18.19","27,326,826"
"1984-01-02T06:00:00.000Z","1.19","1.50","1.10","1.45","22.22","4.03","32,567,430"
"1985-01-01T06:00:00.000Z","1.44","2.49","1.42","2.36","62.68","44.48","38,005,155"
"1986-01-01T06:00:00.000Z","2.36","3.32","2.36","2.69","14.12","-4.07","37,515,526"
"1987-01-01T06:00:00.000Z","2.69","4.50","2.53","2.89","7.21","-10.98","45,700,064"
"1988-01-01T06:00:00.000Z","2.89","3.92","2.72","3.72","28.85","10.66","45,610,057"
"1989-01-02T06:00:00.000Z","3.61","5.00","3.56","4.97","33.58","15.39","42,187,376"
"1990-01-01T06:00:00.000Z","4.97","5.86","4.28","5.72","15.08","-3.11","46,051,058"
"1991-01-01T06:00:00.000Z","5.72","8.79","5.14","8.33","45.63","27.44","61,563,069"
"1992-01-01T06:00:00.000Z","8.33","10.71","7.92","9.00","8.00","-10.19","53,371,698"
"1993-01-01T06:00:00.000Z","9.00","11.33","8.25","11.33","25.93","7.73","76,142,187"
"1994-01-03T06:00:00.000Z","11.17","12.08","9.92","11.83","4.41","-13.78","62,868,164"
"1995-01-02T06:00:00.000Z","11.75","16.00","11.17","14.83","25.35","7.16","84,726,339"
"1996-01-01T06:00:00.000Z","15.00","21.17","13.92","19.58","32.02","13.83","57,782,583"
"1997-01-01T06:00:00.000Z","19.58","28.33","17.00","26.00","32.77","14.57","75,089,793"
"1998-01-01T06:00:00.000Z","26.00","47.50","26.00","46.96","80.61","62.42","82,360,418"
"1999-01-01T06:00:00.000Z","46.17","52.25","26.00","35.42","-24.58","-42.77","188,888,682"
"2000-01-03T06:00:00.000Z","35.33","54.00","23.17","53.19","50.18","31.98","274,489,701"
"2001-01-01T06:00:00.000Z","53.25","53.25","33.75","48.00","-9.75","-27.95","330,359,202"
"2002-01-01T06:00:00.000Z","48.46","56.62","39.15","45.75","-4.69","-22.88","326,818,230"
"2003-01-01T06:00:00.000Z","45.81","50.68","30.60","50.10","9.51","-8.68","302,518,995"
"2004-01-01T06:00:00.000Z","50.23","50.35","39.51","43.86","-12.46","-30.65","242,738,524"
"2005-01-03T06:00:00.000Z","43.64","45.50","37.51","41.13","-6.22","-24.42","254,874,626"
"2006-01-02T06:00:00.000Z","41.47","44.30","34.57","39.71","-3.45","-21.65","210,629,087"
"2007-01-01T06:00:00.000Z","39.67","42.89","31.14","33.62","-15.34","-33.53","295,765,440"
"2008-01-01T06:00:00.000Z","33.49","33.89","19.51","23.23","-30.90","-49.10","399,131,426"
"2009-01-01T06:00:00.000Z","23.23","30.85","18.09","26.07","12.23","-5.97","382,536,428"
"2010-01-01T06:00:00.000Z","26.23","29.72","23.10","27.96","7.25","-10.94","308,014,102"
"2011-01-03T06:00:00.000Z","28.20","35.29","26.39","34.81","24.50","6.31","311,453,941"
"2012-01-02T06:00:00.000Z","35.57","45.60","35.19","40.90","17.49","-0.6978","183,131,019"
"2013-01-01T06:00:00.000Z","41.48","59.73","41.24","59.59","45.70","27.50","130,603,301"
"2014-01-01T06:00:00.000Z","59.25","80.35","55.35","78.44","31.63","13.44","152,888,065"
"2015-01-01T06:00:00.000Z","78.91","94.35","75.90","91.05","16.08","-2.12","160,240,715"
"2016-01-01T06:00:00.000Z","89.82","122.21","80.00","115.56","26.92","8.73","175,562,650"
"2017-01-02T06:00:00.000Z","116.37","163.45","112.96","155.83","34.85","16.65","139,028,872"
"2018-01-01T06:00:00.000Z","157.26","217.34","147.38","167.99","7.80","-10.39","144,614,980"
"2019-01-02T06:00:00.000Z","165.51","277.85","164.50","269.08","60.18","41.98","135,042,752"
"2020-01-02T06:00:00.000Z","269.86","369.20","154.33","353.46","31.36","13.17","157,563,227"
"2021-01-04T06:00:00.000Z","353.94","461.44","314.62","443.17","25.38","7.19","104,621,666"
"2022-01-03T06:00:00.000Z","442.34","470.23","343.86","451.62","1.91","-16.29","118,558,899"
"2023-01-03T06:00:00.000Z","453.93","518.71","423.06","505.26","11.88","-6.32","61,097,789"
