"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"1968-01-01T06:00:00.000Z","3.94","4.77","3.60","4.51","","-8.90","100,971,200"
"1969-01-01T06:00:00.000Z","4.52","4.66","3.05","3.20","-29.12","-38.02","136,836,800"
"1970-01-01T06:00:00.000Z","3.27","3.42","2.41","3.41","6.60","-2.30","152,782,400"
"1971-01-01T06:00:00.000Z","3.34","3.93","3.16","3.59","5.28","-3.63","139,379,200"
"1972-01-03T06:00:00.000Z","3.61","5.09","3.41","4.98","38.78","29.88","154,176,000"
"1973-01-01T06:00:00.000Z","5.00","5.63","3.38","4.38","-12.09","-20.99","166,897,600"
"1974-01-01T06:00:00.000Z","4.38","4.58","2.52","2.78","-36.43","-45.33","117,874,400"
"1975-01-01T06:00:00.000Z","2.78","4.13","2.77","3.67","32.03","23.12","115,414,400"
"1976-01-01T06:00:00.000Z","3.67","5.13","3.64","5.13","39.57","30.67","203,926,400"
"1977-01-03T06:00:00.000Z","5.13","5.69","4.69","4.86","-5.18","-14.09","161,637,600"
"1978-01-02T06:00:00.000Z","4.86","6.11","4.28","5.86","20.58","11.67","174,568,000"
"1979-01-01T06:00:00.000Z","5.86","7.77","5.55","7.05","20.27","11.36","207,126,400"
"1980-01-01T06:00:00.000Z","7.05","14.69","6.69","12.44","76.50","67.59","351,118,400"
"1981-01-01T06:00:00.000Z","12.42","12.94","8.78","10.72","-13.82","-22.72","253,502,800"
"1982-01-01T06:00:00.000Z","10.72","10.72","5.88","8.00","-25.36","-34.27","321,831,600"
"1983-01-03T06:00:00.000Z","8.00","10.22","7.72","8.66","8.20","-0.7017","367,773,600"
"1984-01-02T06:00:00.000Z","8.66","10.06","7.50","7.81","-9.75","-18.65","362,157,600"
"1985-01-01T06:00:00.000Z","7.78","10.19","7.31","9.53","22.00","13.10","423,334,400"
"1986-01-01T06:00:00.000Z","9.53","12.03","8.50","11.34","19.02","10.11","679,577,600"
"1987-01-01T06:00:00.000Z","11.38","16.16","8.00","9.91","-12.67","-21.58","796,759,200"
"1988-01-01T06:00:00.000Z","10.03","13.00","9.75","11.44","15.46","6.55","519,038,400"
"1989-01-02T06:00:00.000Z","11.44","18.38","11.34","16.94","48.09","39.18","812,376,400"
"1990-01-01T06:00:00.000Z","16.94","20.41","15.78","18.16","7.20","-1.71","493,213,600"
"1991-01-01T06:00:00.000Z","18.16","20.03","15.88","17.25","-4.99","-13.90","414,478,000"
"1992-01-01T06:00:00.000Z","17.28","18.84","15.03","17.38","0.7246","-8.18","457,976,400"
"1993-01-01T06:00:00.000Z","17.44","24.69","16.84","21.78","25.36","16.46","593,542,800"
"1994-01-03T06:00:00.000Z","21.84","23.66","19.94","22.31","2.44","-6.46","550,332,800"
"1995-01-02T06:00:00.000Z","22.44","26.81","21.69","26.19","17.37","8.46","476,406,000"
"1996-01-01T06:00:00.000Z","26.31","34.19","25.50","32.50","24.11","15.20","562,646,000"
"1997-01-01T06:00:00.000Z","32.63","44.59","30.88","38.50","18.46","9.56","606,031,000"
