"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"1968-01-01T06:00:00.000Z","2.21","2.48","1.92","2.29","","-14.04","65,126,820"
"1969-01-01T06:00:00.000Z","2.33","2.35","1.46","1.80","-21.59","-35.63","80,575,760"
"1970-01-01T06:00:00.000Z","1.81","1.89","1.16","1.71","-4.93","-18.97","56,786,730"
"1971-01-01T06:00:00.000Z","1.67","2.22","1.66","2.14","25.00","10.96","101,842,378"
"1972-01-03T06:00:00.000Z","2.13","3.97","2.10","3.81","78.54","64.50","160,593,756"
"1973-01-01T06:00:00.000Z","3.81","5.46","2.97","4.21","10.38","-3.66","179,769,944"
"1974-01-01T06:00:00.000Z","4.21","4.49","2.31","3.55","-15.60","-29.64","82,499,376"
"1975-01-01T06:00:00.000Z","3.55","4.33","2.88","4.32","21.70","7.66","127,286,222"
"1976-01-01T06:00:00.000Z","4.32","6.15","4.31","5.27","21.93","7.89","145,548,006"
"1977-01-03T06:00:00.000Z","5.27","5.58","4.00","4.13","-21.74","-35.78","102,147,178"
"1978-01-02T06:00:00.000Z","4.13","6.17","3.75","5.77","39.90","25.86","108,051,238"
"1979-01-01T06:00:00.000Z","5.77","6.92","5.54","6.52","13.00","-1.04","118,927,534"
"1980-01-01T06:00:00.000Z","6.52","8.29","4.75","8.00","22.68","8.64","204,824,390"
"1981-01-01T06:00:00.000Z","8.00","8.00","5.35","5.92","-26.04","-40.08","147,586,822"
"1982-01-01T06:00:00.000Z","5.94","6.15","3.67","4.92","-16.90","-30.94","259,606,748"
"1983-01-03T06:00:00.000Z","4.92","7.06","4.81","6.42","30.51","16.47","264,169,186"
"1984-01-02T06:00:00.000Z","6.40","6.73","4.10","4.96","-22.73","-36.77","273,937,296"
"1985-01-01T06:00:00.000Z","4.96","5.52","4.04","4.79","-3.36","-17.40","238,124,720"
"1986-01-01T06:00:00.000Z","4.79","5.85","3.58","3.81","-20.43","-34.47","284,012,000"
"1987-01-01T06:00:00.000Z","3.81","7.17","3.75","5.79","51.91","37.87","533,128,480"
"1988-01-01T06:00:00.000Z","5.81","8.42","5.56","8.00","38.13","24.09","562,469,984"
"1989-01-02T06:00:00.000Z","8.00","10.71","7.33","10.25","28.13","14.09","458,455,928"
"1990-01-01T06:00:00.000Z","10.27","13.06","6.27","7.81","-23.78","-37.82","634,118,494"
"1991-01-01T06:00:00.000Z","7.81","9.56","6.65","8.00","2.40","-11.64","477,453,908"
"1992-01-01T06:00:00.000Z","7.96","9.00","6.12","7.29","-8.85","-22.89","430,786,038"
"1993-01-01T06:00:00.000Z","7.29","13.06","7.06","12.33","69.14","55.10","617,830,738"
"1994-01-03T06:00:00.000Z","12.40","15.15","10.21","11.04","-10.47","-24.51","774,026,102"
"1995-01-02T06:00:00.000Z","11.00","18.00","10.83","17.63","59.62","45.58","581,344,770"
"1996-01-01T06:00:00.000Z","17.44","23.56","16.50","20.25","14.89","0.8535","465,682,600"
"1997-01-01T06:00:00.000Z","20.50","30.25","19.94","29.13","43.83","29.79","430,807,200"
"1998-01-01T06:00:00.000Z","29.06","32.06","14.19","16.44","-43.56","-57.60","571,710,798"
"1999-01-01T06:00:00.000Z","17.25","22.97","15.78","21.69","31.94","17.90","517,353,796"
"2000-01-03T06:00:00.000Z","21.81","24.81","15.16","22.91","5.62","-8.42","598,717,000"
"2001-01-01T06:00:00.000Z","22.75","23.06","16.75","21.83","-4.70","-18.74","565,120,192"
"2002-01-01T06:00:00.000Z","22.18","25.80","18.75","22.93","5.02","-9.02","776,521,002"
"2003-01-01T06:00:00.000Z","23.00","33.70","18.78","32.52","41.88","27.84","789,973,586"
"2004-01-01T06:00:00.000Z","32.48","37.47","28.36","37.20","14.37","0.3334","953,554,410"
"2005-01-03T06:00:00.000Z","37.20","37.20","28.50","34.05","-8.45","-22.49","973,274,590"
"2006-01-02T06:00:00.000Z","34.01","50.70","33.45","47.53","39.58","25.54","1,190,564,404"
"2007-01-01T06:00:00.000Z","47.84","93.74","45.12","93.12","95.90","81.86","1,312,193,344"
"2008-01-01T06:00:00.000Z","94.01","94.89","28.50","38.32","-58.85","-72.89","1,559,128,223"
"2009-01-01T06:00:00.000Z","38.74","56.87","24.51","54.09","41.15","27.11","1,447,845,890"
"2010-01-01T06:00:00.000Z","54.74","84.85","48.33","83.05","53.54","39.50","1,126,823,168"
"2011-01-03T06:00:00.000Z","83.93","99.80","59.92","77.35","-6.86","-20.90","1,236,598,188"
"2012-01-02T06:00:00.000Z","79.12","89.70","69.51","86.42","11.73","-2.31","927,090,405"
"2013-01-01T06:00:00.000Z","87.97","95.60","79.50","91.33","5.68","-8.36","791,921,467"
"2014-01-01T06:00:00.000Z","90.95","94.89","78.88","88.47","-3.13","-17.17","800,175,078"
"2015-01-01T06:00:00.000Z","88.79","98.23","71.85","76.27","-13.79","-27.83","785,626,807"
"2016-01-01T06:00:00.000Z","75.78","104.83","70.16","103.04","35.10","21.06","824,053,623"
"2017-01-02T06:00:00.000Z","103.68","159.10","103.45","156.51","51.89","37.85","590,620,230"
"2018-01-01T06:00:00.000Z","156.67","175.26","128.32","149.17","-4.69","-18.73","657,651,252"
"2019-01-02T06:00:00.000Z","146.23","180.48","132.68","173.26","16.15","2.11","500,066,036"
"2020-01-02T06:00:00.000Z","174.24","273.56","106.14","269.05","55.29","41.25","442,536,858"
"2021-01-04T06:00:00.000Z","271.81","400.34","263.85","342.89","27.44","13.40","432,228,332"
"2022-01-03T06:00:00.000Z","344.00","448.40","283.81","428.76","25.04","11.00","440,859,328"
"2023-01-03T06:00:00.000Z","428.00","450.00","345.55","418.90","-2.30","-16.34","271,851,567"
