"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"1969-12-01T06:00:00.000Z","0.6721","0.7253","0.6573","0.7105","","-18.55","11,505,225"
"1970-01-01T06:00:00.000Z","0.7105","0.7342","0.4352","0.5625","-20.83","-39.38","103,386,526"
"1971-01-01T06:00:00.000Z","0.5655","0.7727","0.5359","0.6543","16.32","-2.23","148,976,806"
"1972-01-03T06:00:00.000Z","0.6839","0.7046","0.5951","0.6957","6.33","-12.22","127,528,514"
"1973-01-01T06:00:00.000Z","0.6957","0.6957","0.3138","0.3612","-48.08","-66.63","139,713,511"
"1974-01-01T06:00:00.000Z","0.3612","0.4086","0.0178","0.0266","-92.64","-111.18","146,941,752"
"1975-01-01T06:00:00.000Z","0.0266","0.0770","0.0192","0.0266","","-18.55","73,228,044"
"1976-01-01T06:00:00.000Z","0.0266","0.0740","0.0192","0.0355","33.46","14.91","77,365,703"
"1977-01-03T06:00:00.000Z","0.0355","0.0711","0.0015","0.0622","75.21","56.66","89,352,254"
"1978-01-02T06:00:00.000Z","0.0622","0.1540","0.0474","0.0859","38.10","19.56","148,655,926"
"1979-01-01T06:00:00.000Z","0.0859","0.1628","0.0799","0.1095","27.47","8.93","152,244,709"
"1980-01-01T06:00:00.000Z","0.1095","0.1362","0.0622","0.1007","-8.04","-26.58","136,458,268"
"1981-01-01T06:00:00.000Z","0.1036","0.1510","0.0681","0.0829","-17.68","-36.22","145,379,570"
"1982-01-01T06:00:00.000Z","0.0829","0.0859","0.0503","0.0592","-28.59","-47.14","101,351,469"
"1983-01-03T06:00:00.000Z","0.0592","0.1125","0.0592","0.1066","80.07","61.52","306,769,480"
"1984-01-02T06:00:00.000Z","0.1066","0.1865","0.1036","0.1658","55.53","36.99","145,696,226"
"1985-01-01T06:00:00.000Z","0.1658","0.2280","0.1540","0.1865","12.48","-6.06","126,249,222"
"1986-01-01T06:00:00.000Z","0.1865","0.3168","0.1658","0.2931","57.16","38.61","237,666,321"
"1987-01-01T06:00:00.000Z","0.2961","0.7934","0.2842","0.4026","37.36","18.81","253,999,527"
"1988-01-01T06:00:00.000Z","0.4026","0.9474","0.3553","0.6691","66.19","47.65","277,413,205"
"1989-01-02T06:00:00.000Z","0.6691","0.8704","0.6099","0.7224","7.97","-10.58","171,356,060"
"1990-01-01T06:00:00.000Z","0.7224","1.12","0.6395","0.7579","4.91","-13.63","262,384,624"
"1991-01-01T06:00:00.000Z","0.7579","1.11","0.7461","0.9592","26.56","8.01","236,076,700"
"1992-01-01T06:00:00.000Z","0.9652","1.30","0.9356","1.23","28.40","9.85","136,494,153"
"1993-01-01T06:00:00.000Z","1.24","1.86","1.14","1.81","46.64","28.09","140,150,499"
"1994-01-03T06:00:00.000Z","1.81","2.52","1.71","2.48","37.05","18.50","172,147,711"
"1995-01-02T06:00:00.000Z","2.39","3.26","2.30","3.01","21.53","2.98","147,513,838"
"1996-01-01T06:00:00.000Z","2.95","4.42","2.77","4.42","46.85","28.30","161,888,001"
"1997-01-01T06:00:00.000Z","4.37","6.06","3.69","5.98","35.39","16.84","186,611,581"
"1998-01-01T06:00:00.000Z","5.96","10.47","5.31","10.29","72.08","53.53","416,766,375"
"1999-01-01T06:00:00.000Z","10.26","13.07","8.10","9.14","-11.16","-29.71","465,553,834"
"2000-01-03T06:00:00.000Z","9.10","13.23","6.90","12.96","41.71","23.16","557,195,653"
"2001-01-01T06:00:00.000Z","12.96","13.01","8.32","11.43","-11.79","-30.34","1,338,318,626"
"2002-01-01T06:00:00.000Z","11.37","14.30","9.97","12.45","8.94","-9.61","1,524,460,611"
"2003-01-01T06:00:00.000Z","12.48","17.50","11.28","17.38","39.65","21.10","1,313,446,837"
"2004-01-01T06:00:00.000Z","17.40","22.32","16.61","21.76","25.14","6.60","996,886,071"
"2005-01-03T06:00:00.000Z","21.88","22.13","18.31","21.14","-2.84","-21.39","1,005,413,664"
"2006-01-02T06:00:00.000Z","21.26","28.53","20.48","27.45","29.87","11.32","870,823,292"
"2007-01-01T06:00:00.000Z","27.45","33.81","26.19","33.25","21.12","2.57","1,101,692,543"
"2008-01-01T06:00:00.000Z","33.08","33.42","17.89","21.45","-35.48","-54.03","1,702,929,963"
"2009-01-01T06:00:00.000Z","21.43","29.01","18.09","28.50","32.84","14.29","1,552,764,949"
"2010-01-01T06:00:00.000Z","28.60","36.07","26.45","35.75","25.45","6.91","1,262,235,100"
