"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"1968-01-01T06:00:00.000Z","0.0977","0.2578","0.0781","0.2461","","-19.81","201,273,600"
"1969-01-01T06:00:00.000Z","0.2539","0.2539","0.0781","0.0859","-65.10","-84.91","74,460,800"
"1970-01-01T06:00:00.000Z","0.1055","0.1094","0.0352","0.0430","-49.94","-69.75","24,620,800"
"1971-01-01T06:00:00.000Z","0.0430","0.0703","0.0352","0.0391","-9.07","-28.88","22,086,400"
"1972-01-03T06:00:00.000Z","0.0391","0.0625","0.0391","0.0391","","-19.81","21,068,800"
"1973-01-01T06:00:00.000Z","0.0430","0.0781","0.0312","0.0625","59.85","40.03","22,345,600"
"1974-01-01T06:00:00.000Z","0.0625","0.0742","0.0352","0.0430","-31.20","-51.01","12,947,200"
"1975-01-01T06:00:00.000Z","0.0430","0.1055","0.0430","0.0664","54.42","34.61","24,252,800"
"1976-01-01T06:00:00.000Z","0.0664","0.1641","0.0625","0.1523","129.37","109.56","37,795,200"
"1977-01-03T06:00:00.000Z","0.1523","0.2734","0.1445","0.2344","53.91","34.09","73,052,800"
"1978-01-02T06:00:00.000Z","0.2305","0.2891","0.1719","0.2305","-1.66","-21.48","41,795,200"
"1979-01-01T06:00:00.000Z","0.2344","0.4570","0.1992","0.4531","96.57","76.76","124,188,800"
"1980-01-01T06:00:00.000Z","0.4531","0.6055","0.2305","0.4766","5.19","-14.63","163,177,600"
"1981-01-01T06:00:00.000Z","0.4766","0.5117","0.2500","0.3359","-29.52","-49.33","73,328,000"
"1982-01-01T06:00:00.000Z","0.3359","0.3359","0.1523","0.2656","-20.93","-40.74","49,686,400"
"1983-01-03T06:00:00.000Z","0.2656","0.4375","0.2266","0.3398","27.94","8.12","80,611,200"
"1984-01-02T06:00:00.000Z","0.3398","0.4180","0.2031","0.2500","-26.43","-46.24","59,929,600"
"1985-01-01T06:00:00.000Z","0.2500","0.6406","0.2344","0.3203","28.12","8.31","39,241,600"
"1986-01-01T06:00:00.000Z","0.3164","0.6641","0.3086","0.4961","54.89","35.07","30,051,200"
"1987-01-01T06:00:00.000Z","0.4961","0.5781","0.3633","0.4805","-3.14","-22.96","20,131,200"
"1988-01-01T06:00:00.000Z","0.4844","1.25","0.4727","1.22","153.65","133.84","31,548,800"
"1989-01-02T06:00:00.000Z","1.22","2.56","1.19","1.62","32.69","12.88","53,446,400"
"1990-01-01T06:00:00.000Z","1.62","1.86","1.24","1.41","-12.56","-32.37","14,816,000"
"1991-01-01T06:00:00.000Z","1.41","2.16","1.39","1.91","34.80","14.99","10,196,800"
"1992-01-01T06:00:00.000Z","1.89","1.93","1.41","1.90","-0.4092","-20.22","15,964,800"
"1993-01-01T06:00:00.000Z","1.88","1.91","1.59","1.65","-13.17","-32.98","17,016,000"
"1994-01-03T06:00:00.000Z","1.66","2.09","1.48","1.63","-0.9464","-20.76","14,224,000"
"1995-01-02T06:00:00.000Z","1.64","1.78","1.33","1.41","-13.39","-33.21","41,604,800"
"1996-01-01T06:00:00.000Z","1.41","1.86","1.34","1.67","18.23","-1.58","32,164,800"
"1997-01-01T06:00:00.000Z","1.67","1.80","1.45","1.73","3.27","-16.54","44,152,000"
"1998-01-01T06:00:00.000Z","1.73","2.09","0.8750","1.05","-38.91","-58.73","53,372,800"
"1999-01-01T06:00:00.000Z","1.05","1.08","0.7656","0.8320","-21.12","-40.93","57,355,200"
"2000-01-03T06:00:00.000Z","0.8438","1.22","0.5781","1.17","40.85","21.04","47,635,200"
"2001-01-01T06:00:00.000Z","1.17","3.13","0.8828","2.41","105.32","85.51","152,472,000"
"2002-01-01T06:00:00.000Z","2.34","2.89","1.78","2.73","13.51","-6.30","76,793,600"
"2003-01-01T06:00:00.000Z","2.70","3.75","2.49","3.44","25.86","6.04","120,848,800"
"2004-01-01T06:00:00.000Z","3.45","7.19","3.38","6.97","102.69","82.88","180,957,600"
"2005-01-03T06:00:00.000Z","6.98","16.36","6.32","14.72","111.23","91.42","312,170,000"
"2006-01-02T06:00:00.000Z","14.78","28.22","13.96","25.70","74.62","54.81","491,213,800"
"2007-01-01T06:00:00.000Z","25.45","40.27","22.50","25.45","-0.9922","-20.80","413,815,616"
"2008-01-01T06:00:00.000Z","25.70","28.41","5.42","9.12","-64.18","-83.99","661,268,004"
"2009-01-01T06:00:00.000Z","9.13","16.77","8.36","12.81","40.59","20.78","527,212,190"
"2010-01-01T06:00:00.000Z","13.13","20.69","11.66","20.39","59.07","39.26","370,846,502"
"2011-01-03T06:00:00.000Z","20.63","38.90","19.92","23.40","14.79","-5.02","863,874,458"
"2012-01-02T06:00:00.000Z","24.01","47.39","23.96","46.55","98.93","79.12","795,267,286"
"2013-01-01T06:00:00.000Z","47.69","59.20","38.98","49.69","6.75","-13.07","851,363,642"
"2014-01-01T06:00:00.000Z","49.17","53.42","35.31","37.48","-24.57","-44.38","620,001,807"
"2015-01-01T06:00:00.000Z","37.50","54.73","30.15","39.89","6.43","-13.38","735,591,477"
"2016-01-01T06:00:00.000Z","39.66","41.29","22.07","32.76","-17.87","-37.69","890,605,649"
"2017-01-02T06:00:00.000Z","33.21","52.00","23.46","51.22","56.35","36.54","691,119,412"
"2018-01-01T06:00:00.000Z","51.38","83.28","42.42","51.12","-0.1952","-20.01","665,148,165"
"2019-01-02T06:00:00.000Z","50.08","58.88","37.73","50.71","-0.8020","-20.61","499,162,794"
"2020-01-02T06:00:00.000Z","51.09","51.75","16.81","25.85","-49.02","-68.84","705,157,362"
"2021-01-04T06:00:00.000Z","26.05","42.39","24.60","32.78","26.81","7.00","571,419,317"
"2022-01-03T06:00:00.000Z","33.25","66.19","29.14","51.89","58.30","38.49","562,669,857"
"2023-01-03T06:00:00.000Z","51.41","59.61","37.12","56.88","9.62","-10.20","391,705,174"
