"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"1968-01-01T06:00:00.000Z","0.2833","0.4816","0.2177","0.4419","","-15.24","265,956,371"
"1969-01-01T06:00:00.000Z","0.4315","0.6967","0.3691","0.6967","57.66","42.42","281,478,657"
"1970-01-01T06:00:00.000Z","0.6915","0.8136","0.4783","0.7350","5.50","-9.74","1,011,835,012"
"1971-01-01T06:00:00.000Z","0.7188","1.48","0.7188","1.43","94.52","79.28","636,250,926"
"1972-01-03T06:00:00.000Z","1.41","2.46","1.38","2.46","72.18","56.94","391,356,207"
"1973-01-01T06:00:00.000Z","2.47","2.57","0.8422","0.9826","-60.08","-75.32","631,600,945"
"1974-01-01T06:00:00.000Z","0.9826","1.13","0.3457","0.4445","-54.76","-70.00","620,771,891"
"1975-01-01T06:00:00.000Z","0.4471","1.16","0.4419","1.04","133.34","118.10","869,124,018"
"1976-01-01T06:00:00.000Z","1.04","1.31","0.8552","0.9826","-5.26","-20.50","768,964,731"
"1977-01-03T06:00:00.000Z","0.9826","0.9904","0.6681","0.8318","-15.35","-30.59","709,183,650"
"1978-01-02T06:00:00.000Z","0.8266","0.9800","0.6551","0.8344","0.3126","-14.93","774,364,845"
"1979-01-01T06:00:00.000Z","0.8344","0.9462","0.6863","0.9332","11.84","-3.40","712,020,756"
"1980-01-01T06:00:00.000Z","0.9332","1.12","0.8422","1.07","14.21","-1.03","1,085,517,887"
"1981-01-01T06:00:00.000Z","1.07","1.40","0.9020","1.09","1.95","-13.29","853,846,963"
"1982-01-01T06:00:00.000Z","1.09","1.49","0.9774","1.32","21.05","5.81","2,052,507,722"
"1983-01-03T06:00:00.000Z","1.32","1.76","0.9826","1.09","-16.79","-32.03","1,843,259,494"
"1984-01-02T06:00:00.000Z","1.09","1.42","0.9410","1.25","13.78","-1.46","4,718,084,439"
"1985-01-01T06:00:00.000Z","1.25","2.44","1.23","2.35","88.51","73.27","1,484,423,915"
"1986-01-01T06:00:00.000Z","2.35","4.56","2.33","3.59","52.83","37.59","1,761,380,286"
"1987-01-01T06:00:00.000Z","3.66","6.86","3.43","4.93","37.39","22.15","1,600,153,594"
"1988-01-01T06:00:00.000Z","5.01","5.69","4.49","5.47","10.97","-4.27","1,123,151,556"
"1989-01-02T06:00:00.000Z","5.47","11.33","5.40","9.32","70.34","55.10","1,441,248,284"
"1990-01-01T06:00:00.000Z","9.32","11.35","7.15","8.44","-9.38","-24.62","1,685,575,580"
"1991-01-01T06:00:00.000Z","8.44","10.79","7.79","9.52","12.81","-2.43","1,382,259,433"
"1992-01-01T06:00:00.000Z","9.48","15.06","9.47","14.31","50.22","34.98","1,348,582,962"
"1993-01-01T06:00:00.000Z","13.97","15.93","11.98","14.18","-0.8723","-16.11","1,077,172,189"
"1994-01-03T06:00:00.000Z","13.93","16.18","12.56","15.31","7.92","-7.32","908,814,881"
"1995-01-02T06:00:00.000Z","15.31","21.38","14.97","19.59","27.99","12.75","1,017,658,267"
"1996-01-01T06:00:00.000Z","19.67","25.70","17.72","23.21","18.47","3.23","1,190,914,384"
"1997-01-01T06:00:00.000Z","23.21","33.36","22.09","32.94","41.94","26.70","1,075,370,447"
"1998-01-01T06:00:00.000Z","33.21","42.71","22.46","29.95","-9.09","-24.33","1,517,351,960"
"1999-01-01T06:00:00.000Z","30.13","38.62","23.33","29.20","-2.50","-17.74","1,792,261,747"
"2000-01-03T06:00:00.000Z","29.07","43.80","25.95","28.89","-1.07","-16.31","1,489,628,429"
"2001-01-01T06:00:00.000Z","28.07","34.74","15.47","20.68","-28.40","-43.64","1,787,670,641"
"2002-01-01T06:00:00.000Z","20.86","25.13","13.46","16.28","-21.28","-36.52","2,032,314,880"
"2003-01-01T06:00:00.000Z","16.77","23.76","14.81","23.29","43.04","27.80","2,048,632,682"
"2004-01-01T06:00:00.000Z","23.45","28.36","20.84","27.75","19.16","3.92","2,084,785,801"
"2005-01-03T06:00:00.000Z","27.76","29.94","22.85","23.93","-13.78","-29.02","1,833,865,814"
"2006-01-02T06:00:00.000Z","24.04","34.83","23.73","34.21","42.97","27.73","2,631,698,062"
"2007-01-01T06:00:00.000Z","34.15","36.72","30.68","32.28","-5.64","-20.88","2,539,520,102"
"2008-01-01T06:00:00.000Z","32.32","35.02","18.60","22.69","-29.71","-44.95","3,752,608,759"
"2009-01-01T06:00:00.000Z","22.76","32.75","15.14","32.25","42.13","26.89","3,487,245,265"
"2010-01-01T06:00:00.000Z","32.50","38.00","28.71","37.51","16.31","1.07","3,015,415,533"
"2011-01-03T06:00:00.000Z","37.74","44.34","28.19","37.50","-0.0267","-15.27","2,979,557,699"
"2012-01-02T06:00:00.000Z","37.97","53.40","37.94","49.79","32.77","17.53","2,231,701,684"
"2013-01-01T06:00:00.000Z","50.80","76.54","50.18","76.40","53.44","38.20","1,959,568,215"
"2014-01-01T06:00:00.000Z","76.04","95.93","69.85","94.19","23.29","8.05","1,684,066,992"
"2015-01-01T06:00:00.000Z","94.91","122.08","90.00","105.08","11.56","-3.68","2,102,201,422"
"2016-01-01T06:00:00.000Z","103.12","106.75","86.25","104.22","-0.8184","-16.06","2,048,624,268"
"2017-01-02T06:00:00.000Z","105.30","116.10","96.20","107.51","3.16","-12.08","1,861,463,176"
"2018-01-01T06:00:00.000Z","108.95","120.20","97.68","109.65","1.99","-13.25","2,018,657,060"
"2019-01-02T06:00:00.000Z","108.10","153.41","105.94","144.63","31.90","16.66","2,584,534,829"
"2020-01-02T06:00:00.000Z","145.29","183.40","79.07","181.18","25.27","10.03","3,702,577,349"
