"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"1969-12-01T06:00:00.000Z","785.97","800.36","783.79","800.36","","-8.23","0"
"1970-01-01T06:00:00.000Z","809.20","848.23","627.46","838.92","4.82","-3.41","29,467,300"
"1971-01-01T06:00:00.000Z","838.92","958.12","790.67","890.20","6.11","-2.11","38,947,400"
"1972-01-03T06:00:00.000Z","890.20","1,042.44","882.75","1,020.02","14.58","6.36","41,373,700"
"1973-01-01T06:00:00.000Z","1,022.88","1,067.20","783.56","850.86","-16.58","-24.81","40,577,800"
"1974-01-01T06:00:00.000Z","850.86","904.02","570.01","616.24","-27.57","-35.80","35,176,000"
"1975-01-01T06:00:00.000Z","619.13","888.85","619.13","852.41","38.32","30.10","46,972,300"
"1976-01-01T06:00:00.000Z","852.41","1,026.26","848.63","1,004.65","17.86","9.63","53,591,100"
"1977-01-03T06:00:00.000Z","1,004.65","1,007.81","792.79","831.17","-17.27","-25.50","52,777,000"
"1978-01-02T06:00:00.000Z","830.47","917.27","736.75","805.01","-3.15","-11.37","72,000,800"
"1979-01-01T06:00:00.000Z","805.01","904.86","792.24","838.74","4.19","-4.04","81,628,600"
"1980-01-01T06:00:00.000Z","838.74","1,009.39","729.95","963.98","14.93","6.70","113,506,300"
"1981-01-01T06:00:00.000Z","963.98","1,030.98","807.45","875.00","-9.23","-17.46","118,548,400"
"1982-01-01T06:00:00.000Z","875.00","1,074.32","769.98","1,046.55","19.61","11.38","164,563,800"
"1983-01-03T06:00:00.000Z","1,048.92","1,291.67","1,020.23","1,258.63","20.27","12.04","215,833,300"
"1984-01-02T06:00:00.000Z","1,257.72","1,291.87","1,082.05","1,211.57","-3.74","-11.97","230,796,300"
"1985-01-01T06:00:00.000Z","1,210.14","1,563.76","1,180.99","1,546.67","27.66","19.43","275,100,600"
"1986-01-01T06:00:00.000Z","1,546.67","1,971.70","1,497.71","1,896.00","22.59","14.36","356,794,900"
"1987-01-01T06:00:00.000Z","1,913.10","2,746.70","1,616.20","1,938.80","2.26","-5.97","477,984,500"
"1988-01-01T06:00:00.000Z","1,992.70","2,195.10","1,846.00","2,168.60","11.85","3.63","408,480,100"
"1989-01-02T06:00:00.000Z","2,154.50","2,808.10","2,127.10","2,753.20","26.96","18.73","416,956,000"
"1990-01-01T06:00:00.000Z","2,748.70","3,024.20","2,344.30","2,633.60","-4.34","-12.57","396,682,500"
"1991-01-01T06:00:00.000Z","2,627.20","3,187.84","2,448.20","3,168.83","20.32","12.10","485,974,540"
"1992-01-01T06:00:00.000Z","3,168.83","3,422.28","3,095.79","3,301.11","4.17","-4.05","509,256,735"
"1993-01-01T06:00:00.000Z","3,301.11","3,799.64","3,231.95","3,754.09","13.72","5.49","657,120,345"
"1994-01-03T06:00:00.000Z","3,753.53","3,985.67","3,520.80","3,834.44","2.14","-6.09","734,422,577"
"1995-01-02T06:00:00.000Z","3,834.44","5,266.70","3,794.40","5,117.10","33.45","25.22","865,428,406"
"1996-01-01T06:00:00.000Z","5,156.90","6,623.96","5,000.10","6,448.27","26.01","17.79","259,518,559"
"1997-01-01T06:00:00.000Z","6,448.27","8,340.14","6,315.84","7,908.25","22.64","14.41","147,089,027"
"1998-01-01T06:00:00.000Z","7,908.25","9,380.20","7,391.59","9,201.26","16.35","8.12","174,815,288"
"1999-01-01T06:00:00.000Z","9,201.26","11,569","9,063.26","11,497","24.95","16.72","248,104,434"
"2000-01-03T06:00:00.000Z","11,495","11,750","9,654.64","10,788","-6.17","-14.40","509,088,244"
"2001-01-01T06:00:00.000Z","10,703","11,350","8,062.34","10,022","-7.11","-15.33","591,327,151"
"2002-01-01T06:00:00.000Z","10,022","10,673","7,197.49","8,341.63","-16.76","-24.99","658,779,413"
"2003-01-01T06:00:00.000Z","8,342.38","10,462","7,416.64","10,454","25.32","17.09","560,621,803"
"2004-01-01T06:00:00.000Z","10,453","10,868","9,708.40","10,783","3.15","-5.08","550,762,091"
"2005-01-03T06:00:00.000Z","10,784","10,984","10,000","10,718","-0.6075","-8.83","633,755,282"
"2006-01-02T06:00:00.000Z","10,718","12,530","10,661","12,463","16.29","8.06","680,469,873"
"2007-01-01T06:00:00.000Z","12,460","14,198","11,940","13,265","6.43","-1.79","613,509,382"
"2008-01-01T06:00:00.000Z","13,262","13,280","7,449.38","8,776.39","-33.84","-42.06","699,806,289"
"2009-01-01T06:00:00.000Z","8,772.25","10,580","6,469.95","10,428","18.82","10.59","705,734,874"
"2010-01-01T06:00:00.000Z","10,431","11,625","9,614.32","11,578","11.02","2.80","507,022,403"
"2011-01-03T06:00:00.000Z","11,577","12,876","10,404","12,218","5.53","-2.70","456,728,031"
"2012-01-02T06:00:00.000Z","12,221","13,662","12,035","13,104","7.26","-0.9707","328,172,282"
"2013-01-01T06:00:00.000Z","13,104","16,588","13,104","16,577","26.50","18.27","297,891,072"
"2014-01-01T06:00:00.000Z","16,572","18,103","15,341","17,823","7.52","-0.7082","228,111,757"
"2015-01-01T06:00:00.000Z","17,823","18,351","15,370","17,425","-2.23","-10.46","275,194,335"
"2016-01-01T06:00:00.000Z","17,405","19,988","15,451","19,763","13.42","5.19","295,309,867"
"2017-01-02T06:00:00.000Z","19,873","24,876","19,678","24,719","25.08","16.85","781,215,739"
"2018-01-01T06:00:00.000Z","24,809","26,952","21,713","23,327","-5.63","-13.86","902,021,917"
"2019-01-02T06:00:00.000Z","23,059","28,702","22,638","28,538","22.34","14.11","694,206,211"
"2020-01-02T06:00:00.000Z","28,639","30,637","18,214","30,606","7.25","-0.9808","1,070,117,741"
"2021-01-04T06:00:00.000Z","30,627","36,679","29,856","36,338","18.73","10.50","864,538,599"
"2022-01-03T06:00:00.000Z","36,322","36,953","28,661","33,147","-8.78","-17.01","925,855,815"
"2023-01-03T06:00:00.000Z","33,149","35,679","31,430","34,838","5.10","-3.13","540,159,417"
