"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"1968-01-01T06:00:00.000Z","22.55","24.67","20.74","24.14","","-4.41","3,045,794"
"1969-01-01T06:00:00.000Z","24.57","24.89","17.23","18.19","-24.67","-29.08","2,386,314"
"1970-01-01T06:00:00.000Z","18.93","19.89","14.78","19.14","5.26","0.8551","3,431,743"
"1971-01-01T06:00:00.000Z","18.93","19.78","16.27","17.87","-6.67","-11.07","3,824,535"
"1972-01-03T06:00:00.000Z","17.97","18.82","16.38","17.55","-1.79","-6.19","3,250,042"
"1973-01-01T06:00:00.000Z","17.55","18.08","13.51","13.93","-20.61","-25.01","2,748,778"
"1974-01-01T06:00:00.000Z","13.93","15.32","6.38","6.81","-51.14","-55.55","5,450,085"
"1975-01-01T06:00:00.000Z","7.13","12.23","7.13","11.27","65.62","61.22","4,568,848"
"1976-01-01T06:00:00.000Z","11.27","13.29","11.06","12.87","14.15","9.74","8,548,882"
"1977-01-03T06:00:00.000Z","12.87","15.32","12.87","14.04","9.09","4.68","7,895,992"
"1978-01-02T06:00:00.000Z","14.04","14.36","11.38","11.49","-18.18","-22.59","8,605,636"
"1979-01-01T06:00:00.000Z","11.49","13.51","10.42","10.53","-8.33","-12.74","9,848,751"
"1980-01-01T06:00:00.000Z","10.53","12.12","8.51","9.25","-12.12","-16.53","15,703,265"
"1981-01-01T06:00:00.000Z","9.25","10.85","9.25","9.68","4.60","0.1894","16,516,210"
"1982-01-01T06:00:00.000Z","9.68","11.81","9.36","11.17","15.38","10.98","38,693,619"
"1983-01-03T06:00:00.000Z","11.17","13.61","11.06","11.70","4.76","0.3541","45,215,819"
"1984-01-02T06:00:00.000Z","11.70","13.72","9.78","13.61","16.36","11.96","58,626,563"
"1985-01-01T06:00:00.000Z","13.51","15.21","11.91","13.51","-0.7816","-5.19","91,089,712"
"1986-01-01T06:00:00.000Z","13.51","16.49","13.08","14.04","3.94","-0.4708","145,164,104"
"1987-01-01T06:00:00.000Z","14.04","16.17","10.64","11.38","-18.94","-23.35","118,597,563"
"1988-01-01T06:00:00.000Z","11.49","14.89","10.21","14.78","29.91","25.50","94,426,145"
"1989-01-02T06:00:00.000Z","14.78","22.02","14.57","21.59","46.04","41.64","92,573,879"
"1990-01-01T06:00:00.000Z","21.59","25.74","19.99","24.04","11.33","6.92","86,968,053"
"1991-01-01T06:00:00.000Z","24.04","30.10","23.61","29.57","23.01","18.60","64,090,283"
"1992-01-01T06:00:00.000Z","29.57","29.99","25.74","27.87","-5.76","-10.16","68,116,273"
"1993-01-01T06:00:00.000Z","28.08","31.59","25.42","25.53","-8.40","-12.81","78,057,406"
"1994-01-03T06:00:00.000Z","25.53","25.74","20.63","22.23","-12.92","-17.32","99,954,631"
"1995-01-02T06:00:00.000Z","22.23","29.67","21.91","29.35","32.06","27.65","79,824,474"
"1996-01-01T06:00:00.000Z","29.25","31.69","23.50","27.55","-6.16","-10.57","118,232,041"
"1997-01-01T06:00:00.000Z","27.65","29.57","22.23","29.51","7.14","2.73","108,617,274"
"1998-01-01T06:00:00.000Z","29.46","41.90","28.45","36.64","24.14","19.74","125,072,511"
"1999-01-01T06:00:00.000Z","36.43","38.02","26.43","26.91","-26.56","-30.97","123,459,885"
"2000-01-03T06:00:00.000Z","26.70","35.15","24.20","33.13","23.12","18.71","174,786,081"
"2001-01-01T06:00:00.000Z","32.92","40.10","28.18","35.68","7.71","3.30","216,447,703"
"2002-01-01T06:00:00.000Z","35.77","40.59","28.12","39.48","10.63","6.23","189,284,683"
"2003-01-01T06:00:00.000Z","39.56","42.12","28.93","33.52","-15.09","-19.49","250,844,031"
"2004-01-01T06:00:00.000Z","33.52","38.71","32.23","36.70","9.47","5.06","198,444,489"
"2005-01-03T06:00:00.000Z","36.87","41.10","35.22","36.75","0.1390","-4.27","182,729,575"
"2006-01-02T06:00:00.000Z","36.77","41.90","32.99","41.19","12.09","7.68","230,465,360"
"2007-01-01T06:00:00.000Z","41.29","46.58","37.40","37.40","-9.19","-13.60","376,019,660"
"2008-01-01T06:00:00.000Z","37.41","38.58","23.67","30.35","-18.86","-23.27","375,956,873"
"2009-01-01T06:00:00.000Z","30.74","38.25","19.84","37.09","22.20","17.80","344,490,401"
"2010-01-01T06:00:00.000Z","37.35","41.74","35.10","38.56","3.97","-0.4394","373,019,459"
"2011-01-03T06:00:00.000Z","38.76","47.03","36.77","46.33","20.15","15.74","346,260,527"
"2012-01-02T06:00:00.000Z","46.75","53.23","44.64","51.09","10.28","5.88","250,118,768"
"2013-01-01T06:00:00.000Z","51.76","62.38","51.33","56.49","10.56","6.15","294,510,377"
"2014-01-01T06:00:00.000Z","56.50","77.23","55.17","73.49","30.09","25.69","316,150,054"
"2015-01-01T06:00:00.000Z","73.88","78.51","62.31","68.23","-7.16","-11.56","322,520,944"
"2016-01-01T06:00:00.000Z","67.64","85.47","66.37","83.82","22.85","18.44","323,978,077"
"2017-01-02T06:00:00.000Z","84.01","99.33","82.16","93.13","11.12","6.71","258,714,144"
"2018-01-01T06:00:00.000Z","93.32","102.95","80.19","93.85","0.7674","-3.64","369,903,733"
"2019-01-02T06:00:00.000Z","93.75","114.33","91.32","110.50","17.74","13.33","309,595,564"
"2020-01-02T06:00:00.000Z","110.61","115.43","60.59","103.30","-6.51","-10.92","389,874,327"
"2021-01-04T06:00:00.000Z","103.56","123.74","98.43","119.54","15.72","11.31","268,631,046"
"2022-01-03T06:00:00.000Z","119.75","140.23","100.64","117.53","-1.68","-6.09","307,489,882"
"2023-01-03T06:00:00.000Z","117.75","121.32","101.31","102.18","-13.06","-17.47","200,164,230"
