"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"1968-01-01T06:00:00.000Z","16.32","18.78","14.52","16.70","","-5.14","1,546,596"
"1969-01-01T06:00:00.000Z","16.98","18.89","12.17","12.88","-22.88","-28.02","1,062,280"
"1970-01-01T06:00:00.000Z","12.88","12.88","8.84","10.81","-16.10","-21.24","4,628,645"
"1971-01-01T06:00:00.000Z","10.86","11.90","9.17","10.37","-4.04","-9.18","12,808,841"
"1972-01-03T06:00:00.000Z","10.04","10.92","9.23","10.15","-2.10","-7.25","10,372,081"
"1973-01-01T06:00:00.000Z","10.15","10.15","6.99","7.53","-25.81","-30.95","8,074,969"
"1974-01-01T06:00:00.000Z","7.64","9.06","4.37","4.64","-38.41","-43.55","12,801,523"
"1975-01-01T06:00:00.000Z","4.69","8.57","4.69","8.52","83.53","78.39","23,127,701"
"1976-01-01T06:00:00.000Z","8.46","10.21","7.26","9.61","12.82","7.68","26,845,603"
"1977-01-03T06:00:00.000Z","9.55","10.26","8.68","9.61","","-5.14","27,893,396"
"1978-01-02T06:00:00.000Z","9.61","9.61","7.92","8.46","-11.93","-17.08","31,921,110"
"1979-01-01T06:00:00.000Z","8.46","9.01","7.10","7.53","-10.97","-16.11","42,310,013"
"1980-01-01T06:00:00.000Z","7.59","8.41","6.00","7.92","5.07","-0.0703","47,460,862"
"1981-01-01T06:00:00.000Z","7.92","9.83","6.93","9.01","13.79","8.65","70,090,442"
"1982-01-01T06:00:00.000Z","9.01","10.48","8.84","10.15","12.73","7.58","108,678,790"
"1983-01-03T06:00:00.000Z","10.15","11.52","9.50","10.97","8.06","2.92","134,328,109"
"1984-01-02T06:00:00.000Z","10.97","13.16","9.72","12.66","15.42","10.28","90,292,169"
"1985-01-01T06:00:00.000Z","12.66","16.10","12.45","15.45","21.98","16.84","105,689,041"
"1986-01-01T06:00:00.000Z","15.45","22.71","15.23","19.76","27.92","22.77","113,356,108"
"1987-01-01T06:00:00.000Z","19.76","22.60","17.20","18.72","-5.25","-10.39","138,631,046"
"1988-01-01T06:00:00.000Z","18.78","21.40","18.45","20.20","7.87","2.73","100,870,907"
"1989-01-02T06:00:00.000Z","20.20","24.68","18.67","24.51","21.35","16.21","79,317,064"
"1990-01-01T06:00:00.000Z","24.51","28.28","22.27","26.75","9.13","3.99","99,263,485"
"1991-01-01T06:00:00.000Z","26.75","30.57","23.36","30.57","14.29","9.14","75,479,746"
"1992-01-01T06:00:00.000Z","30.57","32.75","27.40","31.55","3.21","-1.93","65,629,959"
"1993-01-01T06:00:00.000Z","31.77","39.20","30.90","37.01","17.30","12.16","57,780,977"
"1994-01-03T06:00:00.000Z","37.01","37.56","28.71","33.30","-10.03","-15.17","85,955,573"
"1995-01-02T06:00:00.000Z","33.30","41.82","32.65","41.38","24.26","19.12","68,282,311"
"1996-01-01T06:00:00.000Z","41.16","46.29","37.89","40.40","-2.37","-7.52","99,698,998"
"1997-01-01T06:00:00.000Z","40.51","49.40","36.58","48.37","19.73","14.59","209,447,342"
"1998-01-01T06:00:00.000Z","48.48","62.01","46.40","55.96","15.69","10.55","238,741,756"
"1999-01-01T06:00:00.000Z","55.96","57.05","40.83","43.78","-21.76","-26.90","270,487,929"
"2000-01-03T06:00:00.000Z","43.67","78.99","39.96","74.46","70.07","64.93","398,065,582"
"2001-01-01T06:00:00.000Z","74.02","83.40","56.29","68.58","-7.89","-13.04","494,704,379"
"2002-01-01T06:00:00.000Z","68.22","69.88","28.68","34.13","-50.23","-55.37","749,361,313"
"2003-01-01T06:00:00.000Z","34.48","37.68","21.33","35.72","4.66","-0.4851","778,206,266"
"2004-01-01T06:00:00.000Z","35.99","45.70","32.93","44.25","23.86","18.72","480,759,665"
"2005-01-03T06:00:00.000Z","44.41","53.37","42.57","47.95","8.37","3.23","523,470,181"
"2006-01-02T06:00:00.000Z","48.30","60.27","47.06","58.01","20.98","15.84","541,817,045"
"2007-01-01T06:00:00.000Z","60.00","63.90","50.73","60.51","4.30","-0.8410","652,067,098"
"2008-01-01T06:00:00.000Z","60.39","61.80","40.50","45.03","-25.58","-30.72","790,644,254"
"2009-01-01T06:00:00.000Z","45.15","53.82","35.16","51.63","14.66","9.51","716,814,919"
"2010-01-01T06:00:00.000Z","51.63","55.80","46.41","53.43","3.49","-1.66","675,756,850"
"2011-01-03T06:00:00.000Z","53.76","66.36","50.61","66.00","23.53","18.38","938,607,779"
"2012-01-02T06:00:00.000Z","66.33","71.13","59.63","63.80","-3.33","-8.48","1,065,718,231"
"2013-01-01T06:00:00.000Z","64.56","75.47","64.16","69.01","8.17","3.02","750,364,077"
"2014-01-01T06:00:00.000Z","69.20","87.29","67.05","83.54","21.05","15.91","786,020,276"
"2015-01-01T06:00:00.000Z","83.54","89.97","65.50","71.39","-14.54","-19.69","876,568,614"
"2016-01-01T06:00:00.000Z","70.93","87.75","70.16","77.62","8.73","3.58","830,062,596"
"2017-01-02T06:00:00.000Z","77.65","91.80","76.14","84.11","8.36","3.22","651,400,994"
"2018-01-01T06:00:00.000Z","84.28","91.35","71.96","86.30","2.60","-2.54","967,092,709"
"2019-01-02T06:00:00.000Z","86.11","97.37","82.46","91.21","5.69","0.5472","817,164,406"
"2020-01-02T06:00:00.000Z","91.28","103.79","62.13","91.56","0.3837","-4.76","937,861,585"
"2021-01-04T06:00:00.000Z","91.78","108.38","85.56","104.90","14.57","9.43","758,746,830"
"2022-01-03T06:00:00.000Z","104.91","116.33","83.76","102.99","-1.82","-6.96","735,060,680"
"2023-01-03T06:00:00.000Z","103.20","106.43","87.20","87.93","-14.62","-19.77","487,799,835"
