"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"1968-01-01T06:00:00.000Z","2.03","2.23","1.76","2.14","","-8.83","63,240,200"
"1969-01-01T06:00:00.000Z","2.14","2.54","1.88","2.51","17.56","8.73","64,327,424"
"1970-01-01T06:00:00.000Z","2.49","2.78","1.77","2.75","9.54","0.7098","82,680,332"
"1971-01-01T06:00:00.000Z","2.78","3.40","2.78","3.34","21.59","12.75","77,923,492"
"1972-01-03T06:00:00.000Z","3.24","3.95","3.24","3.80","13.71","4.87","71,220,204"
"1973-01-01T06:00:00.000Z","3.80","4.44","3.00","3.63","-4.66","-13.49","72,393,820"
"1974-01-01T06:00:00.000Z","3.63","3.78","1.74","2.04","-43.68","-52.51","87,003,940"
"1975-01-01T06:00:00.000Z","2.04","3.40","1.96","2.86","40.31","31.48","113,056,204"
"1976-01-01T06:00:00.000Z","2.86","3.46","2.64","2.88","0.3631","-8.47","128,020,368"
"1977-01-03T06:00:00.000Z","2.88","3.00","2.60","2.80","-2.54","-11.37","106,444,124"
"1978-01-02T06:00:00.000Z","2.81","3.27","2.45","2.97","5.95","-2.89","124,851,092"
"1979-01-01T06:00:00.000Z","2.96","3.25","2.67","2.93","-1.40","-10.24","132,794,028"
"1980-01-01T06:00:00.000Z","2.93","3.41","2.46","3.04","3.91","-4.92","200,408,704"
"1981-01-01T06:00:00.000Z","3.04","4.15","3.00","3.78","24.32","15.48","179,026,856"
"1982-01-01T06:00:00.000Z","3.78","5.33","3.32","5.04","33.33","24.50","311,353,380"
"1983-01-03T06:00:00.000Z","5.03","5.74","4.57","5.54","9.92","1.08","385,326,936"
"1984-01-02T06:00:00.000Z","5.54","5.98","4.84","5.79","4.51","-4.32","295,441,232"
"1985-01-01T06:00:00.000Z","5.79","6.87","5.56","6.77","16.91","8.07","391,585,000"
"1986-01-01T06:00:00.000Z","6.77","7.72","6.51","6.98","3.08","-5.76","431,490,208"
"1987-01-01T06:00:00.000Z","6.98","10.48","6.69","8.66","24.03","15.20","543,417,048"
"1988-01-01T06:00:00.000Z","8.66","9.00","6.81","7.59","-12.27","-21.11","351,528,000"
"1989-01-02T06:00:00.000Z","7.56","9.97","7.38","9.75","28.39","19.56","347,516,400"
"1990-01-01T06:00:00.000Z","9.75","11.09","7.69","9.44","-3.21","-12.04","355,725,200"
"1991-01-01T06:00:00.000Z","9.44","13.75","9.22","13.75","45.70","36.86","302,730,800"
"1992-01-01T06:00:00.000Z","13.59","14.50","11.69","13.75","","-8.83","286,734,400"
"1993-01-01T06:00:00.000Z","13.72","15.59","13.19","15.06","9.55","0.7109","322,865,600"
"1994-01-03T06:00:00.000Z","15.03","16.47","14.03","15.59","3.53","-5.31","332,788,400"
"1995-01-02T06:00:00.000Z","15.53","20.44","15.38","20.44","31.06","22.23","340,961,600"
"1996-01-01T06:00:00.000Z","20.28","25.88","19.38","24.22","18.50","9.67","339,188,800"
"1997-01-01T06:00:00.000Z","24.19","30.19","22.50","28.22","16.52","7.68","335,678,600"
"1998-01-01T06:00:00.000Z","28.38","33.72","27.25","30.25","7.20","-1.64","385,775,400"
"1999-01-01T06:00:00.000Z","30.47","35.72","25.72","28.69","-5.17","-14.00","511,255,400"
"2000-01-03T06:00:00.000Z","28.44","39.88","20.25","39.41","37.36","28.53","743,801,402"
"2001-01-01T06:00:00.000Z","39.41","39.63","22.02","28.55","-27.55","-36.38","955,270,602"
"2002-01-01T06:00:00.000Z","28.35","33.05","20.87","25.43","-10.95","-19.78","827,389,996"
"2003-01-01T06:00:00.000Z","25.52","32.50","21.89","32.38","27.34","18.50","709,527,760"
"2004-01-01T06:00:00.000Z","32.38","35.44","28.11","35.05","8.26","-0.5720","638,101,996"
"2005-01-03T06:00:00.000Z","35.10","38.92","30.34","37.35","6.56","-2.27","685,561,000"
"2006-01-02T06:00:00.000Z","37.52","45.21","36.78","44.09","18.05","9.21","794,940,804"
