"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"1972-12-01T06:00:00.000Z","3.56","3.59","3.53","3.59","","-7.25","24,800"
"1973-01-01T06:00:00.000Z","3.66","3.84","2.44","2.53","-29.57","-36.82","635,200"
"1974-01-01T06:00:00.000Z","2.69","2.75","1.28","1.41","-44.45","-51.69","1,225,600"
"1975-01-01T06:00:00.000Z","1.47","1.78","1.34","1.42","1.12","-6.13","896,800"
"1976-01-01T06:00:00.000Z","1.44","2.00","1.44","1.70","19.78","12.53","1,292,800"
"1977-01-03T06:00:00.000Z","1.70","1.83","1.47","1.58","-7.34","-14.59","1,664,800"
"1978-01-02T06:00:00.000Z","1.58","1.91","1.48","1.66","4.95","-2.30","1,356,000"
"1979-01-01T06:00:00.000Z","1.70","2.17","1.63","1.95","17.93","10.68","856,000"
"1980-01-01T06:00:00.000Z","1.97","2.09","1.56","1.66","-15.20","-22.45","778,400"
"1981-01-01T06:00:00.000Z","1.64","1.72","1.31","1.52","-8.49","-15.74","997,600"
"1982-01-01T06:00:00.000Z","1.53","2.47","1.41","2.47","62.89","55.64","1,422,400"
"1983-01-03T06:00:00.000Z","2.39","2.94","2.20","2.88","16.45","9.20","319,200"
"1984-03-01T06:00:00.000Z","2.75","3.33","2.41","3.25","13.04","5.80","872,000"
"1985-01-01T06:00:00.000Z","3.19","4.13","3.00","3.88","19.23","11.98","1,256,000"
"1986-01-01T06:00:00.000Z","3.80","4.09","3.31","3.55","-8.47","-15.72","1,437,600"
"1987-01-01T06:00:00.000Z","3.67","5.22","3.66","4.16","17.18","9.93","983,200"
"1988-01-01T06:00:00.000Z","4.19","5.06","4.11","4.50","8.27","1.02","1,281,600"
"1989-01-02T06:00:00.000Z","4.48","5.34","4.45","4.73","5.21","-2.04","1,522,400"
"1990-01-01T06:00:00.000Z","4.69","5.41","4.59","5.13","8.25","1.00","2,495,200"
"1991-01-01T06:00:00.000Z","5.20","5.28","3.06","3.59","-29.88","-37.13","1,364,000"
"1992-01-01T06:00:00.000Z","3.59","3.59","2.13","2.22","-38.26","-45.51","2,586,400"
"1993-01-01T06:00:00.000Z","2.19","3.13","2.17","3.00","35.21","27.96","2,462,400"
"1994-01-03T06:00:00.000Z","3.00","3.19","2.44","2.54","-15.36","-22.61","1,226,400"
"1995-01-02T06:00:00.000Z","2.53","3.06","2.34","2.83","11.38","4.13","2,676,000"
"1996-01-01T06:00:00.000Z","2.97","3.92","2.92","3.61","27.63","20.38","3,844,800"
"1997-01-01T06:00:00.000Z","3.61","5.66","3.48","5.63","55.84","48.59","3,553,600"
"1998-01-01T06:00:00.000Z","5.75","5.91","4.69","5.74","2.08","-5.16","2,554,400"
"1999-01-01T06:00:00.000Z","5.75","6.22","4.81","5.03","-12.38","-19.63","2,335,600"
"2000-01-03T06:00:00.000Z","5.03","7.22","4.00","7.16","42.24","34.99","1,914,800"
"2001-01-01T06:00:00.000Z","7.00","7.19","5.56","6.80","-4.91","-12.16","2,007,380,544"
"2002-01-01T06:00:00.000Z","6.78","8.09","6.47","6.79","-0.2939","-7.54","16,714,400"
"2003-01-01T06:00:00.000Z","6.83","10.41","6.72","10.35","52.51","45.26","13,467,200"
"2004-01-01T06:00:00.000Z","10.34","12.50","8.79","12.45","20.27","13.02","17,354,800"
"2005-01-03T06:00:00.000Z","12.35","16.55","11.60","15.63","25.63","18.38","62,169,400"
"2006-01-02T06:00:00.000Z","15.63","18.00","14.03","17.20","10.01","2.76","77,422,000"
"2007-01-01T06:00:00.000Z","17.18","22.14","15.46","20.21","17.53","10.28","97,971,842"
"2008-01-01T06:00:00.000Z","20.20","23.38","13.14","16.23","-19.69","-26.94","254,345,424"
"2009-01-01T06:00:00.000Z","16.27","23.26","13.74","23.11","42.35","35.10","197,392,088"
"2010-01-01T06:00:00.000Z","23.45","28.92","21.29","28.20","22.03","14.78","141,619,836"
"2011-01-03T06:00:00.000Z","28.38","37.47","27.23","37.41","32.66","25.41","162,425,767"
"2012-01-02T06:00:00.000Z","37.80","43.34","34.42","43.32","15.80","8.55","147,351,352"
"2013-01-01T06:00:00.000Z","44.05","48.41","39.69","43.68","0.8310","-6.42","214,280,513"
"2014-01-01T06:00:00.000Z","43.57","57.19","41.08","51.41","17.70","10.45","238,739,126"
"2015-01-01T06:00:00.000Z","51.03","54.43","29.19","33.19","-35.44","-42.69","303,638,014"
"2016-01-01T06:00:00.000Z","32.62","45.77","27.43","42.12","26.91","19.66","442,291,951"
"2017-01-02T06:00:00.000Z","42.52","44.52","34.39","39.11","-7.15","-14.39","995,419,939"
"2018-01-01T06:00:00.000Z","39.36","41.21","28.82","31.08","-20.53","-27.78","1,006,641,306"
"2019-01-02T06:00:00.000Z","30.74","39.86","30.54","39.77","27.96","20.71","831,843,445"
"2020-01-02T06:00:00.000Z","39.80","43.15","22.57","31.99","-19.56","-26.81","1,079,635,702"
"2021-01-04T06:00:00.000Z","32.35","43.34","31.77","39.08","22.16","14.91","1,141,049,198"
"2022-01-03T06:00:00.000Z","39.13","47.67","35.02","39.10","0.0512","-7.20","1,010,963,804"
"2023-01-03T06:00:00.000Z","38.91","42.11","33.96","35.51","-9.18","-16.43","625,795,165"
