"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"1989-10-02T05:00:00.000Z","2.50","3.16","2.38","3.16","","-17.89","61,861,600"
"1990-01-01T06:00:00.000Z","3.13","3.77","2.48","2.66","-15.84","-33.73","81,460,800"
"1991-01-01T06:00:00.000Z","2.63","3.14","2.03","2.44","-8.23","-26.12","80,491,200"
"1992-01-01T06:00:00.000Z","2.42","4.48","2.08","3.67","50.64","32.76","160,776,800"
"1993-01-01T06:00:00.000Z","3.69","6.75","3.34","4.88","32.77","14.88","152,588,800"
"1994-01-03T06:00:00.000Z","4.88","6.16","4.34","4.69","-3.85","-21.73","128,116,800"
"1995-01-02T06:00:00.000Z","4.75","6.34","4.28","6.00","28.00","10.11","139,846,396"
"1996-01-01T06:00:00.000Z","6.06","7.66","5.59","6.31","5.21","-12.68","312,132,000"
"1997-01-01T06:00:00.000Z","6.25","6.75","4.38","5.30","-16.09","-33.98","418,458,400"
"1998-01-01T06:00:00.000Z","5.27","6.13","2.94","4.31","-18.58","-36.47","458,240,000"
"1999-01-01T06:00:00.000Z","4.27","6.34","3.59","4.39","1.81","-16.08","688,933,196"
"2000-01-03T06:00:00.000Z","4.30","14.17","3.42","13.66","211.03","193.15","1,244,204,016"
"2001-01-01T06:00:00.000Z","13.61","13.88","6.45","9.78","-28.40","-46.29","1,378,337,604"
"2002-01-01T06:00:00.000Z","9.55","11.04","7.50","9.98","2.07","-15.82","876,144,000"
"2003-01-01T06:00:00.000Z","10.11","11.88","8.93","11.54","15.66","-2.23","979,698,828"
"2004-01-01T06:00:00.000Z","11.51","19.13","10.61","17.84","54.56","36.67","1,124,157,600"
"2005-01-03T06:00:00.000Z","17.84","41.00","16.02","36.69","105.63","87.75","1,343,861,606"
"2006-01-02T06:00:00.000Z","37.00","43.45","28.16","31.23","-14.88","-32.77","1,749,130,986"
"2007-01-01T06:00:00.000Z","30.91","45.81","29.61","44.63","42.91","25.03","1,340,638,374"
"2008-01-01T06:00:00.000Z","45.00","72.50","27.21","33.29","-25.40","-43.29","2,013,525,676"
"2009-01-01T06:00:00.000Z","33.97","50.88","22.52","48.65","46.14","28.25","1,742,212,342"
"2010-01-01T06:00:00.000Z","49.67","57.48","42.71","45.70","-6.05","-23.94","1,379,277,402"
"2011-01-03T06:00:00.000Z","46.23","60.72","33.41","49.26","7.77","-10.12","1,306,667,198"
"2012-01-02T06:00:00.000Z","50.30","62.25","41.24","60.40","22.62","4.73","1,067,912,120"
"2013-01-01T06:00:00.000Z","61.70","94.15","56.02","83.92","38.95","21.06","891,909,640"
"2014-01-01T06:00:00.000Z","83.28","118.89","80.63","92.07","9.71","-8.18","1,087,461,316"
"2015-01-01T06:00:00.000Z","91.01","101.36","68.15","70.79","-23.11","-41.00","1,177,647,450"
"2016-01-01T06:00:00.000Z","70.80","109.37","57.15","101.10","42.82","24.93","971,918,786"
"2017-01-02T06:00:00.000Z","102.63","109.66","81.99","107.91","6.74","-11.15","763,780,078"
"2018-01-01T06:00:00.000Z","108.67","133.53","82.04","87.21","-19.18","-37.07","854,889,001"
"2019-01-02T06:00:00.000Z","85.66","107.89","64.33","83.76","-3.96","-21.84","994,221,520"
"2020-01-02T06:00:00.000Z","84.32","89.54","27.00","49.87","-40.46","-58.35","1,389,819,670"
"2021-01-04T06:00:00.000Z","50.76","98.20","48.60","88.83","78.12","60.24","1,118,695,637"
"2022-01-03T06:00:00.000Z","88.33","150.88","88.29","129.52","45.81","27.92","1,048,827,815"
"2023-01-03T06:00:00.000Z","128.00","137.95","98.52","130.98","1.13","-16.76","574,149,276"
