"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"1968-01-01T06:00:00.000Z","0.4571","0.5293","0.4504","0.5226","","-12.53","34,585,622"
"1969-01-01T06:00:00.000Z","0.5193","0.5344","0.4084","0.4285","-18.01","-30.54","26,684,569"
"1970-01-01T06:00:00.000Z","0.4403","0.4688","0.3647","0.4588","7.07","-5.46","23,247,872"
"1971-01-01T06:00:00.000Z","0.4638","0.4957","0.4369","0.4604","0.3487","-12.18","20,696,461"
"1972-01-03T06:00:00.000Z","0.4604","0.4857","0.4168","0.4604","","-12.53","25,100,129"
"1973-01-01T06:00:00.000Z","0.4638","0.4890","0.3579","0.3731","-18.96","-31.49","21,946,127"
"1974-01-01T06:00:00.000Z","0.3731","0.4336","0.2806","0.2890","-22.54","-35.07","16,211,100"
"1975-01-01T06:00:00.000Z","0.2890","0.4218","0.2890","0.3983","37.82","25.29","16,969,913"
"1976-01-01T06:00:00.000Z","0.3983","0.4991","0.3966","0.4991","25.31","12.78","18,695,593"
"1977-01-03T06:00:00.000Z","0.4991","0.5243","0.4655","0.4924","-1.34","-13.87","18,160,126"
"1978-01-02T06:00:00.000Z","0.4957","0.4974","0.4319","0.4403","-10.58","-23.11","21,053,829"
"1979-01-01T06:00:00.000Z","0.4403","0.6722","0.4319","0.6587","49.60","37.07","31,981,160"
"1980-01-01T06:00:00.000Z","0.6587","1.37","0.5310","1.36","107.15","94.62","67,560,298"
"1981-01-01T06:00:00.000Z","1.36","1.45","1.05","1.44","5.67","-6.87","43,261,941"
"1982-01-01T06:00:00.000Z","1.50","1.62","0.7562","0.9679","-32.87","-45.40","46,769,271"
"1983-01-03T06:00:00.000Z","0.9679","2.05","0.9326","1.85","90.63","78.10","74,101,044"
"1984-01-02T06:00:00.000Z","1.85","2.34","1.72","2.18","18.03","5.50","69,636,816"
"1985-01-01T06:00:00.000Z","2.16","3.06","2.03","2.34","7.64","-4.89","150,298,321"
"1986-01-01T06:00:00.000Z","2.34","3.37","2.00","3.31","41.29","28.76","109,731,807"
"1987-01-01T06:00:00.000Z","3.31","4.25","2.47","2.87","-13.35","-25.89","89,551,140"
