"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"1972-12-01T06:00:00.000Z","0.9333","0.9333","0.9333","0.9333","","-15.44","5,984"
"1973-01-01T06:00:00.000Z","0.9417","1.04","0.9375","0.9375","0.4500","-14.99","614,400"
"1974-01-01T06:00:00.000Z","0.8958","1.19","0.8542","1.00","6.67","-8.77","637,120"
"1975-02-03T06:00:00.000Z","1.16","1.20","0.8646","0.8646","-13.54","-28.98","90,752"
"1976-01-01T06:00:00.000Z","0.8854","0.9896","0.7188","0.7188","-16.86","-32.30","2,178,528"
"1981-08-03T05:00:00.000Z","0.7813","0.8854","0.7031","0.7917","10.14","-5.30","335,808"
"1982-01-01T06:00:00.000Z","0.8229","1.47","0.7031","1.45","83.54","68.10","110,778,496"
"1983-01-03T06:00:00.000Z","1.41","2.00","1.40","1.56","7.53","-7.91","593,795,200"
"1984-01-02T06:00:00.000Z","1.51","1.51","0.8438","0.8984","-42.50","-57.94","506,598,400"
"1985-01-01T06:00:00.000Z","0.8984","1.09","0.7266","0.9258","3.05","-12.39","989,740,800"
"1986-01-01T06:00:00.000Z","0.9609","1.32","0.8633","0.9727","5.07","-10.38","532,572,800"
"1987-01-01T06:00:00.000Z","0.9922","1.48","0.7891","0.8281","-14.87","-30.31","430,364,800"
"1988-01-01T06:00:00.000Z","0.8359","1.86","0.8320","1.85","123.13","107.68","259,401,600"
"1989-01-02T06:00:00.000Z","1.85","4.50","1.83","4.49","142.91","127.47","286,838,400"
"1990-01-01T06:00:00.000Z","4.49","7.43","4.04","5.04","12.27","-3.17","346,211,200"
"1991-01-01T06:00:00.000Z","4.90","6.29","2.40","3.01","-40.31","-55.75","517,032,960"
"1992-01-01T06:00:00.000Z","3.01","4.26","2.79","4.14","37.66","22.22","451,435,520"
"1993-01-01T06:00:00.000Z","4.16","9.41","3.65","6.31","52.36","36.92","1,517,899,516"
"1994-01-03T06:00:00.000Z","6.41","9.94","6.23","8.61","36.53","21.09","1,147,862,384"
"1995-01-02T06:00:00.000Z","8.67","16.41","8.40","12.19","41.50","26.06","1,309,090,254"
"1996-01-01T06:00:00.000Z","12.42","19.85","10.86","18.87","54.81","39.37","1,155,044,448"
"1997-01-01T06:00:00.000Z","18.98","31.64","17.97","23.32","23.60","8.16","933,662,554"
"1998-01-01T06:00:00.000Z","23.91","42.50","18.75","29.92","28.31","12.87","1,032,742,186"
"1999-01-01T06:00:00.000Z","31.25","84.06","25.63","82.11","174.41","158.97","838,827,772"
"2000-01-03T06:00:00.000Z","85.39","131.56","51.88","55.94","-31.87","-47.32","1,012,715,332"
"2001-01-01T06:00:00.000Z","56.56","67.50","15.25","26.10","-53.34","-68.78","849,025,756"
"2002-01-01T06:00:00.000Z","26.90","30.00","1.70","3.37","-87.09","-102.53","1,186,704,738"
"2003-01-01T06:00:00.000Z","3.65","9.43","2.60","8.85","162.61","147.17","1,744,206,702"
"2004-01-01T06:00:00.000Z","9.05","17.29","8.96","15.74","77.91","62.47","1,919,162,150"
"2005-01-03T06:00:00.000Z","16.16","18.59","13.89","17.20","9.24","-6.20","1,324,203,672"
"2006-01-02T06:00:00.000Z","17.59","20.57","14.44","20.11","16.95","1.51","963,885,876"
"2007-01-01T06:00:00.000Z","20.64","21.70","11.12","11.68","-41.96","-57.40","1,468,881,682"
"2008-01-01T06:00:00.000Z","11.72","14.00","5.49","7.81","-33.10","-48.55","2,117,671,107"
"2009-01-01T06:00:00.000Z","7.85","10.92","6.60","9.19","17.67","2.23","1,699,680,925"
"2010-01-01T06:00:00.000Z","9.53","12.39","9.40","11.53","25.46","10.02","1,586,273,056"
"2011-01-03T06:00:00.000Z","11.68","15.44","8.83","10.13","-12.14","-27.58","1,560,523,758"
"2012-01-02T06:00:00.000Z","10.40","10.60","8.23","10.10","-0.2962","-15.74","1,099,362,472"
"2013-01-01T06:00:00.000Z","10.31","14.22","9.78","12.24","21.19","5.75","970,052,633"
"2014-01-01T06:00:00.000Z","12.07","13.61","11.20","12.10","-1.14","-16.59","970,642,381"
"2015-01-01T06:00:00.000Z","11.99","13.14","8.87","9.61","-20.58","-36.02","924,547,500"
"2016-01-01T06:00:00.000Z","9.51","10.20","4.83","5.83","-39.33","-54.78","1,275,563,144"
"2017-01-02T06:00:00.000Z","5.78","7.47","5.52","6.68","14.58","-0.8615","1,213,312,831"
"2018-01-01T06:00:00.000Z","6.67","9.45","6.00","8.87","32.78","17.34","1,445,176,971"
"2019-01-02T06:00:00.000Z","8.50","10.46","7.58","8.78","-1.01","-16.46","1,509,060,628"
"2020-01-02T06:00:00.000Z","8.96","12.61","6.15","11.95","36.10","20.66","2,170,757,615"
"2021-01-04T06:00:00.000Z","12.22","15.31","9.93","10.87","-9.04","-24.48","1,619,621,099"
"2022-01-03T06:00:00.000Z","10.97","12.78","5.16","5.84","-46.27","-61.72","2,321,090,973"
"2023-01-03T06:00:00.000Z","5.88","6.43","4.83","5.14","-11.99","-27.43","1,590,855,122"
