"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"1968-01-01T06:00:00.000Z","16.63","19.50","16.00","18.88","","-4.35","1,907,200"
"1969-01-01T06:00:00.000Z","18.38","19.88","14.00","14.88","-21.19","-25.54","2,221,300"
"1970-01-01T06:00:00.000Z","15.00","15.38","12.00","14.13","-5.04","-9.39","3,156,400"
"1971-01-01T06:00:00.000Z","14.13","15.50","12.75","14.25","0.8850","-3.47","4,485,100"
"1972-01-03T06:00:00.000Z","14.13","17.00","14.00","16.13","13.16","8.81","6,304,400"
"1973-01-01T06:00:00.000Z","16.13","16.63","10.38","11.38","-29.46","-33.81","4,352,800"
"1974-01-01T06:00:00.000Z","11.38","12.50","5.50","6.38","-43.96","-48.31","7,399,600"
"1975-01-01T06:00:00.000Z","6.38","10.63","6.38","10.00","56.86","52.51","9,570,800"
"1976-01-01T06:00:00.000Z","10.00","11.50","9.88","10.88","8.75","4.40","11,306,500"
"1977-01-03T06:00:00.000Z","10.88","12.38","10.25","10.75","-1.15","-5.50","10,772,700"
"1978-01-02T06:00:00.000Z","10.75","10.88","8.75","9.00","-16.28","-20.63","8,790,300"
"1979-01-01T06:00:00.000Z","9.13","10.63","8.63","9.13","1.39","-2.96","9,617,500"
"1980-01-01T06:00:00.000Z","9.13","9.75","7.38","8.00","-12.33","-16.68","9,795,200"
"1981-01-01T06:00:00.000Z","8.00","9.75","7.88","9.13","14.06","9.71","14,845,400"
"1982-01-01T06:00:00.000Z","9.13","12.50","8.88","12.13","32.88","28.53","33,885,600"
"1983-01-03T06:00:00.000Z","12.13","13.88","11.75","12.25","1.03","-3.32","45,554,900"
"1984-01-02T06:00:00.000Z","12.25","14.75","10.63","14.25","16.33","11.98","53,933,400"
"1985-01-01T06:00:00.000Z","14.25","18.75","13.75","17.75","24.56","20.21","49,258,200"
"1986-01-01T06:00:00.000Z","17.75","28.25","17.38","24.25","36.62","32.27","65,533,500"
"1987-01-01T06:00:00.000Z","24.50","28.00","18.00","20.25","-16.49","-20.84","60,038,300"
"1988-01-01T06:00:00.000Z","20.25","23.13","18.25","19.88","-1.85","-6.20","63,772,999"
"1989-01-02T06:00:00.000Z","19.88","23.00","18.50","22.50","13.21","8.86","39,255,700"
"1990-01-01T06:00:00.000Z","22.50","22.63","17.88","20.00","-11.11","-15.46","38,442,100"
"1991-01-01T06:00:00.000Z","20.00","24.38","19.00","23.63","18.13","13.78","43,383,200"
"1992-01-01T06:00:00.000Z","24.00","26.75","22.50","26.50","12.17","7.82","44,466,000"
"1993-01-01T06:00:00.000Z","26.38","28.88","22.00","23.75","-10.38","-14.73","59,741,400"
"1994-01-03T06:00:00.000Z","23.63","25.75","20.38","21.63","-8.95","-13.30","60,075,600"
"1995-01-02T06:00:00.000Z","21.63","25.38","21.00","24.25","12.14","7.79","54,568,500"
"1996-01-01T06:00:00.000Z","24.25","25.25","9.50","13.13","-45.88","-50.23","130,551,100"
"1997-01-01T06:00:00.000Z","13.00","14.25","7.63","11.81","-10.00","-14.35","139,171,401"
"1998-01-01T06:00:00.000Z","11.75","17.25","11.69","16.00","35.45","31.10","77,694,900"
"1999-01-01T06:00:00.000Z","15.88","22.00","13.56","20.56","28.52","24.17","103,028,000"
"2000-01-03T06:00:00.000Z","20.50","24.56","18.00","24.25","17.93","13.58","97,696,999"
"2001-01-01T06:00:00.000Z","24.00","24.35","16.59","17.63","-27.30","-31.65","112,731,100"
"2002-01-01T06:00:00.000Z","17.63","20.70","12.66","15.17","-13.95","-18.30","90,263,200"
"2003-01-01T06:00:00.000Z","15.24","20.32","13.13","20.17","32.96","28.61","134,297,193"
"2004-01-01T06:00:00.000Z","20.20","20.27","17.17","18.85","-6.54","-10.89","124,579,100"
"2005-01-03T06:00:00.000Z","18.81","21.95","17.30","19.69","4.46","0.1062","160,628,402"
"2006-01-02T06:00:00.000Z","19.79","28.90","19.07","28.16","43.02","38.67","184,418,700"
"2007-01-01T06:00:00.000Z","27.95","33.62","26.21","31.31","11.19","6.84","241,903,154"
"2008-01-01T06:00:00.000Z","31.09","31.62","17.16","24.06","-23.16","-27.51","291,578,200"
"2009-01-01T06:00:00.000Z","24.10","26.48","19.01","25.79","7.19","2.84","437,243,296"
"2010-01-01T06:00:00.000Z","25.65","32.21","24.68","31.88","23.61","19.26","355,520,201"
