"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"1968-01-01T06:00:00.000Z","1.54","2.07","1.27","1.94","","-11.69","40,370,520"
"1969-01-01T06:00:00.000Z","1.92","2.20","1.57","1.95","0.9242","-10.76","50,737,200"
"1970-01-01T06:00:00.000Z","1.92","1.92","1.08","1.70","-13.15","-24.83","37,814,712"
"1971-01-01T06:00:00.000Z","1.67","2.11","1.65","2.00","17.61","5.92","59,805,804"
"1972-01-03T06:00:00.000Z","1.99","2.38","1.89","1.93","-3.30","-14.98","53,741,984"
"1973-01-01T06:00:00.000Z","1.93","1.98","1.07","1.24","-35.91","-47.60","56,585,668"
"1974-01-01T06:00:00.000Z","1.24","1.48","0.8608","0.9266","-25.12","-36.81","38,594,692"
"1975-01-01T06:00:00.000Z","0.9386","1.45","0.9386","1.42","53.55","41.86","52,455,900"
"1976-01-01T06:00:00.000Z","1.42","2.14","1.41","2.10","47.48","35.79","67,895,964"
"1977-01-03T06:00:00.000Z","2.10","2.18","1.67","1.75","-16.81","-28.50","55,870,600"
"1978-01-02T06:00:00.000Z","1.75","1.98","1.58","1.66","-4.79","-16.48","69,936,788"
"1979-01-01T06:00:00.000Z","1.66","2.13","1.66","1.84","10.61","-1.08","77,708,140"
"1980-01-01T06:00:00.000Z","1.84","2.50","1.45","2.04","11.22","-0.4649","75,340,196"
"1981-01-01T06:00:00.000Z","2.04","2.98","1.90","2.29","11.84","0.1537","91,082,668"
"1982-01-01T06:00:00.000Z","2.30","2.57","1.63","2.30","0.3936","-11.29","138,799,332"
"1983-01-03T06:00:00.000Z","2.30","3.98","2.05","3.96","72.65","60.96","252,404,796"
"1984-01-02T06:00:00.000Z","3.96","4.05","2.71","3.81","-3.85","-15.53","228,415,592"
"1985-01-01T06:00:00.000Z","3.80","4.65","3.55","4.60","20.71","9.02","384,164,100"
"1986-01-01T06:00:00.000Z","4.60","5.73","4.52","5.29","15.01","3.32","314,752,976"
"1987-01-01T06:00:00.000Z","5.29","7.73","3.98","5.69","7.46","-4.23","341,102,272"
"1988-01-01T06:00:00.000Z","5.69","6.17","4.81","6.00","5.52","-6.17","184,387,636"
"1989-01-02T06:00:00.000Z","5.97","7.26","5.70","6.13","2.24","-9.45","167,936,028"
"1990-01-01T06:00:00.000Z","6.13","6.93","4.38","5.37","-12.50","-24.19","148,224,796"
"1991-01-01T06:00:00.000Z","5.37","7.13","5.02","6.95","29.57","17.89","162,975,232"
"1992-01-01T06:00:00.000Z","6.93","8.96","6.64","8.78","26.31","14.62","202,419,960"
"1993-01-01T06:00:00.000Z","8.78","11.92","8.23","10.87","23.74","12.05","173,474,372"
"1994-01-03T06:00:00.000Z","10.92","13.37","9.44","10.65","-1.98","-13.67","229,716,884"
"1995-01-02T06:00:00.000Z","10.65","13.45","9.74","11.54","8.33","-3.35","270,939,884"
"1996-01-01T06:00:00.000Z","11.51","15.25","10.84","15.01","30.07","18.38","223,020,984"
"1997-01-01T06:00:00.000Z","14.96","22.25","14.47","19.21","27.96","16.27","252,940,036"
"1998-01-01T06:00:00.000Z","19.15","21.44","12.37","15.21","-20.80","-32.49","401,278,276"
"1999-01-01T06:00:00.000Z","15.13","22.27","13.34","15.63","2.74","-8.95","397,799,284"
"2000-01-03T06:00:00.000Z","15.58","18.63","12.37","16.18","3.53","-8.16","433,455,120"
"2001-01-01T06:00:00.000Z","16.31","20.36","13.78","18.60","14.97","3.28","328,198,400"
"2002-01-01T06:00:00.000Z","18.52","22.17","14.78","19.53","4.97","-6.72","455,116,800"
"2003-01-01T06:00:00.000Z","19.70","27.35","16.50","27.00","38.24","26.55","598,185,816"
"2004-01-01T06:00:00.000Z","26.95","36.32","26.37","36.18","34.02","22.34","507,401,000"
"2005-01-03T06:00:00.000Z","36.30","36.34","28.32","33.55","-7.28","-18.97","457,579,600"
"2006-01-02T06:00:00.000Z","33.65","39.99","31.18","37.57","12.00","0.3110","476,514,800"
"2007-01-01T06:00:00.000Z","37.45","52.06","35.95","48.48","29.03","17.34","613,407,040"
"2008-01-01T06:00:00.000Z","48.35","49.07","18.84","24.86","-48.73","-60.41","1,179,069,340"
"2009-01-01T06:00:00.000Z","24.85","33.53","15.01","31.81","27.98","16.29","1,002,626,592"
"2010-01-01T06:00:00.000Z","32.10","51.35","30.41","50.76","59.56","47.87","895,557,994"
"2011-01-03T06:00:00.000Z","51.23","56.49","33.09","43.53","-14.24","-25.92","930,024,359"
"2012-01-02T06:00:00.000Z","44.78","54.75","36.38","54.18","24.47","12.78","1,027,329,857"
"2013-01-01T06:00:00.000Z","55.55","77.00","55.00","76.12","40.49","28.81","753,676,297"
"2014-01-01T06:00:00.000Z","75.74","79.98","57.11","67.96","-10.72","-22.41","753,722,947"
"2015-01-01T06:00:00.000Z","68.39","73.82","49.21","52.04","-23.43","-35.11","784,355,956"
"2016-01-01T06:00:00.000Z","51.21","70.00","46.19","67.09","28.92","17.23","713,530,609"
"2017-01-02T06:00:00.000Z","67.59","82.34","66.60","79.01","17.77","6.08","580,152,696"
"2018-01-01T06:00:00.000Z","79.23","89.85","64.46","68.66","-13.10","-24.79","703,276,420"
"2019-01-02T06:00:00.000Z","67.72","95.48","66.22","94.72","37.96","26.27","587,210,023"
"2020-01-02T06:00:00.000Z","95.24","123.67","56.41","120.14","26.84","15.15","590,893,752"
"2021-01-04T06:00:00.000Z","120.30","175.72","114.01","172.82","43.85","32.16","458,575,650"
"2022-01-03T06:00:00.000Z","173.39","173.39","122.50","156.95","-9.18","-20.87","479,473,174"
"2023-01-03T06:00:00.000Z","158.08","233.97","150.86","233.67","48.88","37.19","337,511,731"
