"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"1968-01-01T06:00:00.000Z","25.25","26.38","20.38","24.13","","-5.15","2,482,300"
"1969-01-01T06:00:00.000Z","24.13","25.50","18.75","21.75","-9.84","-14.99","3,347,300"
"1970-01-01T06:00:00.000Z","21.88","27.25","19.25","26.63","22.41","17.27","4,310,100"
"1971-01-01T06:00:00.000Z","26.38","28.38","21.75","24.75","-7.04","-12.19","5,609,200"
"1972-01-03T06:00:00.000Z","24.50","28.75","19.38","26.75","8.08","2.93","5,534,300"
"1973-01-01T06:00:00.000Z","26.75","27.50","14.00","16.88","-36.92","-42.06","6,435,900"
"1974-01-01T06:00:00.000Z","17.00","18.00","9.13","12.88","-23.70","-28.85","9,693,800"
"1975-01-01T06:00:00.000Z","12.88","16.38","12.38","14.50","12.62","7.47","11,339,200"
"1976-01-01T06:00:00.000Z","14.50","17.38","13.63","16.75","15.52","10.37","22,896,300"
"1977-01-03T06:00:00.000Z","16.75","17.88","15.38","16.50","-1.49","-6.64","17,250,400"
"1978-01-02T06:00:00.000Z","16.50","17.38","14.25","15.00","-9.09","-14.24","18,881,300"
"1979-01-01T06:00:00.000Z","15.00","16.38","12.25","12.63","-15.83","-20.98","26,606,000"
"1980-01-01T06:00:00.000Z","12.75","14.25","10.25","11.50","-8.91","-14.06","42,505,600"
"1981-01-01T06:00:00.000Z","11.63","13.88","11.00","12.63","9.78","4.63","34,543,500"
"1982-01-01T06:00:00.000Z","12.63","17.25","12.25","14.88","17.82","12.67","56,295,400"
"1983-01-03T06:00:00.000Z","14.88","16.75","13.13","13.38","-10.08","-15.23","74,021,400"
"1984-01-02T06:00:00.000Z","13.38","14.75","9.25","13.75","2.80","-2.34","101,184,701"
"1985-01-01T06:00:00.000Z","13.75","15.25","8.13","10.63","-22.73","-27.88","190,384,501"
"1986-01-01T06:00:00.000Z","10.63","15.00","10.50","13.13","23.53","18.38","150,447,000"
"1987-01-01T06:00:00.000Z","13.13","16.25","7.75","8.25","-37.14","-42.29","165,183,400"
"1988-01-01T06:00:00.000Z","8.50","16.13","8.50","16.00","93.94","88.79","118,504,100"
"1989-01-02T06:00:00.000Z","15.88","23.25","15.50","23.25","45.31","40.16","86,482,500"
"1990-01-01T06:00:00.000Z","23.25","23.63","18.00","22.38","-3.76","-8.91","102,246,200"
"1991-01-01T06:00:00.000Z","22.38","29.88","21.88","29.63","32.40","27.25","93,144,100"
"1992-01-01T06:00:00.000Z","29.50","33.63","26.13","33.00","11.39","6.24","95,626,900"
"1993-01-01T06:00:00.000Z","33.00","39.88","32.50","36.00","9.09","3.94","85,207,500"
"1994-01-03T06:00:00.000Z","35.88","37.38","21.25","21.88","-39.24","-44.38","173,730,100"
"1995-01-02T06:00:00.000Z","21.88","29.25","20.00","29.25","33.71","28.57","145,875,500"
"1996-01-01T06:00:00.000Z","29.13","30.38","24.88","27.63","-5.56","-10.70","155,847,800"
"1997-01-01T06:00:00.000Z","27.75","30.25","22.38","29.94","8.37","3.22","200,551,300"
"1998-01-01T06:00:00.000Z","29.94","32.44","23.25","31.13","3.97","-1.18","213,845,000"
"1999-01-01T06:00:00.000Z","30.94","33.50","23.69","25.75","-17.27","-22.42","156,936,200"
"2000-01-03T06:00:00.000Z","25.75","43.88","15.94","42.31","64.32","59.17","242,194,900"
"2001-01-01T06:00:00.000Z","41.75","44.67","32.56","39.11","-7.57","-12.72","204,361,198"
"2002-01-01T06:00:00.000Z","38.90","46.85","32.12","45.59","16.57","11.42","256,556,900"
"2003-01-01T06:00:00.000Z","45.90","57.24","42.26","57.13","25.31","20.16","272,564,706"
"2004-01-01T06:00:00.000Z","56.95","68.67","50.64","67.59","18.31","13.16","273,045,300"
"2005-01-03T06:00:00.000Z","67.60","79.22","64.48","68.65","1.57","-3.58","280,930,399"
"2006-01-02T06:00:00.000Z","69.15","94.03","66.78","92.32","34.48","29.33","279,080,600"
"2007-01-01T06:00:00.000Z","92.32","125.00","89.60","119.52","29.46","24.31","376,096,652"
"2008-01-01T06:00:00.000Z","119.27","127.48","61.93","83.13","-30.45","-35.59","472,546,675"
"2009-01-01T06:00:00.000Z","83.71","86.61","59.87","81.84","-1.55","-6.70","374,114,764"
"2010-01-01T06:00:00.000Z","82.10","84.33","68.65","70.83","-13.45","-18.60","379,929,316"
"2011-01-03T06:00:00.000Z","71.73","74.50","57.60","73.05","3.13","-2.01","395,121,612"
"2012-01-02T06:00:00.000Z","73.65","74.50","61.55","63.75","-12.73","-17.88","284,115,158"
"2013-01-01T06:00:00.000Z","64.52","72.59","60.22","63.27","-0.7529","-5.90","342,650,803"
"2014-01-01T06:00:00.000Z","63.35","92.02","60.40","87.48","38.26","33.12","431,244,416"
"2015-01-01T06:00:00.000Z","87.48","90.33","61.27","68.36","-21.86","-27.00","354,438,275"
"2016-01-01T06:00:00.000Z","67.91","82.08","65.38","73.47","7.48","2.33","347,977,734"
"2017-01-02T06:00:00.000Z","73.50","87.95","69.63","81.39","10.78","5.63","306,144,198"
"2018-01-01T06:00:00.000Z","81.71","90.79","71.95","86.07","5.75","0.6020","382,886,928"
"2019-01-02T06:00:00.000Z","85.65","122.09","83.23","119.80","39.19","34.04","371,981,497"
"2020-01-02T06:00:00.000Z","119.83","135.55","75.19","99.84","-16.66","-21.81","348,259,949"
"2021-01-04T06:00:00.000Z","99.82","115.02","85.78","112.65","12.83","7.68","324,341,685"
"2022-01-03T06:00:00.000Z","112.65","126.81","94.94","112.50","-0.1332","-5.28","296,300,037"
"2023-01-03T06:00:00.000Z","111.41","111.90","93.52","94.34","-16.14","-21.29","248,278,182"
