"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"1968-01-01T06:00:00.000Z","10.70","11.41","9.85","11.10","","-5.26","5,540,441"
"1969-01-01T06:00:00.000Z","11.14","11.41","8.02","8.56","-22.89","-28.15","7,155,137"
"1970-01-01T06:00:00.000Z","8.74","8.87","6.82","8.02","-6.25","-11.51","13,167,736"
"1971-01-01T06:00:00.000Z","8.16","8.96","7.35","8.51","6.11","0.8495","16,158,477"
"1972-01-03T06:00:00.000Z","8.56","8.87","7.58","8.11","-4.71","-9.97","13,683,268"
"1973-01-01T06:00:00.000Z","8.11","8.38","6.06","6.42","-20.88","-26.14","12,874,642"
"1974-01-01T06:00:00.000Z","6.42","6.95","3.34","3.88","-39.58","-44.85","17,091,628"
"1975-01-01T06:00:00.000Z","4.06","5.53","3.97","5.35","37.93","32.67","17,140,991"
"1976-01-01T06:00:00.000Z","5.35","6.42","5.30","6.37","19.17","13.91","23,402,945"
"1977-01-03T06:00:00.000Z","6.37","7.58","6.11","7.00","9.79","4.53","26,796,996"
"1978-01-02T06:00:00.000Z","7.00","7.04","5.35","5.53","-21.02","-26.28","27,000,899"
"1979-01-01T06:00:00.000Z","5.57","6.28","4.81","4.90","-11.29","-16.55","28,323,364"
"1980-01-01T06:00:00.000Z","4.90","6.06","4.06","4.46","-9.09","-14.35","37,471,986"
"1981-01-01T06:00:00.000Z","4.46","5.13","3.97","4.86","9.00","3.74","56,394,691"
"1982-01-01T06:00:00.000Z","4.86","6.24","4.63","6.06","24.77","19.51","89,677,030"
"1983-01-03T06:00:00.000Z","6.06","6.51","4.81","5.13","-15.44","-20.70","126,104,361"
"1984-01-02T06:00:00.000Z","5.13","5.70","3.21","5.30","3.48","-1.78","174,892,625"
"1985-01-01T06:00:00.000Z","5.30","6.28","4.95","6.19","16.81","11.54","288,087,840"
"1986-01-01T06:00:00.000Z","6.19","8.96","6.02","8.07","30.22","24.95","426,170,419"
"1987-01-01T06:00:00.000Z","8.07","9.27","5.97","6.60","-18.23","-23.49","321,383,364"
