"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"1984-09-03T05:00:00.000Z","0.1719","0.1745","0.1510","0.1536","","-21.64","7,750,528"
"1985-01-01T06:00:00.000Z","0.1536","0.2656","0.1536","0.2630","71.22","49.58","103,499,520"
"1986-01-01T06:00:00.000Z","0.2630","0.4427","0.2448","0.4062","54.45","32.81","233,296,448"
"1987-01-01T06:00:00.000Z","0.4062","0.6172","0.3633","0.4531","11.55","-10.10","195,436,800"
"1988-01-01T06:00:00.000Z","0.4531","0.6016","0.4141","0.4922","8.63","-13.01","192,956,800"
"1989-01-02T06:00:00.000Z","0.4922","0.8906","0.4883","0.8203","66.66","45.02","201,884,800"
"1990-01-01T06:00:00.000Z","0.8203","0.8828","0.4375","0.5742","-30.00","-51.64","157,072,000"
"1991-01-01T06:00:00.000Z","0.5742","1.00","0.5156","0.9688","68.72","47.08","155,148,800"
"1992-01-01T06:00:00.000Z","0.9297","1.12","0.8750","0.9688","","-21.64","111,638,400"
"1993-01-01T06:00:00.000Z","0.9688","1.10","0.7734","0.9375","-3.23","-24.87","126,350,400"
"1994-01-03T06:00:00.000Z","0.9375","1.45","0.9375","1.36","45.00","23.36","181,395,200"
"1995-01-02T06:00:00.000Z","1.36","1.77","1.23","1.63","20.11","-1.53","158,331,200"
"1996-01-01T06:00:00.000Z","1.63","2.91","1.44","2.88","76.08","54.44","247,065,600"
"1997-01-01T06:00:00.000Z","2.84","6.09","2.58","4.81","67.39","45.75","288,230,400"
"1998-01-01T06:00:00.000Z","4.81","6.03","3.11","5.25","9.09","-12.55","354,051,200"
"1999-01-01T06:00:00.000Z","5.22","11.59","5.08","10.95","108.63","86.99","236,986,400"
"2000-01-03T06:00:00.000Z","10.97","15.03","8.16","13.42","22.54","0.8978","306,959,208"
"2001-01-01T06:00:00.000Z","13.64","16.48","10.49","14.24","6.08","-15.57","538,131,200"
"2002-01-01T06:00:00.000Z","14.25","17.22","12.47","16.32","14.66","-6.98","325,969,914"
"2003-01-01T06:00:00.000Z","16.50","20.41","14.80","18.83","15.34","-6.30","478,019,114"
"2004-01-01T06:00:00.000Z","18.87","29.20","17.85","27.94","48.38","26.74","386,536,164"
"2005-01-03T06:00:00.000Z","28.02","36.37","23.59","33.76","20.81","-0.8295","423,895,412"
"2006-01-02T06:00:00.000Z","33.87","58.32","32.83","40.50","19.98","-1.66","460,208,163"
"2007-01-01T06:00:00.000Z","41.13","54.46","38.31","44.68","10.32","-11.32","479,827,561"
"2008-01-01T06:00:00.000Z","45.24","49.92","24.05","33.27","-25.54","-47.18","678,933,816"
"2009-01-01T06:00:00.000Z","33.10","38.10","23.86","34.77","4.51","-17.13","678,197,825"
"2010-01-01T06:00:00.000Z","35.09","57.15","32.36","54.60","57.03","35.39","450,569,026"
"2011-01-03T06:00:00.000Z","55.08","56.19","38.25","40.96","-24.98","-46.62","428,105,198"
"2012-01-02T06:00:00.000Z","41.83","47.48","34.20","39.55","-3.44","-25.08","437,757,251"
"2013-01-01T06:00:00.000Z","40.27","46.90","34.83","44.25","11.88","-9.76","399,177,646"
"2014-01-01T06:00:00.000Z","44.31","47.23","38.14","44.61","0.8136","-20.83","364,192,652"
"2015-01-01T06:00:00.000Z","44.99","51.80","42.17","45.10","1.10","-20.54","364,436,226"
"2016-01-01T06:00:00.000Z","44.35","56.37","40.41","52.96","17.43","-4.21","362,091,080"
"2017-01-02T06:00:00.000Z","53.47","66.01","51.57","64.69","22.15","0.5069","279,369,114"
"2018-01-01T06:00:00.000Z","66.25","78.16","59.10","68.09","5.26","-16.39","316,308,551"
"2019-01-02T06:00:00.000Z","66.77","81.15","64.56","78.02","14.58","-7.06","262,747,401"
"2020-01-02T06:00:00.000Z","78.62","95.73","52.55","95.11","21.90","0.2627","344,605,839"
"2021-01-04T06:00:00.000Z","95.37","137.80","88.82","134.29","41.19","19.55","274,909,138"
"2022-01-03T06:00:00.000Z","134.36","134.96","86.08","103.92","-22.62","-44.26","360,798,485"
"2023-01-03T06:00:00.000Z","104.55","128.04","102.89","116.37","11.98","-9.66","204,569,624"
