"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"1968-01-01T06:00:00.000Z","1.76","1.95","1.58","1.73","","-14.19","280,717,909"
"1969-01-01T06:00:00.000Z","1.75","1.76","1.32","1.34","-22.41","-36.60","259,305,694"
"1970-01-01T06:00:00.000Z","1.38","1.84","1.22","1.84","36.78","22.59","234,545,865"
"1971-01-01T06:00:00.000Z","1.84","2.39","1.79","2.30","24.89","10.70","419,124,569"
"1972-01-03T06:00:00.000Z","2.30","2.61","2.03","2.60","13.35","-0.8414","401,382,591"
"1973-01-01T06:00:00.000Z","2.60","2.69","1.26","1.32","-49.14","-63.33","556,723,960"
"1974-01-01T06:00:00.000Z","1.32","1.78","0.9394","1.09","-17.59","-31.78","400,700,079"
"1975-01-01T06:00:00.000Z","1.09","1.48","1.06","1.44","31.84","17.65","405,067,506"
"1976-01-01T06:00:00.000Z","1.44","2.02","1.43","2.01","39.76","25.57","674,007,450"
"1977-01-03T06:00:00.000Z","2.01","2.01","1.69","1.87","-7.01","-21.20","646,408,494"
"1978-01-02T06:00:00.000Z","1.86","2.12","1.59","1.72","-7.92","-22.11","670,396,891"
"1979-01-01T06:00:00.000Z","1.72","1.85","1.20","1.31","-24.03","-38.22","700,402,493"
"1980-01-01T06:00:00.000Z","1.31","1.46","0.7403","0.8168","-37.51","-51.70","1,045,632,749"
"1981-01-01T06:00:00.000Z","0.8220","1.06","0.6433","0.6841","-16.25","-30.44","751,234,573"
"1982-01-01T06:00:00.000Z","0.6841","1.70","0.6790","1.59","132.09","117.90","1,891,071,820"
"1983-01-03T06:00:00.000Z","1.59","2.86","1.40","2.60","63.51","49.32","2,706,904,606"
"1984-01-02T06:00:00.000Z","2.60","3.15","2.02","2.80","7.67","-6.52","3,087,778,651"
"1985-01-01T06:00:00.000Z","2.80","3.62","2.46","3.55","27.13","12.94","2,939,292,038"
"1986-01-01T06:00:00.000Z","3.55","5.84","3.29","5.17","45.47","31.28","2,400,772,661"
"1987-01-01T06:00:00.000Z","5.23","10.35","5.23","6.93","34.00","19.81","3,015,265,307"
"1988-01-01T06:00:00.000Z","7.00","10.11","7.00","9.28","34.00","19.81","1,549,611,170"
"1989-01-02T06:00:00.000Z","9.28","10.41","7.60","8.02","-13.61","-27.80","1,436,086,147"
"1990-01-01T06:00:00.000Z","8.02","9.03","4.59","4.89","-38.97","-53.16","1,189,457,875"
"1991-01-01T06:00:00.000Z","4.89","6.94","4.30","5.17","5.63","-8.56","1,503,354,667"
"1992-01-01T06:00:00.000Z","5.15","8.98","5.10","7.88","52.44","38.25","2,153,969,260"
"1993-01-01T06:00:00.000Z","7.95","12.15","7.90","11.85","50.44","36.25","2,071,997,667"
"1994-01-03T06:00:00.000Z","11.74","12.89","9.42","10.25","-13.57","-27.76","2,263,969,055"
"1995-01-02T06:00:00.000Z","10.29","12.08","9.05","10.61","3.59","-10.60","2,327,992,007"
"1996-01-01T06:00:00.000Z","10.61","13.69","10.02","11.85","11.69","-2.50","2,058,076,343"
"1997-01-01T06:00:00.000Z","11.72","18.47","11.03","17.85","50.58","36.39","1,905,904,621"
"1998-01-01T06:00:00.000Z","17.90","33.86","15.67","32.34","81.18","66.99","1,576,833,907"
