"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"1986-10-01T05:00:00.000Z","35.00","38.50","26.50","29.50","","-13.32","148,600"
"1987-01-01T06:00:00.000Z","29.50","38.00","24.00","29.00","-1.69","-15.01","237,300"
"1988-01-01T06:00:00.000Z","29.00","37.00","28.50","30.00","3.45","-9.87","405,200"
"1989-01-02T06:00:00.000Z","30.00","30.50","26.00","26.00","-13.33","-26.65","266,100"
"1990-01-01T06:00:00.000Z","26.00","27.00","18.50","19.00","-26.92","-40.24","230,500"
"1991-01-01T06:00:00.000Z","19.00","29.00","19.00","27.50","44.74","31.42","410,000"
"1992-01-01T06:00:00.000Z","29.00","52.00","27.50","50.75","84.55","71.23","720,300"
"1993-01-01T06:00:00.000Z","52.00","63.50","44.50","46.50","-8.37","-21.69","1,017,600"
"1994-01-03T06:00:00.000Z","44.50","46.50","40.00","43.50","-6.45","-19.77","1,023,700"
"1995-01-02T06:00:00.000Z","42.00","55.50","42.00","55.13","26.72","13.41","816,000"
"1996-01-01T06:00:00.000Z","53.75","83.00","53.75","77.00","39.68","26.37","1,006,300"
"1997-01-01T06:00:00.000Z","75.50","121.00","73.00","104.03","35.11","21.79","887,700"
"1998-01-01T06:00:00.000Z","104.00","122.00","78.00","90.00","-13.49","-26.80","1,600,700"
"1999-01-01T06:00:00.000Z","90.00","97.50","68.00","69.75","-22.50","-35.82","1,564,000"
"2000-01-03T06:00:00.000Z","69.75","81.25","55.88","80.75","15.77","2.46","1,731,500"
"2001-01-01T06:00:00.000Z","80.00","113.16","77.52","97.75","21.05","7.74","2,455,900"
"2002-01-01T06:00:00.000Z","97.50","114.99","90.38","96.60","-1.18","-14.49","2,270,755"
"2003-01-01T06:00:00.000Z","96.53","126.64","89.51","120.50","24.74","11.43","1,948,834"
"2004-01-01T06:00:00.000Z","123.75","153.00","109.10","148.25","23.03","9.71","2,145,355"
"2005-01-03T06:00:00.000Z","145.80","191.75","126.20","174.42","17.65","4.34","2,204,168"
"2006-01-02T06:00:00.000Z","176.02","217.79","174.72","202.64","16.18","2.86","2,460,181"
"2007-01-01T06:00:00.000Z","203.32","214.59","143.00","145.85","-28.03","-41.34","1,768,608"
"2008-01-01T06:00:00.000Z","143.54","198.44","117.75","152.80","4.77","-8.55","3,061,773"
"2009-01-01T06:00:00.000Z","153.99","167.70","73.48","164.01","7.34","-5.98","4,992,270"
"2010-01-01T06:00:00.000Z","166.80","213.99","164.26","189.05","15.27","1.95","3,357,479"
"2011-01-03T06:00:00.000Z","191.38","208.55","137.10","174.99","-7.44","-20.75","3,072,250"
"2012-01-02T06:00:00.000Z","178.54","187.72","155.00","163.50","-6.57","-19.88","2,327,481"
"2013-01-01T06:00:00.000Z","165.87","229.97","165.50","222.63","36.17","22.85","3,353,716"
"2014-01-01T06:00:00.000Z","222.81","271.97","206.14","252.79","13.55","0.2319","6,458,428"
"2015-01-01T06:00:00.000Z","254.38","269.50","213.74","258.17","2.13","-11.19","6,163,513"
"2016-01-01T06:00:00.000Z","255.34","367.00","217.41","355.00","37.51","24.19","5,420,246"
"2017-01-02T06:00:00.000Z","357.60","436.00","319.40","403.00","13.52","0.2058","6,847,590"
"2018-01-01T06:00:00.000Z","405.90","488.44","355.18","377.05","-6.44","-19.75","9,446,860"
"2019-01-02T06:00:00.000Z","371.30","542.12","371.30","532.21","41.15","27.84","10,827,813"
"2020-01-02T06:00:00.000Z","534.61","615.88","276.08","574.27","7.90","-5.41","13,076,681"
"2021-01-04T06:00:00.000Z","576.89","915.40","558.44","829.84","44.50","31.19","14,436,717"
"2022-01-03T06:00:00.000Z","836.67","947.71","598.01","758.36","-8.61","-21.93","30,808,453"
"2023-01-03T06:00:00.000Z","758.50","1,512.07","505.84","1,369.15","80.54","67.23","24,120,748"
