"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"1978-04-03T06:00:00.000Z","0.9531","2.14","0.9531","1.64","","-15.79","155,020,800"
"1979-01-01T06:00:00.000Z","1.64","3.19","1.31","2.91","77.62","61.83","122,656,000"
"1980-01-01T06:00:00.000Z","2.91","6.09","2.43","5.53","89.81","74.01","151,103,200"
"1981-01-01T06:00:00.000Z","5.53","9.03","5.06","7.81","41.24","25.45","143,321,600"
"1982-01-01T06:00:00.000Z","7.81","9.84","5.19","9.28","18.80","3.00","382,622,400"
"1983-01-03T06:00:00.000Z","9.28","12.13","8.14","11.56","24.58","8.79","281,908,800"
"1984-01-02T06:00:00.000Z","11.56","11.75","6.94","8.63","-25.41","-41.20","268,836,000"
"1985-01-01T06:00:00.000Z","8.59","15.25","7.84","15.16","75.72","59.93","281,024,400"
"1986-01-01T06:00:00.000Z","15.09","18.44","12.75","15.78","4.12","-11.67","301,171,200"
"1987-01-01T06:00:00.000Z","15.81","18.88","8.81","9.97","-36.83","-52.63","347,083,200"
"1988-01-01T06:00:00.000Z","10.09","12.75","8.84","12.66","26.96","11.16","181,448,000"
"1989-01-02T06:00:00.000Z","12.59","14.47","10.53","11.44","-9.63","-25.42","197,380,000"
"1990-01-01T06:00:00.000Z","11.63","14.50","7.38","8.47","-25.96","-41.75","221,118,400"
"1991-01-01T06:00:00.000Z","8.47","11.13","7.84","9.69","14.39","-1.40","163,068,800"
"1992-01-01T06:00:00.000Z","9.63","14.03","8.63","13.63","40.65","24.85","231,553,200"
"1993-01-01T06:00:00.000Z","13.69","18.13","11.09","17.72","30.05","14.25","204,071,600"
"1994-01-03T06:00:00.000Z","17.72","20.19","13.38","15.06","-14.99","-30.79","237,343,200"
"1995-01-02T06:00:00.000Z","15.06","21.50","14.63","18.47","22.61","6.82","221,958,800"
"1996-01-01T06:00:00.000Z","18.34","22.50","16.72","22.25","20.47","4.68","181,369,600"
"1997-01-01T06:00:00.000Z","22.19","42.25","21.00","30.53","37.22","21.42","235,712,600"
"1998-01-01T06:00:00.000Z","30.50","46.56","21.81","44.59","46.06","30.27","382,022,600"
"1999-01-01T06:00:00.000Z","44.50","61.88","34.88","40.94","-8.20","-23.99","487,001,102"
"2000-01-03T06:00:00.000Z","42.38","49.85","30.56","39.96","-2.39","-18.18","311,614,499"
"2001-01-01T06:00:00.000Z","39.45","53.48","33.15","51.88","29.83","14.04","293,967,800"
"2002-01-01T06:00:00.000Z","51.70","61.35","42.75","54.22","4.51","-11.28","429,244,293"
"2003-01-01T06:00:00.000Z","54.36","78.05","47.70","67.50","24.49","8.70","418,517,242"
"2004-01-01T06:00:00.000Z","67.70","100.92","64.84","98.49","45.91","30.12","385,364,501"
"2005-01-03T06:00:00.000Z","99.12","105.82","76.81","103.39","4.98","-10.82","468,878,600"
"2006-01-02T06:00:00.000Z","103.38","120.01","96.50","108.62","5.06","-10.74","445,031,901"
"2007-01-01T06:00:00.000Z","108.75","121.42","89.01","89.17","-17.91","-33.70","544,411,232"
"2008-01-01T06:00:00.000Z","88.57","99.46","53.90","64.15","-28.06","-43.85","835,271,286"
"2009-01-01T06:00:00.000Z","64.16","92.59","34.02","83.45","30.09","14.29","901,904,738"
"2010-01-01T06:00:00.000Z","84.21","97.75","69.78","93.01","11.46","-4.34","768,620,783"
"2011-01-03T06:00:00.000Z","93.54","98.66","64.07","83.51","-10.21","-26.01","721,101,766"
"2012-01-02T06:00:00.000Z","85.47","97.19","82.79","91.72","9.83","-5.96","531,185,526"
"2013-01-01T06:00:00.000Z","93.46","144.13","90.61","143.77","56.75","40.95","602,475,242"
"2014-01-01T06:00:00.000Z","142.90","183.51","128.17","173.66","20.79","5.00","478,846,493"
"2015-01-01T06:00:00.000Z","173.78","185.19","130.01","148.99","-14.21","-30.00","440,764,972"
"2016-01-01T06:00:00.000Z","146.41","201.57","119.71","186.20","24.97","9.18","426,191,858"
"2017-01-02T06:00:00.000Z","186.57","255.11","182.89","249.54","34.02","18.22","376,151,746"
"2018-01-01T06:00:00.000Z","250.83","274.66","150.94","161.33","-35.35","-51.14","471,834,433"
"2019-01-02T06:00:00.000Z","158.52","199.32","137.78","151.21","-6.27","-22.07","604,816,613"
"2020-01-02T06:00:00.000Z","152.42","305.66","88.69","259.62","71.69","55.90","777,750,006"
"2021-01-04T06:00:00.000Z","260.40","319.90","216.34","258.64","-0.3775","-16.17","620,081,091"
"2022-01-03T06:00:00.000Z","259.80","266.79","141.92","173.20","-33.03","-48.83","705,234,266"
"2023-01-03T06:00:00.000Z","174.97","270.95","174.53","260.97","50.68","34.88","333,468,231"
