"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"1986-09-01T05:00:00.000Z","0.2771","0.3292","0.2716","0.3045","","-19.09","87,049,840"
"1987-01-01T06:00:00.000Z","0.3128","0.4938","0.2469","0.3622","18.95","-0.1455","249,684,524"
"1988-01-01T06:00:00.000Z","0.3731","0.4938","0.3567","0.4143","14.38","-4.71","290,147,732"
"1989-01-02T06:00:00.000Z","0.4143","0.5432","0.3923","0.4774","15.23","-3.86","291,318,812"
"1990-01-01T06:00:00.000Z","0.4774","0.6831","0.4225","0.6831","43.09","23.99","402,160,048"
"1991-01-01T06:00:00.000Z","0.6694","1.25","0.5926","1.24","81.94","62.84","456,623,364"
"1992-01-01T06:00:00.000Z","1.23","1.30","1.01","1.25","0.3299","-18.76","461,515,712"
"1993-01-01T06:00:00.000Z","1.25","1.76","1.24","1.43","14.36","-4.74","472,782,504"
"1994-01-03T06:00:00.000Z","1.43","1.76","1.33","1.59","11.69","-7.40","501,863,396"
"1995-01-02T06:00:00.000Z","1.63","2.30","1.56","2.22","39.54","20.44","708,538,708"
"1996-01-01T06:00:00.000Z","2.22","2.99","1.85","2.72","22.50","3.40","938,860,056"
"1997-01-01T06:00:00.000Z","2.72","3.81","2.41","3.64","33.67","14.58","1,123,396,776"
"1998-01-01T06:00:00.000Z","3.63","5.96","3.33","5.72","57.06","37.97","965,807,664"
"1999-01-01T06:00:00.000Z","5.71","6.79","4.02","6.39","11.72","-7.37","1,276,016,060"
"2000-01-03T06:00:00.000Z","6.36","10.69","4.05","7.91","23.82","4.72","1,714,847,880"
"2001-01-01T06:00:00.000Z","7.98","11.15","7.27","10.58","33.82","14.72","1,702,180,036"
"2002-01-01T06:00:00.000Z","10.63","11.81","5.63","8.49","-19.78","-38.87","1,915,782,964"
"2003-01-01T06:00:00.000Z","8.49","10.19","6.81","9.88","16.47","-2.63","1,756,465,112"
"2004-01-01T06:00:00.000Z","9.88","10.25","8.05","10.05","1.64","-17.45","1,638,219,760"
"2005-01-03T06:00:00.000Z","10.04","11.72","9.08","10.82","7.66","-11.43","1,542,821,152"
"2006-01-02T06:00:00.000Z","10.91","13.40","10.07","13.11","21.15","2.05","1,314,559,140"
"2007-01-01T06:00:00.000Z","13.03","14.96","11.04","13.87","5.86","-13.24","1,577,123,924"
"2008-01-01T06:00:00.000Z","13.79","14.20","6.94","9.09","-34.46","-53.55","2,014,964,140"
"2009-01-01T06:00:00.000Z","9.01","12.73","7.37","12.12","33.30","14.20","1,788,949,168"
"2010-01-01T06:00:00.000Z","12.26","15.16","11.20","14.64","20.79","1.70","1,355,979,732"
"2011-01-03T06:00:00.000Z","14.80","16.35","12.19","14.69","0.3074","-18.79","1,088,344,140"
"2012-01-02T06:00:00.000Z","14.99","20.32","14.38","19.76","34.54","15.45","721,484,396"
"2013-01-01T06:00:00.000Z","20.07","29.64","19.76","29.52","49.44","30.34","588,370,972"
"2014-01-01T06:00:00.000Z","29.52","36.63","26.84","35.48","20.19","1.09","577,491,856"
"2015-01-01T06:00:00.000Z","35.74","48.88","34.56","45.73","28.87","9.78","581,437,204"
"2016-01-01T06:00:00.000Z","45.05","55.76","42.81","53.14","16.20","-2.89","562,398,418"
"2017-01-02T06:00:00.000Z","53.41","66.68","52.26","65.56","23.38","4.29","430,680,800"
"2018-01-01T06:00:00.000Z","65.98","82.79","62.76","73.49","12.09","-7.01","495,206,993"
"2019-01-02T06:00:00.000Z","72.21","118.00","68.45","115.63","57.34","38.25","1,078,947,235"
"2020-01-02T06:00:00.000Z","116.00","125.05","73.50","113.86","-1.53","-20.63","1,165,846,855"
"2021-01-04T06:00:00.000Z","113.75","127.34","92.06","103.79","-8.84","-27.94","1,108,155,972"
"2022-01-03T06:00:00.000Z","103.86","110.99","87.03","101.07","-2.62","-21.72","912,176,842"
"2023-01-03T06:00:00.000Z","101.72","130.74","98.81","122.81","21.51","2.42","553,340,602"
