"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"1975-04-01T05:00:00.000Z","0.2927","0.3317","0.2894","0.3089","","-14.05","7,197,458"
"1976-01-01T06:00:00.000Z","0.3122","0.3935","0.3089","0.3902","26.32","12.27","12,244,492"
"1977-01-03T06:00:00.000Z","0.3902","0.4032","0.3512","0.3772","-3.33","-17.38","14,242,961"
"1978-01-02T06:00:00.000Z","0.3707","0.4552","0.3577","0.4487","18.96","4.91","13,005,085"
"1979-01-01T06:00:00.000Z","0.4487","0.5463","0.4487","0.5463","21.75","7.70","8,808,530"
"1980-01-01T06:00:00.000Z","0.5463","0.5528","0.4747","0.5528","1.19","-12.86","12,620,797"
"1981-01-01T06:00:00.000Z","0.5560","0.6601","0.5560","0.6536","18.23","4.18","17,617,437"
"1982-01-01T06:00:00.000Z","0.6536","0.8584","0.6471","0.8032","22.89","8.84","21,314,985"
"1983-01-03T06:00:00.000Z","0.8032","1.46","0.8032","1.26","57.08","43.03","26,184,358"
"1984-01-02T06:00:00.000Z","1.26","1.51","1.25","1.51","19.58","5.53","37,602,669"
"1985-01-01T06:00:00.000Z","1.50","2.56","1.49","2.51","66.16","52.11","43,728,280"
"1986-01-01T06:00:00.000Z","2.50","3.80","2.49","2.66","6.23","-7.82","40,731,782"
"1987-01-01T06:00:00.000Z","2.66","3.69","2.66","3.03","13.74","-0.3141","77,067,922"
"1988-01-01T06:00:00.000Z","3.03","3.99","2.79","3.97","31.16","17.11","48,750,458"
"1989-01-02T06:00:00.000Z","3.97","5.25","3.91","4.87","22.65","8.60","45,808,376"
"1990-01-01T06:00:00.000Z","4.87","4.87","3.06","4.35","-10.81","-24.86","70,009,892"
"1991-01-01T06:00:00.000Z","4.35","8.99","3.88","8.96","106.06","92.01","112,138,424"
"1992-01-01T06:00:00.000Z","8.92","10.67","7.85","10.67","19.12","5.07","90,960,248"
"1993-01-01T06:00:00.000Z","10.57","11.65","9.78","10.22","-4.17","-18.22","71,454,668"
"1994-01-03T06:00:00.000Z","10.17","10.86","8.89","9.48","-7.25","-21.30","121,396,306"
"1995-01-02T06:00:00.000Z","9.33","15.11","9.28","14.47","52.60","38.55","157,341,868"
"1996-01-01T06:00:00.000Z","14.42","22.00","12.89","18.61","28.63","14.58","197,409,959"
"1997-01-01T06:00:00.000Z","18.74","37.11","18.00","36.33","95.22","81.17","185,179,617"
"1998-01-01T06:00:00.000Z","36.17","49.42","31.67","47.54","30.85","16.80","221,224,108"
"1999-01-01T06:00:00.000Z","47.42","50.29","38.58","48.92","2.89","-11.16","261,485,768"
"2000-01-03T06:00:00.000Z","48.50","60.88","29.33","59.75","22.15","8.10","376,712,702"
"2001-01-01T06:00:00.000Z","59.19","64.77","45.69","61.33","2.64","-11.41","467,924,299"
"2002-01-01T06:00:00.000Z","61.16","69.70","55.26","58.55","-4.53","-18.58","618,231,909"
"2003-01-01T06:00:00.000Z","58.72","62.15","47.05","59.10","0.9394","-13.11","544,760,824"
"2004-01-01T06:00:00.000Z","58.89","60.00","45.32","47.30","-19.97","-34.02","511,024,519"
"2005-01-03T06:00:00.000Z","47.40","48.12","35.04","37.72","-20.25","-34.30","647,254,021"
"2006-01-02T06:00:00.000Z","38.09","41.57","35.86","40.93","8.51","-5.54","464,314,228"
"2007-01-01T06:00:00.000Z","41.05","43.32","24.82","25.13","-38.60","-52.65","958,886,414"
"2008-01-01T06:00:00.000Z","24.95","28.58","6.32","8.26","-67.13","-81.18","3,186,378,073"
"2009-01-01T06:00:00.000Z","8.24","11.20","1.01","9.75","18.04","3.99","7,730,301,257"
"2010-01-01T06:00:00.000Z","9.88","15.95","9.81","14.68","50.56","36.51","3,838,169,930"
"2011-01-03T06:00:00.000Z","14.83","15.75","9.13","12.72","-13.35","-27.40","3,782,781,182"
"2012-01-02T06:00:00.000Z","13.00","16.16","12.04","15.20","19.50","5.45","2,745,626,035"
"2013-01-01T06:00:00.000Z","15.46","21.14","15.19","21.03","38.36","24.31","2,155,075,302"
"2014-01-01T06:00:00.000Z","20.94","23.90","17.65","20.38","-3.11","-17.16","1,930,695,907"
"2015-01-01T06:00:00.000Z","20.41","21.93","17.14","20.10","-1.35","-15.40","2,009,768,386"
"2016-01-01T06:00:00.000Z","19.48","27.88","13.84","26.97","34.18","20.13","1,986,557,112"
"2017-01-02T06:00:00.000Z","27.33","31.83","23.20","30.34","12.50","-1.55","1,460,533,462"
"2018-01-01T06:00:00.000Z","31.19","34.67","22.12","23.53","-22.45","-36.50","1,512,504,169"
"2019-01-02T06:00:00.000Z","23.17","31.64","23.11","30.74","30.64","16.59","1,546,578,450"
"2020-01-02T06:00:00.000Z","30.95","31.02","11.10","27.57","-10.31","-24.36","1,730,533,413"
"2021-01-04T06:00:00.000Z","27.76","45.92","26.83","43.55","57.96","43.91","1,292,326,369"
"2022-01-03T06:00:00.000Z","43.99","50.64","30.92","32.81","-24.66","-38.71","1,327,308,604"
"2023-01-03T06:00:00.000Z","33.19","38.05","22.11","27.05","-17.56","-31.61","1,208,373,500"
