"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"1968-01-01T06:00:00.000Z","4.09","5.00","3.65","4.35","","-9.37","32,812,119"
"1969-01-01T06:00:00.000Z","4.29","4.29","2.42","2.79","-35.95","-45.32","41,691,784"
"1970-01-01T06:00:00.000Z","2.74","2.86","1.76","2.71","-2.55","-11.92","38,394,627"
"1971-01-01T06:00:00.000Z","2.73","3.45","2.46","2.84","4.71","-4.66","48,755,739"
"1972-01-03T06:00:00.000Z","2.84","3.21","2.50","2.56","-10.00","-19.37","38,177,365"
"1973-01-01T06:00:00.000Z","2.59","2.76","1.66","1.90","-25.55","-34.93","50,704,267"
"1974-01-01T06:00:00.000Z","1.90","2.42","1.02","1.21","-36.57","-45.94","28,244,639"
"1975-01-01T06:00:00.000Z","1.24","2.36","1.24","2.29","89.41","80.04","44,127,624"
"1976-01-01T06:00:00.000Z","2.29","3.10","2.22","2.79","21.74","12.37","76,279,796"
"1977-01-03T06:00:00.000Z","2.79","3.52","2.29","2.53","-9.18","-18.55","62,564,374"
"1978-01-02T06:00:00.000Z","2.53","3.23","2.33","2.76","8.99","-0.3848","60,507,691"
"1979-01-01T06:00:00.000Z","2.76","3.35","2.59","2.96","7.22","-2.15","54,904,816"
"1980-01-01T06:00:00.000Z","2.96","3.55","2.46","3.47","17.31","7.93","81,666,170"
"1981-01-01T06:00:00.000Z","3.47","4.06","2.76","2.91","-15.98","-25.36","94,689,232"
"1982-01-01T06:00:00.000Z","2.91","3.98","2.63","3.67","25.85","16.48","116,189,079"
"1983-01-03T06:00:00.000Z","3.67","5.54","3.58","5.24","43.03","33.65","103,042,876"
"1984-01-02T06:00:00.000Z","5.24","7.05","4.72","6.41","22.22","12.85","124,059,755"
"1985-01-01T06:00:00.000Z","6.41","8.18","6.11","7.45","16.19","6.82","89,527,121"
"1986-01-01T06:00:00.000Z","7.45","11.42","1.76","2.93","-60.69","-70.06","336,530,894"
"1987-01-01T06:00:00.000Z","2.96","6.86","2.73","3.84","31.07","21.70","210,664,408"
"1988-01-01T06:00:00.000Z","3.84","4.45","2.77","3.64","-5.18","-14.56","221,211,979"
"1989-01-02T06:00:00.000Z","3.64","5.57","3.60","4.01","10.16","0.7863","131,892,592"
