"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"1968-01-01T06:00:00.000Z","1.64","1.64","1.03","1.15","","-14.91","197,836,000"
"1969-01-01T06:00:00.000Z","1.16","1.23","0.5844","0.6937","-39.84","-54.75","165,532,000"
"1970-01-01T06:00:00.000Z","0.7188","0.7500","0.4156","0.4781","-31.08","-45.99","72,424,000"
"1971-01-01T06:00:00.000Z","0.4656","0.7906","0.4531","0.5437","13.72","-1.19","96,448,000"
"1972-01-03T06:00:00.000Z","0.5938","0.8469","0.5563","0.6344","16.68","1.78","88,540,000"
"1973-01-01T06:00:00.000Z","0.6438","0.7156","0.3906","0.5000","-21.19","-36.09","71,184,000"
"1974-01-01T06:00:00.000Z","0.5000","0.7188","0.3375","0.4813","-3.74","-18.65","63,908,000"
"1975-01-01T06:00:00.000Z","0.4813","1.41","0.4750","0.9406","95.43","80.52","207,824,000"
"1976-01-01T06:00:00.000Z","0.9406","1.63","0.9313","1.34","42.87","27.96","266,436,000"
"1977-01-03T06:00:00.000Z","1.35","1.54","1.11","1.14","-14.88","-29.79","239,528,000"
"1978-01-02T06:00:00.000Z","1.14","2.34","0.9250","1.99","73.76","58.86","344,936,000"
"1979-01-01T06:00:00.000Z","1.99","3.81","1.70","3.78","90.25","75.34","257,825,600"
"1980-01-01T06:00:00.000Z","3.78","5.61","3.61","5.34","41.33","26.42","395,520,000"
"1981-01-01T06:00:00.000Z","5.34","5.38","2.63","3.06","-42.69","-57.60","259,955,200"
"1982-01-01T06:00:00.000Z","3.06","4.58","2.34","4.13","34.69","19.79","336,256,800"
"1983-01-03T06:00:00.000Z","4.13","7.72","3.83","7.27","76.14","61.23","348,756,000"
"1984-01-02T06:00:00.000Z","7.27","8.72","5.25","8.69","19.57","4.66","370,287,200"
"1985-01-01T06:00:00.000Z","8.69","10.50","7.75","8.59","-1.08","-15.98","281,459,200"
"1986-01-01T06:00:00.000Z","8.59","11.16","8.03","8.47","-1.45","-16.36","247,997,600"
"1987-01-01T06:00:00.000Z","8.50","9.88","5.33","6.09","-28.04","-42.95","234,464,800"
"1988-01-01T06:00:00.000Z","6.09","7.38","5.84","6.34","4.10","-10.80","170,811,200"
"1989-01-02T06:00:00.000Z","6.34","7.56","5.31","5.61","-11.58","-26.48","170,854,400"
"1990-01-01T06:00:00.000Z","5.61","5.77","2.38","3.16","-43.73","-58.64","178,994,400"
"1991-01-01T06:00:00.000Z","3.16","6.80","2.53","6.72","112.88","97.97","336,113,600"
"1992-01-01T06:00:00.000Z","6.72","13.48","6.67","12.95","92.79","77.88","337,893,600"
"1993-01-01T06:00:00.000Z","13.05","15.00","10.05","11.53","-10.98","-25.88","174,563,200"
"1994-01-03T06:00:00.000Z","11.55","11.91","9.50","10.88","-5.69","-20.60","175,808,000"
"1995-01-02T06:00:00.000Z","10.84","15.75","10.59","14.78","35.92","21.01","158,076,800"
"1996-01-01T06:00:00.000Z","14.75","18.88","14.25","17.69","19.66","4.76","143,770,800"
"1997-01-01T06:00:00.000Z","17.72","22.88","15.78","21.69","22.61","7.71","157,096,400"
"1998-01-01T06:00:00.000Z","21.59","31.00","20.13","29.50","36.02","21.12","160,123,400"
"1999-01-01T06:00:00.000Z","29.88","37.72","23.09","26.38","-10.59","-25.50","304,863,000"
"2000-01-03T06:00:00.000Z","26.06","39.50","18.13","39.00","47.87","32.96","465,383,798"
"2001-01-01T06:00:00.000Z","39.09","48.00","30.25","39.82","2.10","-12.80","586,864,604"
"2002-01-01T06:00:00.000Z","39.75","55.59","36.63","39.69","-0.3390","-15.25","834,887,802"
"2003-01-01T06:00:00.000Z","39.69","45.40","25.00","45.20","13.88","-1.02","776,016,770"
