"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"1968-01-01T06:00:00.000Z","5.98","6.23","5.05","5.87","","-9.59","121,304,760"
"1969-01-01T06:00:00.000Z","5.93","6.11","4.68","4.84","-17.44","-27.03","124,014,988"
"1970-01-01T06:00:00.000Z","4.79","5.87","3.78","5.87","21.13","11.54","152,141,373"
"1971-01-01T06:00:00.000Z","5.87","8.31","5.84","7.83","33.42","23.83","160,997,657"
"1972-01-03T06:00:00.000Z","7.88","9.13","7.34","9.11","16.37","6.78","118,592,895"
"1973-01-01T06:00:00.000Z","9.16","9.48","6.88","7.88","-13.55","-23.14","146,825,671"
"1974-01-01T06:00:00.000Z","7.84","8.13","3.75","4.17","-47.02","-56.62","137,544,594"
"1975-01-01T06:00:00.000Z","4.17","6.61","4.05","5.77","38.20","28.61","158,323,427"
"1976-01-01T06:00:00.000Z","5.77","7.41","5.75","6.95","20.59","11.00","219,222,324"
"1977-01-03T06:00:00.000Z","6.95","7.16","5.92","6.23","-10.34","-19.93","231,404,025"
"1978-01-02T06:00:00.000Z","6.20","7.20","5.45","5.89","-5.51","-15.10","265,921,229"
"1979-01-01T06:00:00.000Z","5.89","7.09","5.63","6.33","7.43","-2.16","251,957,246"
"1980-01-01T06:00:00.000Z","6.33","7.88","5.50","7.66","20.99","11.40","376,962,882"
"1981-01-01T06:00:00.000Z","7.67","8.73","6.39","7.17","-6.33","-15.92","364,807,565"
"1982-01-01T06:00:00.000Z","7.22","12.50","6.88","11.86","65.36","55.77","584,448,590"
"1983-01-03T06:00:00.000Z","11.86","14.72","11.34","14.66","23.58","13.99","569,739,416"
"1984-01-02T06:00:00.000Z","14.59","14.84","12.06","14.16","-3.41","-13.00","564,434,142"
"1985-01-01T06:00:00.000Z","14.13","18.47","13.91","18.19","28.48","18.88","616,257,957"
"1986-01-01T06:00:00.000Z","18.19","22.19","16.63","21.50","18.21","8.62","758,716,977"
"1987-01-01T06:00:00.000Z","21.59","33.19","19.50","22.06","2.62","-6.97","1,019,932,018"
"1988-01-01T06:00:00.000Z","22.31","23.94","19.19","22.38","1.42","-8.18","708,824,243"
"1989-01-02T06:00:00.000Z","22.31","32.38","21.75","32.25","44.13","34.54","715,270,874"
"1990-01-01T06:00:00.000Z","32.25","37.75","25.00","28.69","-11.05","-20.64","792,799,426"
"1991-01-01T06:00:00.000Z","28.69","39.06","26.50","38.25","33.33","23.74","721,136,939"
"1992-01-01T06:00:00.000Z","37.81","43.75","36.38","42.75","11.76","2.17","542,714,378"
