"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"1989-06-01T05:00:00.000Z","0.4127","0.6460","0.3948","0.5563","","-21.73","212,968,834"
"1990-01-01T06:00:00.000Z","0.5563","1.06","0.5384","0.9601","72.59","50.85","315,082,937"
"1991-01-01T06:00:00.000Z","0.9601","3.21","0.9331","3.19","232.69","210.96","774,908,792"
"1992-01-01T06:00:00.000Z","3.19","3.66","0.4217","0.9780","-69.38","-91.12","1,807,876,854"
"1993-01-01T06:00:00.000Z","0.9690","1.47","0.6640","1.31","33.95","12.21","1,373,349,006"
"1994-01-03T06:00:00.000Z","1.29","1.41","0.7088","1.26","-4.11","-25.84","1,562,016,016"
"1995-01-02T06:00:00.000Z","1.24","2.39","1.16","1.67","32.85","11.12","3,336,645,741"
"1996-01-01T06:00:00.000Z","1.64","1.66","0.6281","1.04","-37.64","-59.37","3,495,443,921"
"1997-01-01T06:00:00.000Z","1.04","1.99","0.8614","1.57","51.30","29.56","3,619,959,790"
"1998-01-01T06:00:00.000Z","1.59","2.34","0.6236","1.56","-0.8573","-22.59","3,914,580,445"
"1999-01-01T06:00:00.000Z","1.54","4.98","0.8973","4.21","169.54","147.81","3,504,432,431"
"2000-01-03T06:00:00.000Z","4.29","5.86","1.97","2.40","-43.07","-64.80","4,112,772,299"
"2001-01-01T06:00:00.000Z","2.45","5.28","2.24","4.76","98.74","77.01","6,967,637,859"
"2002-01-01T06:00:00.000Z","4.77","6.63","3.91","5.82","22.15","0.4113","7,469,015,405"
"2003-01-01T06:00:00.000Z","5.87","10.05","5.22","9.91","70.33","48.60","7,453,067,933"
"2004-01-01T06:00:00.000Z","10.04","19.55","9.92","14.79","49.33","27.60","4,706,166,088"
"2005-01-03T06:00:00.000Z","15.02","15.27","9.37","10.05","-32.06","-53.80","7,336,656,803"
"2006-01-02T06:00:00.000Z","10.14","12.74","8.49","11.97","19.14","-2.59","6,513,406,328"
"2007-01-01T06:00:00.000Z","12.05","12.55","9.17","9.27","-22.59","-44.32","6,516,854,407"
"2008-01-01T06:00:00.000Z","9.25","13.09","5.77","7.76","-16.23","-37.97","6,359,581,795"
"2009-01-01T06:00:00.000Z","7.80","10.50","7.20","10.27","32.32","10.59","6,259,281,436"
"2010-01-01T06:00:00.000Z","10.36","11.00","6.91","9.61","-6.43","-28.16","5,796,655,277"
"2011-01-03T06:00:00.000Z","9.69","11.77","8.58","8.99","-6.51","-28.25","3,916,825,894"
"2012-01-02T06:00:00.000Z","9.18","11.22","7.50","10.81","20.26","-1.48","3,460,098,757"
"2013-01-01T06:00:00.000Z","11.02","15.56","10.97","13.54","25.29","3.56","3,386,995,368"
"2014-01-01T06:00:00.000Z","13.46","15.33","10.31","14.73","8.80","-12.94","2,870,807,013"
"2015-01-01T06:00:00.000Z","14.81","15.69","10.95","12.06","-18.14","-39.88","2,082,005,555"
"2016-01-01T06:00:00.000Z","11.80","14.77","9.27","13.72","13.76","-7.97","3,977,974,786"
"2017-01-02T06:00:00.000Z","13.75","19.64","13.65","16.11","17.46","-4.28","2,893,407,483"
"2018-01-01T06:00:00.000Z","16.23","17.07","10.01","10.85","-32.66","-54.40","3,612,833,178"
"2019-01-02T06:00:00.000Z","10.59","15.34","10.05","14.65","35.06","13.33","2,985,249,212"
"2020-01-02T06:00:00.000Z","14.71","24.40","14.65","20.78","41.80","20.06","1,997,394,075"
"2021-01-04T06:00:00.000Z","20.93","28.92","19.41","25.98","25.02","3.29","1,211,067,421"
"2022-01-03T06:00:00.000Z","25.92","30.91","20.12","21.43","-17.51","-39.25","1,407,166,905"
"2023-01-03T06:00:00.000Z","21.43","23.74","15.45","20.47","-4.48","-26.21","683,557,029"
