"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"1976-06-01T05:00:00.000Z","7.75","7.75","3.44","5.60","","-10.71","2,521,140"
"1977-01-03T06:00:00.000Z","5.81","8.29","4.73","7.53","34.61","23.90","5,930,889"
"1978-01-02T06:00:00.000Z","8.07","10.01","6.46","7.85","4.29","-6.43","8,290,973"
"1979-01-01T06:00:00.000Z","7.96","19.48","7.53","19.48","147.95","137.23","11,805,886"
"1980-01-01T06:00:00.000Z","20.12","35.29","15.49","27.33","40.33","29.62","13,021,952"
"1981-01-01T06:00:00.000Z","27.55","29.05","17.22","20.12","-26.38","-37.09","10,366,556"
"1982-01-01T06:00:00.000Z","20.23","28.62","11.62","28.51","41.71","31.00","12,592,472"
"1983-01-03T06:00:00.000Z","28.41","33.03","22.92","27.65","-3.02","-13.73","11,728,407"
"1984-01-02T06:00:00.000Z","27.22","35.08","19.48","20.77","-24.90","-35.62","10,375,280"
"1985-01-01T06:00:00.000Z","20.23","25.18","10.44","11.84","-43.01","-53.72","13,565,749"
"1986-01-01T06:00:00.000Z","12.27","17.22","8.93","13.02","10.00","-0.7136","13,429,003"
"1987-01-01T06:00:00.000Z","13.56","25.39","10.11","10.98","-15.70","-26.42","16,669,778"
"1988-01-01T06:00:00.000Z","10.44","11.30","6.67","7.16","-34.80","-45.52","10,992,362"
"1989-01-02T06:00:00.000Z","7.21","13.02","7.16","12.05","68.42","57.71","17,730,630"
"1990-01-01T06:00:00.000Z","12.16","15.06","7.96","9.25","-23.21","-33.93","16,929,296"
"1991-01-01T06:00:00.000Z","9.36","11.94","7.85","9.68","4.65","-6.06","10,862,840"
"1992-01-01T06:00:00.000Z","9.79","11.62","4.95","5.38","-44.44","-55.16","6,759,395"
"1993-01-01T06:00:00.000Z","5.27","11.84","5.06","11.08","106.00","95.29","25,257,909"
"1994-01-03T06:00:00.000Z","10.98","14.63","8.07","13.02","17.48","6.76","26,995,335"
"1995-01-02T06:00:00.000Z","12.80","13.34","8.93","10.65","-18.18","-28.89","21,989,266"
"1996-01-01T06:00:00.000Z","10.76","14.96","8.61","8.61","-19.19","-29.90","21,612,996"
"1997-01-01T06:00:00.000Z","8.82","10.11","4.95","5.70","-33.75","-44.46","32,558,901"
"1998-01-01T06:00:00.000Z","5.65","6.24","2.80","3.44","-39.62","-50.34","17,030,360"
"1999-01-01T06:00:00.000Z","3.44","5.38","2.31","3.90","13.28","2.57","55,482,406"
"2000-01-03T06:00:00.000Z","3.89","4.92","2.21","3.01","-22.76","-33.47","91,110,503"
"2001-01-01T06:00:00.000Z","2.96","4.52","2.74","4.17","38.28","27.57","153,442,482"
"2002-01-01T06:00:00.000Z","4.17","14.76","4.14","12.02","188.43","177.72","733,564,339"
"2003-01-01T06:00:00.000Z","11.68","13.36","8.20","12.00","-0.1431","-10.86","646,457,367"
"2004-01-01T06:00:00.000Z","12.27","13.13","7.86","10.74","-10.47","-21.19","514,952,799"
"2005-01-03T06:00:00.000Z","10.65","15.49","8.09","15.18","41.27","30.55","443,168,610"
"2006-01-02T06:00:00.000Z","15.80","23.20","13.91","16.25","7.09","-3.62","788,506,021"
"2007-01-01T06:00:00.000Z","16.36","17.82","11.36","12.22","-24.79","-35.50","1,337,814,296"
"2008-01-01T06:00:00.000Z","12.52","15.56","3.99","8.55","-30.07","-40.78","2,213,533,080"
"2009-01-01T06:00:00.000Z","8.57","13.67","6.39","11.29","32.02","21.31","1,961,911,426"
"2010-01-01T06:00:00.000Z","11.66","15.95","9.37","15.61","38.29","27.58","1,431,257,983"
"2011-01-03T06:00:00.000Z","15.73","16.10","11.72","13.13","-15.89","-26.60","1,173,031,107"
"2012-01-02T06:00:00.000Z","13.43","14.61","9.55","10.75","-18.10","-28.81","1,160,097,784"
"2013-01-01T06:00:00.000Z","10.81","10.88","2.92","3.20","-70.24","-80.95","1,425,750,818"
"2014-01-01T06:00:00.000Z","3.25","4.94","3.00","4.53","41.56","30.85","1,252,449,789"
"2015-01-01T06:00:00.000Z","4.43","6.01","2.04","2.77","-38.85","-49.57","1,314,047,849"
"2016-01-01T06:00:00.000Z","2.73","6.60","2.60","3.01","8.66","-2.05","1,618,340,863"
"2017-01-02T06:00:00.000Z","3.13","4.70","2.86","4.30","42.86","32.14","1,595,922,744"
"2018-01-01T06:00:00.000Z","4.37","4.54","2.20","3.52","-18.14","-28.85","1,029,160,486"
"2019-01-02T06:00:00.000Z","3.47","6.83","3.46","6.60","87.50","76.79","1,700,691,901"
"2020-01-02T06:00:00.000Z","6.68","14.90","3.79","9.27","40.45","29.74","1,927,606,330"
"2021-01-04T06:00:00.000Z","10.07","12.53","7.75","10.99","18.55","7.84","1,593,445,266"
"2022-01-03T06:00:00.000Z","10.80","17.20","7.03","10.35","-5.82","-16.54","2,340,687,971"
"2023-01-03T06:00:00.000Z","10.54","17.78","8.89","12.63","22.03","11.32","890,163,841"
