"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"1972-04-03T06:00:00.000Z","0.1633","0.2486","0.1633","0.2486","","-16.73","46,058,361"
"1973-01-01T06:00:00.000Z","0.2486","0.3057","0.1734","0.1973","-20.64","-37.37","34,318,746"
"1974-01-01T06:00:00.000Z","0.2016","0.2081","0.0434","0.0499","-74.71","-91.44","19,167,816"
"1975-01-01T06:00:00.000Z","0.0499","0.0737","0.0369","0.0499","","-16.73","108,699,615"
"1976-01-01T06:00:00.000Z","0.0499","0.1257","0.0499","0.1171","134.67","117.94","61,565,983"
"1977-01-03T06:00:00.000Z","0.1171","0.1431","0.0997","0.1431","22.20","5.47","53,792,599"
"1978-01-02T06:00:00.000Z","0.1409","0.2124","0.1344","0.1648","15.16","-1.57","62,431,543"
"1979-01-01T06:00:00.000Z","0.1648","0.1778","0.1431","0.1517","-7.95","-24.68","44,938,142"
"1980-01-01T06:00:00.000Z","0.1517","0.1821","0.1387","0.1474","-2.83","-19.57","41,468,859"
"1981-01-01T06:00:00.000Z","0.1474","0.2298","0.1387","0.2016","36.77","20.04","36,444,573"
"1982-01-01T06:00:00.000Z","0.2081","0.2309","0.1561","0.1821","-9.67","-26.41","26,448,891"
"1983-01-03T06:00:00.000Z","0.1756","0.3512","0.1756","0.3024","66.06","49.33","54,323,644"
"1984-01-02T06:00:00.000Z","0.3024","0.3073","0.1951","0.2097","-30.65","-47.39","115,945,698"
"1985-01-01T06:00:00.000Z","0.2097","0.3951","0.2000","0.3853","83.74","67.00","178,155,281"
"1986-01-01T06:00:00.000Z","0.3902","0.6243","0.3756","0.4853","25.95","9.22","256,060,356"
"1987-01-01T06:00:00.000Z","0.4877","0.6828","0.4292","0.4438","-8.55","-25.29","178,621,496"
"1988-01-01T06:00:00.000Z","0.4463","0.6926","0.4463","0.5597","26.12","9.38","57,611,169"
"1989-01-02T06:00:00.000Z","0.5597","0.6072","0.4499","0.5231","-6.54","-23.27","58,233,569"
"1990-01-01T06:00:00.000Z","0.5268","0.7389","0.4536","0.6658","27.28","10.55","72,756,425"
"1991-01-01T06:00:00.000Z","0.6658","0.9072","0.5853","0.7792","17.03","0.2980","89,014,894"
"1992-01-01T06:00:00.000Z","0.7755","0.8633","0.6731","0.6841","-12.20","-28.94","58,049,119"
"1993-01-01T06:00:00.000Z","0.6877","1.06","0.6767","1.06","55.61","38.87","52,953,857"
"1994-01-03T06:00:00.000Z","1.06","1.08","0.7353","0.9548","-10.31","-27.04","93,026,926"
"1995-01-02T06:00:00.000Z","0.9548","1.68","0.8670","1.34","40.23","23.49","67,827,571"
"1996-01-01T06:00:00.000Z","1.34","1.71","1.17","1.61","20.49","3.75","100,709,784"
"1997-01-01T06:00:00.000Z","1.60","2.61","1.55","2.46","52.29","35.56","110,911,485"
"1998-01-01T06:00:00.000Z","2.45","3.60","1.96","2.91","18.59","1.86","128,698,319"
"1999-01-01T06:00:00.000Z","2.89","3.57","1.96","3.54","21.61","4.88","108,038,259"
"2000-01-03T06:00:00.000Z","3.54","4.22","2.81","4.09","15.33","-1.40","100,567,055"
"2001-01-01T06:00:00.000Z","4.07","5.90","3.44","5.79","41.57","24.83","104,828,008"
"2002-01-01T06:00:00.000Z","5.76","6.79","4.92","6.37","10.05","-6.68","170,491,752"
"2003-01-01T06:00:00.000Z","6.40","9.05","5.56","8.91","39.96","23.23","167,946,342"
"2004-01-01T06:00:00.000Z","8.93","12.69","8.78","12.45","39.71","22.98","176,180,934"
"2005-01-03T06:00:00.000Z","12.48","13.70","10.33","12.16","-2.33","-19.06","280,906,345"
"2006-01-02T06:00:00.000Z","12.13","16.67","11.84","13.21","8.61","-8.13","277,717,340"
"2007-01-01T06:00:00.000Z","13.34","15.53","12.02","12.42","-5.96","-22.69","418,421,496"
"2008-01-01T06:00:00.000Z","12.36","14.07","5.77","7.91","-36.31","-53.05","467,756,857"
"2009-01-01T06:00:00.000Z","7.88","10.70","4.72","9.52","20.40","3.66","421,786,143"
"2010-01-01T06:00:00.000Z","9.59","13.52","8.61","13.15","38.08","21.35","268,847,921"
"2011-01-03T06:00:00.000Z","13.28","18.14","10.67","13.63","3.65","-13.08","286,691,053"
"2012-01-02T06:00:00.000Z","13.88","18.89","13.26","17.16","25.92","9.19","248,134,234"
"2013-01-01T06:00:00.000Z","17.66","26.55","17.48","26.04","51.72","34.98","165,904,356"
"2014-01-01T06:00:00.000Z","25.83","27.38","21.73","26.73","2.64","-14.10","195,878,487"
"2015-01-01T06:00:00.000Z","26.83","27.16","21.15","24.02","-10.11","-26.85","225,783,873"
"2016-01-01T06:00:00.000Z","23.58","28.87","21.02","27.70","15.29","-1.44","253,502,276"
"2017-01-02T06:00:00.000Z","27.92","46.01","27.47","45.22","63.27","46.53","207,266,515"
"2018-01-01T06:00:00.000Z","45.28","49.69","37.36","41.85","-7.45","-24.19","184,463,684"
"2019-01-02T06:00:00.000Z","41.14","53.91","40.21","52.00","24.25","7.52","135,601,193"
"2020-01-02T06:00:00.000Z","52.13","73.45","38.43","72.35","39.13","22.40","190,988,937"
"2021-01-04T06:00:00.000Z","72.47","81.09","64.34","80.62","11.43","-5.30","164,319,129"
"2022-01-03T06:00:00.000Z","80.70","80.92","56.48","67.26","-16.57","-33.31","172,221,427"
"2023-01-03T06:00:00.000Z","67.69","87.94","65.93","79.46","18.14","1.40","147,892,887"
