"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"1968-01-01T06:00:00.000Z","0.8911","1.12","0.8814","0.9234","","-9.58","93,049,272"
"1969-01-01T06:00:00.000Z","0.9234","1.01","0.7845","0.9040","-2.10","-11.68","121,223,936"
"1970-01-01T06:00:00.000Z","0.9298","0.9815","0.6166","0.8459","-6.43","-16.01","104,207,596"
"1971-01-01T06:00:00.000Z","0.8330","1.08","0.8071","1.07","26.72","17.14","133,636,764"
"1972-01-03T06:00:00.000Z","1.04","1.67","1.04","1.66","55.12","45.54","113,143,584"
"1973-01-01T06:00:00.000Z","1.66","1.75","1.20","1.42","-14.57","-24.15","138,677,760"
"1974-01-01T06:00:00.000Z","1.41","1.55","0.7264","1.05","-26.36","-35.95","113,282,984"
"1975-01-01T06:00:00.000Z","1.05","1.58","1.05","1.54","47.53","37.95","142,183,660"
"1976-01-01T06:00:00.000Z","1.53","1.83","1.38","1.78","15.07","5.48","155,361,128"
"1977-01-03T06:00:00.000Z","1.78","1.80","1.36","1.57","-11.63","-21.22","194,554,852"
"1978-01-02T06:00:00.000Z","1.57","1.76","1.38","1.53","-2.47","-12.05","163,964,156"
"1979-01-01T06:00:00.000Z","1.53","1.57","1.21","1.29","-15.61","-25.19","246,726,652"
"1980-01-01T06:00:00.000Z","1.28","1.58","0.9815","1.39","8.00","-1.58","311,524,280"
"1981-01-01T06:00:00.000Z","1.39","2.04","1.38","1.85","32.87","23.29","309,956,164"
"1982-01-01T06:00:00.000Z","1.83","2.83","1.70","2.52","35.88","26.30","468,089,960"
"1983-01-03T06:00:00.000Z","2.52","2.98","2.29","2.70","7.18","-2.40","586,459,032"
"1984-01-02T06:00:00.000Z","2.70","3.10","2.15","2.63","-2.63","-12.21","397,556,420"
"1985-01-01T06:00:00.000Z","2.62","3.58","2.47","3.16","20.15","10.57","765,759,680"
"1986-01-01T06:00:00.000Z","3.16","4.89","2.92","4.46","41.11","31.52","725,786,784"
"1987-01-01T06:00:00.000Z","4.46","6.42","4.21","5.13","15.07","5.49","686,029,748"
"1988-01-01T06:00:00.000Z","5.13","5.99","4.46","5.36","4.53","-5.05","542,661,792"
