"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"1968-01-01T06:00:00.000Z","5.72","6.03","4.63","4.80","","-13.85","44,010,328"
"1969-01-01T06:00:00.000Z","4.79","4.95","4.00","4.24","-11.56","-25.41","57,960,450"
"1970-01-01T06:00:00.000Z","4.27","4.33","2.42","2.95","-30.55","-44.40","81,774,688"
"1971-01-01T06:00:00.000Z","2.93","4.58","2.81","3.09","4.95","-8.90","89,658,773"
"1972-01-03T06:00:00.000Z","3.08","4.59","3.07","4.55","47.04","33.18","84,516,714"
"1973-01-01T06:00:00.000Z","4.55","5.27","2.94","3.16","-30.57","-44.42","101,812,489"
"1974-01-01T06:00:00.000Z","3.15","3.76","1.04","1.25","-60.40","-74.25","67,027,744"
"1975-01-01T06:00:00.000Z","1.27","2.31","1.20","1.81","45.00","31.15","97,472,056"
"1976-01-01T06:00:00.000Z","1.82","3.33","1.82","2.97","63.79","49.94","118,009,057"
"1977-01-03T06:00:00.000Z","2.97","2.98","2.10","2.17","-26.84","-40.69","113,857,019"
"1978-01-02T06:00:00.000Z","2.17","2.71","1.87","2.22","2.15","-11.70","116,005,034"
"1979-01-01T06:00:00.000Z","2.22","2.71","2.18","2.33","5.17","-8.69","132,517,203"
"1980-01-01T06:00:00.000Z","2.33","3.16","1.90","2.48","6.48","-7.38","188,044,156"
"1981-01-01T06:00:00.000Z","2.48","3.14","2.08","2.16","-13.00","-26.85","150,104,576"
"1982-01-01T06:00:00.000Z","2.16","2.83","1.64","2.74","26.99","13.14","294,269,213"
"1983-01-03T06:00:00.000Z","2.74","3.76","2.71","2.91","5.88","-7.97","327,970,353"
"1984-01-02T06:00:00.000Z","2.91","3.09","2.48","2.88","-1.07","-14.93","223,912,514"
"1985-01-01T06:00:00.000Z","2.87","5.24","2.84","5.15","78.98","65.13","293,737,610"
"1986-01-01T06:00:00.000Z","5.15","6.79","3.89","4.57","-11.13","-24.99","488,721,560"
"1987-01-01T06:00:00.000Z","4.58","6.42","2.90","3.90","-14.81","-28.66","584,302,525"
"1988-01-01T06:00:00.000Z","3.92","5.82","3.73","5.78","48.40","34.54","366,562,737"
"1989-01-02T06:00:00.000Z","5.75","7.23","5.33","7.17","23.96","10.11","309,961,168"
"1990-01-01T06:00:00.000Z","7.17","8.62","5.79","7.48","4.36","-9.49","255,546,029"
"1991-01-01T06:00:00.000Z","7.48","14.37","7.02","12.79","71.03","57.18","249,917,972"
"1992-01-01T06:00:00.000Z","12.54","13.44","9.58","12.50","-2.28","-16.13","356,989,345"
"1993-01-01T06:00:00.000Z","12.58","13.00","8.00","9.33","-25.33","-39.19","391,409,893"
"1994-01-03T06:00:00.000Z","9.25","11.69","9.21","9.96","6.70","-7.16","326,152,934"
"1995-01-02T06:00:00.000Z","10.00","12.46","8.04","10.67","7.11","-6.74","481,888,092"
"1996-01-01T06:00:00.000Z","10.58","15.42","9.29","15.42","44.53","30.68","399,142,466"
"1997-01-01T06:00:00.000Z","15.25","21.71","11.25","12.37","-19.73","-33.58","823,533,917"
"1998-01-01T06:00:00.000Z","12.50","15.23","7.62","15.00","21.21","7.36","616,222,237"
"1999-01-01T06:00:00.000Z","14.96","43.02","14.92","42.98","186.53","172.67","793,479,908"
"2000-01-03T06:00:00.000Z","43.04","113.29","34.33","52.81","22.88","9.03","2,472,207,728"
"2001-01-01T06:00:00.000Z","52.00","72.19","6.92","8.92","-83.11","-96.96","2,939,929,099"
"2002-01-01T06:00:00.000Z","8.99","11.15","1.10","3.31","-62.89","-76.75","2,957,294,922"
"2003-01-01T06:00:00.000Z","3.43","12.34","3.34","10.43","215.11","201.25","2,635,309,759"
"2004-01-01T06:00:00.000Z","10.53","13.89","9.29","11.77","12.85","-1.01","2,531,835,465"
"2005-01-03T06:00:00.000Z","11.84","21.95","10.61","19.66","67.03","53.18","2,514,631,286"
"2006-01-02T06:00:00.000Z","19.98","29.61","17.50","18.71","-4.83","-18.69","3,352,446,855"
"2007-01-01T06:00:00.000Z","18.94","27.25","18.12","23.99","28.22","14.37","3,757,391,717"
"2008-01-01T06:00:00.000Z","24.02","28.07","7.36","9.53","-60.28","-74.13","4,381,781,184"
"2009-01-01T06:00:00.000Z","9.60","19.55","8.97","19.31","102.62","88.77","3,997,111,263"
"2010-01-01T06:00:00.000Z","19.47","21.10","15.45","19.32","0.0518","-13.80","3,848,786,413"
"2011-01-03T06:00:00.000Z","19.43","23.43","11.51","12.98","-32.82","-46.67","4,464,780,017"
"2012-01-02T06:00:00.000Z","13.26","14.62","10.62","12.62","-2.77","-16.63","3,804,186,048"
"2013-01-01T06:00:00.000Z","12.93","18.07","11.75","17.82","41.20","27.35","3,258,709,063"
"2014-01-01T06:00:00.000Z","17.74","23.52","16.55","22.93","28.68","14.82","2,377,521,227"
"2015-01-01T06:00:00.000Z","23.03","25.16","15.42","18.28","-20.28","-34.13","2,571,665,859"
"2016-01-01T06:00:00.000Z","17.95","25.34","16.13","24.27","32.77","18.91","2,393,111,602"
"2017-01-02T06:00:00.000Z","24.40","32.81","24.12","31.99","31.81","17.96","1,522,824,422"
"2018-01-01T06:00:00.000Z","32.32","36.56","26.11","30.21","-5.56","-19.42","1,546,887,751"
"2019-01-02T06:00:00.000Z","29.59","35.34","26.75","29.11","-3.64","-17.49","1,244,947,651"
"2020-01-02T06:00:00.000Z","29.32","38.44","17.44","36.00","23.67","9.82","1,378,180,494"
"2021-01-04T06:00:00.000Z","36.05","46.82","34.80","37.23","3.42","-10.44","1,105,492,210"
"2022-01-03T06:00:00.000Z","37.40","43.47","28.98","31.94","-14.21","-28.06","1,215,942,095"
"2023-01-03T06:00:00.000Z","32.14","37.10","30.48","32.86","2.88","-10.97","744,053,766"
