"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"1985-02-01T06:00:00.000Z","0.6250","1.02","0.5469","0.8359","","-15.43","21,891,360"
"1986-01-01T06:00:00.000Z","0.8281","2.09","0.7969","1.89","126.18","110.75","134,648,000"
"1987-01-01T06:00:00.000Z","1.89","7.59","1.89","5.19","174.38","158.96","192,458,800"
"1988-01-01T06:00:00.000Z","5.03","5.75","3.69","4.09","-21.08","-36.51","90,113,600"
"1989-01-02T06:00:00.000Z","4.09","8.59","4.06","7.91","93.13","77.70","118,088,400"
"1990-01-01T06:00:00.000Z","7.94","12.38","7.63","10.88","37.55","22.12","153,656,200"
"1991-01-01T06:00:00.000Z","10.81","13.94","9.19","13.94","28.16","12.73","122,749,600"
"1992-01-01T06:00:00.000Z","13.81","16.31","11.06","15.50","11.21","-4.22","159,936,800"
"1993-01-01T06:00:00.000Z","15.38","30.38","13.63","28.38","83.06","67.64","327,847,105"
"1994-01-03T06:00:00.000Z","28.63","31.00","19.88","22.25","-21.59","-37.01","319,409,001"
"1995-01-02T06:00:00.000Z","22.00","27.63","19.75","26.38","18.54","3.11","316,859,401"
"1996-01-01T06:00:00.000Z","26.63","32.88","24.63","28.75","9.00","-6.42","377,458,102"
"1997-01-01T06:00:00.000Z","28.75","28.75","15.13","18.63","-35.22","-50.65","345,034,402"
"1998-01-01T06:00:00.000Z","18.63","23.69","12.88","19.50","4.70","-10.73","431,130,090"
"1999-01-01T06:00:00.000Z","19.25","26.00","16.13","17.69","-9.29","-24.72","444,581,700"
"2000-01-03T06:00:00.000Z","17.56","20.00","12.31","16.38","-7.39","-22.82","378,020,507"
"2001-01-01T06:00:00.000Z","16.38","19.38","13.69","15.95","-2.63","-18.05","486,181,602"
"2002-01-01T06:00:00.000Z","15.91","23.49","13.46","15.41","-3.39","-18.81","897,957,699"
"2003-01-01T06:00:00.000Z","15.31","23.15","14.10","22.71","47.37","31.94","623,578,653"
"2004-01-01T06:00:00.000Z","22.79","25.52","18.04","24.22","6.65","-8.78","541,728,600"
"2005-01-03T06:00:00.000Z","23.97","29.96","21.07","27.87","15.07","-0.3586","595,496,394"
"2006-01-02T06:00:00.000Z","28.14","36.03","25.10","30.70","10.15","-5.27","1,235,656,281"
"2007-01-01T06:00:00.000Z","30.99","47.72","26.94","42.05","36.97","21.54","1,607,555,180"
"2008-01-01T06:00:00.000Z","42.95","54.74","17.27","36.77","-12.56","-27.99","3,240,920,873"
"2009-01-01T06:00:00.000Z","35.97","48.02","25.54","39.38","7.10","-8.33","3,226,224,496"
"2010-01-01T06:00:00.000Z","40.70","55.72","33.65","53.18","35.04","19.61","2,490,845,383"
"2011-01-03T06:00:00.000Z","53.92","55.95","42.50","45.25","-14.91","-30.34","2,187,465,780"
"2012-01-02T06:00:00.000Z","46.27","50.39","31.00","35.01","-22.63","-38.06","2,041,032,926"
"2013-01-01T06:00:00.000Z","35.92","36.08","13.43","17.63","-49.64","-65.07","4,203,561,197"
"2014-01-01T06:00:00.000Z","17.96","21.45","10.04","10.75","-39.02","-54.45","3,085,429,191"
"2015-01-01T06:00:00.000Z","10.54","13.70","5.91","7.38","-31.35","-46.78","4,289,231,939"
"2016-01-01T06:00:00.000Z","7.69","23.47","7.38","15.98","116.53","101.10","4,979,364,802"
"2017-01-02T06:00:00.000Z","16.00","20.78","13.28","14.47","-9.45","-24.88","3,031,724,841"
"2018-01-01T06:00:00.000Z","14.65","15.52","9.53","13.54","-6.43","-21.86","3,514,380,036"
"2019-01-02T06:00:00.000Z","13.64","20.07","11.52","18.59","37.30","21.87","3,690,221,798"
"2020-01-02T06:00:00.000Z","18.71","31.22","12.65","22.78","22.54","7.11","4,704,453,516"
"2021-01-04T06:00:00.000Z","23.85","25.37","17.27","19.00","-16.59","-32.02","4,395,214,743"
"2022-01-03T06:00:00.000Z","18.78","26.07","13.01","17.18","-9.58","-25.01","5,341,142,372"
"2023-01-03T06:00:00.000Z","17.54","20.75","15.47","16.12","-6.17","-21.60","2,697,778,961"
