"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"1968-08-01T05:00:00.000Z","2.35","2.70","2.19","2.63","","-9.39","1,132,207"
"1969-01-01T06:00:00.000Z","2.63","2.63","2.02","2.47","-5.96","-15.35","4,303,204"
"1970-01-01T06:00:00.000Z","2.47","2.80","1.43","2.39","-3.33","-12.73","6,789,242"
"1971-01-01T06:00:00.000Z","2.34","4.86","2.34","4.64","94.48","85.09","21,850,338"
"1972-01-03T06:00:00.000Z","4.79","6.57","4.64","5.55","19.50","10.11","15,980,608"
"1973-01-01T06:00:00.000Z","5.55","6.39","4.08","4.48","-19.29","-28.68","18,439,474"
"1974-01-01T06:00:00.000Z","4.49","4.77","2.24","3.13","-30.15","-39.54","13,045,671"
"1975-01-01T06:00:00.000Z","3.14","5.60","3.06","4.79","53.15","43.76","12,808,773"
"1976-01-01T06:00:00.000Z","4.77","5.45","4.44","4.94","3.09","-6.30","19,318,064"
"1977-01-03T06:00:00.000Z","4.94","4.94","3.88","4.69","-5.00","-14.39","20,118,465"
"1978-01-02T06:00:00.000Z","4.69","5.43","4.08","5.12","9.12","-0.2704","23,534,048"
"1979-01-01T06:00:00.000Z","5.12","5.31","4.15","4.67","-8.84","-18.24","23,266,987"
"1980-01-01T06:00:00.000Z","4.67","5.93","3.70","5.19","11.11","1.72","31,905,041"
"1981-01-01T06:00:00.000Z","5.19","7.01","5.14","6.17","19.05","9.65","33,888,496"
"1982-01-01T06:00:00.000Z","6.17","9.36","5.88","8.94","44.80","35.41","76,523,118"
"1983-01-03T06:00:00.000Z","8.94","9.56","7.61","8.89","-0.5527","-9.95","75,280,825"
"1984-01-02T06:00:00.000Z","8.89","10.00","7.11","9.41","5.83","-3.56","57,238,128"
"1985-01-01T06:00:00.000Z","9.41","11.33","8.93","11.30","20.08","10.69","61,453,823"
"1986-01-01T06:00:00.000Z","11.30","14.33","10.48","12.78","13.11","3.72","57,480,837"
"1987-01-01T06:00:00.000Z","12.81","19.72","12.11","15.61","22.17","12.78","67,760,450"
"1988-01-01T06:00:00.000Z","15.72","18.17","14.44","15.78","1.07","-8.33","66,088,498"
"1989-01-02T06:00:00.000Z","15.78","19.33","15.50","18.67","18.31","8.92","74,573,418"
"1990-01-01T06:00:00.000Z","18.67","19.00","14.72","16.89","-9.52","-18.92","70,069,852"
"1991-01-01T06:00:00.000Z","16.89","21.94","15.50","21.67","28.29","18.90","68,589,127"
"1992-01-01T06:00:00.000Z","21.56","23.17","19.33","22.67","4.61","-4.78","54,421,032"
"1993-01-01T06:00:00.000Z","22.75","26.00","21.92","25.08","10.66","1.27","52,916,327"
"1994-01-03T06:00:00.000Z","25.17","26.25","22.42","24.00","-4.32","-13.71","53,090,167"
"1995-01-02T06:00:00.000Z","23.83","28.00","23.67","27.33","13.89","4.50","66,379,945"
"1996-01-01T06:00:00.000Z","27.33","31.67","26.67","29.67","8.54","-0.8569","72,758,206"
"1997-01-01T06:00:00.000Z","29.58","35.88","28.67","33.94","14.40","5.00","83,688,129"
"1998-01-01T06:00:00.000Z","33.75","38.25","28.25","33.44","-1.47","-10.87","69,328,100"
"1999-01-01T06:00:00.000Z","33.75","35.75","22.25","24.81","-25.79","-35.19","82,153,100"
"2000-01-03T06:00:00.000Z","24.88","26.69","18.25","26.19","5.54","-3.85","114,408,800"
"2001-01-01T06:00:00.000Z","26.25","37.94","23.91","36.70","40.14","30.75","92,806,900"
"2002-01-01T06:00:00.000Z","36.50","38.80","27.10","30.80","-16.08","-25.47","101,197,500"
"2003-01-01T06:00:00.000Z","30.94","33.75","27.20","33.20","7.79","-1.60","114,539,874"
"2004-01-01T06:00:00.000Z","33.15","44.32","32.03","44.06","32.71","23.32","126,190,000"
"2005-01-03T06:00:00.000Z","43.98","46.64","40.75","43.92","-0.3177","-9.71","97,623,900"
"2006-01-02T06:00:00.000Z","44.06","48.34","40.00","47.43","7.99","-1.40","121,641,700"
"2007-01-01T06:00:00.000Z","47.47","51.68","46.00","46.30","-2.38","-11.78","154,235,801"
"2008-01-01T06:00:00.000Z","46.14","46.28","29.92","37.86","-18.23","-27.62","309,907,282"
"2009-01-01T06:00:00.000Z","38.10","39.82","24.93","37.96","0.2641","-9.13","290,790,151"
"2010-01-01T06:00:00.000Z","38.30","51.61","36.94","51.34","35.25","25.85","232,852,662"
"2011-01-03T06:00:00.000Z","51.81","62.21","46.10","61.20","19.21","9.81","264,109,126"
"2012-01-02T06:00:00.000Z","62.37","66.91","55.58","63.58","3.89","-5.50","211,741,879"
"2013-01-01T06:00:00.000Z","64.70","85.41","64.43","83.19","30.84","21.45","195,793,457"
"2014-01-01T06:00:00.000Z","83.10","109.00","76.50","106.57","28.10","18.71","159,438,213"
"2015-01-01T06:00:00.000Z","107.40","108.06","78.76","85.89","-19.41","-28.80","191,400,407"
"2016-01-01T06:00:00.000Z","84.81","105.97","76.50","95.54","11.24","1.84","182,747,446"
"2017-01-02T06:00:00.000Z","96.42","100.90","79.86","95.01","-0.5547","-9.95","211,610,863"
"2018-01-01T06:00:00.000Z","95.54","107.75","85.80","96.02","1.06","-8.33","224,640,028"
"2019-01-02T06:00:00.000Z","95.09","115.20","87.26","106.23","10.63","1.24","198,431,953"
"2020-01-02T06:00:00.000Z","106.60","106.84","49.68","100.43","-5.46","-14.85","226,348,860"
"2021-01-04T06:00:00.000Z","101.08","141.29","93.62","140.20","39.60","30.21","176,121,250"
"2022-01-03T06:00:00.000Z","140.76","187.72","115.63","173.51","23.76","14.37","206,799,424"
"2023-01-03T06:00:00.000Z","173.18","181.37","145.30","155.08","-10.62","-20.02","169,210,523"
