"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"1973-01-01T06:00:00.000Z","0.6562","0.6562","0.5000","0.5156","","-13.20","78,400"
"1974-02-01T05:00:00.000Z","0.5000","0.5625","0.2500","0.2656","-48.49","-61.69","121,600"
"1975-01-01T06:00:00.000Z","0.2656","0.6484","0.2656","0.4531","70.59","57.39","1,180,800"
"1976-01-01T06:00:00.000Z","0.4844","0.4844","0.2969","0.3984","-12.07","-25.28","123,200"
"1977-01-03T06:00:00.000Z","0.4453","0.7031","0.4453","0.7031","76.48","63.28","296,000"
"1978-01-02T06:00:00.000Z","0.6953","0.7578","0.5859","0.6250","-11.11","-24.31","137,600"
"1979-01-01T06:00:00.000Z","0.6328","0.7500","0.5078","0.5859","-6.26","-19.46","356,800"
"1980-01-01T06:00:00.000Z","0.6016","0.7812","0.5156","0.7812","33.33","20.13","529,600"
"1981-01-01T06:00:00.000Z","0.7969","1.05","0.7344","0.9922","27.01","13.81","5,029,600"
"1982-01-01T06:00:00.000Z","1.00","3.05","0.9844","2.55","156.69","143.49","84,621,600"
"1983-01-03T06:00:00.000Z","2.58","3.94","2.48","2.50","-1.84","-15.04","518,414,400"
"1984-01-02T06:00:00.000Z","2.47","3.28","2.47","3.16","26.25","13.05","266,484,000"
"1985-01-01T06:00:00.000Z","3.13","5.78","3.09","5.53","75.25","62.05","369,264,800"
"1986-01-01T06:00:00.000Z","5.56","8.63","5.44","7.69","38.98","25.78","567,053,602"
"1987-01-01T06:00:00.000Z","7.69","15.31","7.69","9.13","18.70","5.50","504,153,004"
"1988-01-01T06:00:00.000Z","9.19","10.25","7.94","9.63","5.48","-7.72","233,360,600"
"1989-01-02T06:00:00.000Z","9.63","13.44","9.25","13.00","35.06","21.86","162,793,000"
"1990-01-01T06:00:00.000Z","12.88","17.31","11.31","16.38","25.96","12.76","325,077,800"
"1991-01-01T06:00:00.000Z","16.38","32.38","15.56","31.75","93.89","80.69","561,781,994"
"1992-01-01T06:00:00.000Z","31.88","34.50","22.00","23.75","-25.20","-38.40","546,525,698"
"1993-01-01T06:00:00.000Z","23.75","24.25","14.75","20.88","-12.11","-25.31","483,736,998"
"1994-01-03T06:00:00.000Z","21.00","21.63","15.88","20.38","-2.40","-15.60","342,514,396"
"1995-01-02T06:00:00.000Z","20.63","28.38","18.75","28.13","38.04","24.83","273,369,099"
"1996-01-01T06:00:00.000Z","28.13","34.38","22.38","31.75","12.89","-0.3140","305,125,910"
"1997-01-01T06:00:00.000Z","31.75","48.50","29.88","47.88","50.79","37.58","175,875,802"
"1998-01-01T06:00:00.000Z","47.69","69.69","47.13","69.50","45.17","31.97","132,179,898"
"1999-01-01T06:00:00.000Z","70.06","76.19","48.06","55.88","-19.60","-32.81","125,569,800"
"2000-01-03T06:00:00.000Z","55.94","64.44","45.25","56.00","0.2237","-12.98","170,736,700"
"2001-01-01T06:00:00.000Z","56.00","58.00","47.15","49.82","-11.04","-24.24","195,154,000"
"2002-01-01T06:00:00.000Z","49.80","51.07","31.35","37.46","-24.81","-38.01","257,391,602"
"2003-01-01T06:00:00.000Z","37.57","47.64","31.85","46.62","24.45","11.25","241,894,437"
"2004-01-01T06:00:00.000Z","46.78","47.53","38.80","47.39","1.65","-11.55","346,208,700"
"2005-01-03T06:00:00.000Z","46.95","53.80","44.17","50.48","6.52","-6.68","334,926,102"
"2006-01-02T06:00:00.000Z","50.43","58.40","50.03","52.76","4.52","-8.69","318,257,200"
"2007-01-01T06:00:00.000Z","53.79","59.98","47.49","50.39","-4.49","-17.69","505,848,416"
"2008-01-01T06:00:00.000Z","50.45","54.64","31.02","37.27","-26.04","-39.24","503,382,415"
"2009-01-01T06:00:00.000Z","36.52","43.47","27.15","42.25","13.36","0.1590","469,329,417"
"2010-01-01T06:00:00.000Z","43.08","43.13","32.15","39.22","-7.17","-20.37","531,372,449"
"2011-01-03T06:00:00.000Z","39.17","45.85","36.28","45.63","16.34","3.14","697,947,926"
"2012-01-02T06:00:00.000Z","46.05","47.70","41.68","43.47","-4.73","-17.94","569,678,298"
"2013-01-01T06:00:00.000Z","44.26","54.00","43.68","53.39","22.82","9.62","609,873,315"
"2014-01-01T06:00:00.000Z","52.89","56.73","41.29","42.74","-19.95","-33.15","869,059,380"
"2015-01-01T06:00:00.000Z","42.70","49.08","37.24","40.35","-5.59","-18.79","948,687,843"
"2016-01-01T06:00:00.000Z","40.25","45.58","37.20","38.51","-4.56","-17.76","895,070,580"
"2017-01-02T06:00:00.000Z","38.55","44.53","34.52","35.47","-7.89","-21.10","905,190,153"
"2018-01-01T06:00:00.000Z","36.13","42.36","34.89","38.21","7.72","-5.48","792,737,758"
"2019-01-02T06:00:00.000Z","37.77","47.57","37.60","46.99","22.98","9.78","645,087,089"
"2020-01-02T06:00:00.000Z","46.81","48.25","31.43","36.80","-21.69","-34.89","1,024,954,148"
"2021-01-04T06:00:00.000Z","37.72","44.55","33.53","44.10","19.84","6.63","1,169,705,494"
"2022-01-03T06:00:00.000Z","44.11","46.97","28.46","35.14","-20.32","-33.52","1,474,163,398"
"2023-01-03T06:00:00.000Z","34.94","38.32","33.20","35.03","-0.3130","-13.52","552,003,802"
