"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"1971-07-01T05:00:00.000Z","1.95","2.59","1.90","2.59","","-13.36","1,144,000"
"1972-01-03T06:00:00.000Z","2.60","4.91","2.60","4.66","80.06","66.70","6,973,600"
"1973-01-01T06:00:00.000Z","4.69","5.63","3.38","4.33","-7.05","-20.40","7,213,600"
"1974-01-01T06:00:00.000Z","4.30","4.69","1.94","2.17","-49.82","-63.18","8,638,400"
"1975-01-01T06:00:00.000Z","2.17","3.70","2.16","3.13","43.88","30.53","12,839,200"
"1976-01-01T06:00:00.000Z","3.13","4.27","3.08","3.75","20.00","6.64","18,368,000"
"1977-01-03T06:00:00.000Z","3.75","3.94","3.31","3.94","5.00","-8.36","13,589,600"
"1978-01-02T06:00:00.000Z","3.91","4.75","3.31","4.06","3.17","-10.18","21,976,000"
"1979-01-01T06:00:00.000Z","4.06","4.88","3.89","4.67","15.00","1.64","19,344,800"
"1980-01-01T06:00:00.000Z","4.64","5.03","3.13","4.31","-7.69","-21.05","34,786,400"
"1981-01-01T06:00:00.000Z","4.31","5.58","4.16","4.64","7.61","-5.75","34,982,400"
"1982-01-01T06:00:00.000Z","4.67","7.00","4.23","6.69","44.11","30.75","31,652,800"
"1983-01-03T06:00:00.000Z","6.63","7.91","5.84","7.69","14.95","1.60","44,916,000"
"1984-01-02T06:00:00.000Z","7.69","8.25","5.88","7.17","-6.71","-20.06","39,477,600"
"1985-01-01T06:00:00.000Z","7.17","10.03","6.86","9.59","33.77","20.41","41,465,200"
"1986-01-01T06:00:00.000Z","9.59","11.63","9.31","10.88","13.35","-0.0025","38,987,200"
"1987-01-01T06:00:00.000Z","10.88","17.94","10.78","14.69","35.06","21.70","70,449,600"
"1988-01-01T06:00:00.000Z","14.69","16.88","12.31","13.47","-8.30","-21.65","53,832,400"
"1989-01-02T06:00:00.000Z","13.47","16.56","13.13","16.13","19.72","6.36","47,948,000"
"1990-01-01T06:00:00.000Z","16.13","19.59","13.59","16.59","2.91","-10.45","46,437,600"
"1991-01-01T06:00:00.000Z","16.59","27.75","15.13","27.13","63.46","50.11","52,098,800"
"1992-01-01T06:00:00.000Z","27.13","30.50","19.50","30.00","10.60","-2.76","47,458,200"
"1993-01-01T06:00:00.000Z","30.06","33.38","25.81","28.75","-4.17","-17.52","46,662,800"
"1994-01-03T06:00:00.000Z","28.75","34.56","25.75","28.88","0.4348","-12.92","51,199,200"
"1995-01-02T06:00:00.000Z","28.75","33.81","27.75","33.13","14.72","1.36","58,492,000"
"1996-01-01T06:00:00.000Z","33.06","40.75","31.31","40.13","21.13","7.78","58,603,200"
"1997-01-01T06:00:00.000Z","40.06","49.88","35.25","48.59","21.11","7.75","53,089,400"
"1998-01-01T06:00:00.000Z","48.72","54.72","36.44","41.63","-14.34","-27.70","53,884,900"
"1999-01-01T06:00:00.000Z","41.38","58.13","36.88","47.81","14.86","1.51","87,124,300"
"2000-01-03T06:00:00.000Z","47.63","56.88","24.31","36.50","-23.66","-37.02","127,774,900"
"2001-01-01T06:00:00.000Z","35.75","48.99","29.51","48.00","31.51","18.15","98,671,000"
"2002-01-01T06:00:00.000Z","47.50","59.40","39.20","51.55","7.40","-5.96","108,724,800"
"2003-01-01T06:00:00.000Z","51.70","53.30","41.40","47.39","-8.07","-21.43","126,502,635"
"2004-01-01T06:00:00.000Z","47.37","66.99","45.00","66.62","40.58","27.22","115,720,000"
"2005-01-03T06:00:00.000Z","66.52","72.45","51.65","71.10","6.72","-6.63","119,647,700"
"2006-01-02T06:00:00.000Z","71.02","79.95","60.60","69.94","-1.63","-14.99","151,101,799"
"2007-01-01T06:00:00.000Z","70.50","98.60","68.77","87.52","25.14","11.78","153,600,068"
"2008-01-01T06:00:00.000Z","87.17","93.99","58.86","78.84","-9.92","-23.27","268,281,668"
"2009-01-01T06:00:00.000Z","78.85","102.54","59.95","96.83","22.82","9.46","260,168,603"
"2010-01-01T06:00:00.000Z","97.24","139.09","96.14","138.11","42.63","29.27","172,176,716"
"2011-01-03T06:00:00.000Z","139.18","193.21","124.33","187.19","35.54","22.18","142,559,362"
"2012-01-02T06:00:00.000Z","191.29","221.84","172.50","202.37","8.11","-5.25","140,472,931"
"2013-01-01T06:00:00.000Z","205.39","276.38","201.49","255.42","26.21","12.86","88,753,557"
"2014-01-01T06:00:00.000Z","254.70","269.69","223.92","254.89","-0.2075","-13.56","117,262,656"
"2015-01-01T06:00:00.000Z","256.02","256.97","189.60","202.59","-20.52","-33.88","168,915,405"
"2016-01-01T06:00:00.000Z","199.55","240.74","176.85","232.25","14.64","1.28","161,329,823"
"2017-01-02T06:00:00.000Z","233.42","262.71","155.00","236.25","1.72","-11.63","233,295,745"
"2018-01-01T06:00:00.000Z","237.05","372.06","223.25","282.36","19.52","6.16","197,675,400"
"2019-01-02T06:00:00.000Z","278.89","340.57","255.09","338.52","19.89","6.53","109,651,401"
"2020-01-02T06:00:00.000Z","339.75","427.90","200.61","408.34","20.63","7.27","86,972,001"
"2021-01-04T06:00:00.000Z","410.44","527.06","356.23","518.24","26.91","13.56","66,180,250"
"2022-01-03T06:00:00.000Z","517.51","612.06","440.48","556.25","7.33","-6.02","77,889,032"
"2023-01-03T06:00:00.000Z","558.54","811.60","534.01","710.78","27.78","14.42","47,287,143"
