"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"1968-01-01T06:00:00.000Z","1.32","2.17","1.29","2.05","","-11.72","78,096,112"
"1969-01-01T06:00:00.000Z","2.04","2.49","1.77","2.05","","-11.72","70,588,864"
"1970-01-01T06:00:00.000Z","2.03","2.09","1.26","1.98","-3.56","-15.28","96,146,648"
"1971-01-01T06:00:00.000Z","1.96","3.29","1.95","3.22","62.63","50.91","88,466,536"
"1972-01-03T06:00:00.000Z","3.23","5.87","2.90","5.84","81.55","69.83","104,930,608"
"1973-01-01T06:00:00.000Z","5.85","8.10","5.22","8.05","37.79","26.07","120,408,224"
"1974-01-01T06:00:00.000Z","8.05","8.08","4.33","5.71","-29.04","-40.76","147,562,000"
"1975-01-01T06:00:00.000Z","5.74","7.87","4.79","6.09","6.65","-5.07","153,610,080"
"1976-01-01T06:00:00.000Z","6.12","8.70","5.56","8.14","33.59","21.87","130,044,176"
"1977-01-03T06:00:00.000Z","8.11","8.41","6.81","8.14","","-11.72","133,051,200"
"1978-01-02T06:00:00.000Z","8.14","9.80","6.81","8.25","1.34","-10.38","140,676,000"
"1979-01-01T06:00:00.000Z","8.25","10.63","7.47","10.63","28.79","17.07","156,107,200"
"1980-01-01T06:00:00.000Z","10.59","21.61","10.25","20.88","96.47","84.75","165,014,400"
"1981-01-01T06:00:00.000Z","20.88","21.13","11.03","13.03","-37.58","-49.30","164,313,600"
"1982-01-01T06:00:00.000Z","13.03","13.19","5.25","8.84","-32.13","-43.86","326,773,200"
"1983-01-03T06:00:00.000Z","8.84","11.81","7.31","10.09","14.13","2.41","335,515,600"
"1984-01-02T06:00:00.000Z","10.09","11.00","6.78","7.13","-29.41","-41.13","370,132,400"
"1985-01-01T06:00:00.000Z","7.13","8.06","6.13","6.88","-3.51","-15.23","322,261,200"
"1986-01-01T06:00:00.000Z","6.88","7.00","4.34","6.09","-11.36","-23.09","374,712,400"
"1987-01-01T06:00:00.000Z","6.13","10.78","5.03","6.19","1.54","-10.18","434,866,400"
"1988-01-01T06:00:00.000Z","6.19","9.13","6.09","7.00","13.13","1.41","336,614,400"
"1989-01-02T06:00:00.000Z","7.00","11.13","6.88","10.69","52.68","40.96","370,722,000"
"1990-01-01T06:00:00.000Z","10.69","14.69","9.69","11.41","6.72","-5.00","455,723,200"
"1991-01-01T06:00:00.000Z","11.41","13.81","6.38","7.13","-37.53","-49.26","512,415,600"
"1992-01-01T06:00:00.000Z","7.13","9.22","5.44","7.19","0.8772","-10.84","507,412,400"
"1993-01-01T06:00:00.000Z","7.25","11.00","6.44","7.97","10.87","-0.8519","470,157,200"
"1994-01-03T06:00:00.000Z","7.91","9.31","6.97","8.28","3.92","-7.80","458,554,800"
"1995-01-02T06:00:00.000Z","8.25","12.72","8.22","12.66","52.83","41.11","508,130,800"
"1996-01-01T06:00:00.000Z","12.63","15.91","11.19","15.06","19.01","7.29","690,657,600"
"1997-01-01T06:00:00.000Z","15.06","31.63","14.84","25.94","72.20","60.48","831,705,804"
