"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"1972-04-03T06:00:00.000Z","1.06","1.09","0.9760","1.04","","-8.76","4,443,304"
"1973-01-01T06:00:00.000Z","1.04","1.13","0.8219","0.8365","-19.72","-28.48","5,928,000"
"1974-01-01T06:00:00.000Z","0.8365","0.9939","0.5933","0.6010","-28.15","-36.91","7,451,312"
"1975-01-01T06:00:00.000Z","0.6010","0.8737","0.6010","0.6472","7.69","-1.07","6,410,309"
"1976-01-01T06:00:00.000Z","0.6472","0.9004","0.6472","0.9004","39.12","30.37","7,604,051"
"1977-01-03T06:00:00.000Z","0.9004","1.08","0.9004","1.05","16.89","8.14","5,246,675"
"1978-01-02T06:00:00.000Z","1.06","1.36","1.06","1.19","13.01","4.25","5,998,348"
"1979-01-01T06:00:00.000Z","1.19","1.38","1.04","1.19","0.2606","-8.50","6,344,986"
"1980-01-01T06:00:00.000Z","1.19","1.32","0.9119","1.20","0.7044","-8.05","8,437,859"
"1981-01-01T06:00:00.000Z","1.20","2.03","1.12","1.74","44.64","35.89","12,711,551"
"1982-01-01T06:00:00.000Z","1.72","2.00","1.30","1.77","1.85","-6.90","13,085,379"
"1983-01-03T06:00:00.000Z","1.77","2.43","1.70","2.30","29.80","21.04","26,255,777"
"1984-01-02T06:00:00.000Z","2.30","3.10","2.00","3.08","34.24","25.48","29,484,641"
"1985-01-01T06:00:00.000Z","3.04","4.67","2.91","4.50","45.83","37.08","37,748,170"
"1986-01-01T06:00:00.000Z","4.50","6.47","4.19","4.52","0.5717","-8.18","47,981,854"
"1987-01-01T06:00:00.000Z","4.52","5.56","3.89","3.99","-11.77","-20.53","42,146,237"
"1988-01-01T06:00:00.000Z","3.99","5.28","3.99","4.47","12.01","3.26","33,715,002"
"1989-01-02T06:00:00.000Z","4.47","6.70","4.40","5.96","33.33","24.58","43,250,428"
"1990-01-01T06:00:00.000Z","5.96","6.11","2.99","3.65","-38.81","-47.57","51,993,481"
"1991-01-01T06:00:00.000Z","3.65","6.84","3.65","6.71","84.04","75.29","51,450,139"
"1992-01-01T06:00:00.000Z","6.71","10.00","6.58","9.78","45.83","37.08","58,242,299"
"1993-01-01T06:00:00.000Z","9.68","13.01","9.25","11.18","14.23","5.47","94,189,484"
"1994-01-03T06:00:00.000Z","11.29","13.13","9.83","10.20","-8.73","-17.49","102,609,491"
"1995-01-02T06:00:00.000Z","10.05","15.76","9.98","14.90","46.09","37.33","71,717,427"
"1996-01-01T06:00:00.000Z","14.67","19.72","13.97","18.01","20.89","12.13","63,127,247"
"1997-01-01T06:00:00.000Z","18.01","29.21","17.08","27.05","50.14","41.39","124,107,351"
"1998-01-01T06:00:00.000Z","26.77","28.55","18.18","24.84","-8.14","-16.90","95,497,568"
"1999-01-01T06:00:00.000Z","24.84","30.89","19.49","21.70","-12.64","-21.40","118,887,167"
"2000-01-03T06:00:00.000Z","21.53","21.82","12.52","16.19","-25.42","-34.17","167,319,323"
"2001-01-01T06:00:00.000Z","16.19","19.28","12.63","17.19","6.19","-2.56","186,910,900"
"2002-01-01T06:00:00.000Z","17.26","21.77","16.00","18.71","8.84","0.0861","234,096,008"
"2003-01-01T06:00:00.000Z","18.83","22.55","17.78","22.50","20.26","11.50","194,460,826"
"2004-01-01T06:00:00.000Z","22.58","25.38","20.89","24.74","9.96","1.20","209,195,011"
"2005-01-03T06:00:00.000Z","24.71","25.41","20.97","23.75","-4.00","-12.76","214,186,319"
"2006-01-02T06:00:00.000Z","23.89","24.97","22.56","23.75","","-8.76","308,420,237"
"2007-01-01T06:00:00.000Z","23.84","24.14","13.50","14.76","-37.85","-46.61","770,833,124"
"2008-01-01T06:00:00.000Z","14.85","14.87","4.37","7.66","-48.10","-56.86","2,362,104,928"
"2009-01-01T06:00:00.000Z","7.88","8.00","1.00","3.65","-52.35","-61.11","6,144,719,950"
"2010-01-01T06:00:00.000Z","3.71","7.40","3.65","6.87","88.22","79.46","5,406,214,231"
"2011-01-03T06:00:00.000Z","6.96","7.70","4.46","5.49","-20.09","-28.84","4,059,221,858"
"2012-01-02T06:00:00.000Z","5.63","7.25","5.49","6.39","16.39","7.64","2,997,823,753"
"2013-01-01T06:00:00.000Z","6.59","9.73","6.48","9.65","51.02","42.26","2,492,756,650"
"2014-01-01T06:00:00.000Z","9.60","10.74","8.66","10.52","9.02","0.2593","2,299,376,821"
"2015-01-01T06:00:00.000Z","10.60","11.90","9.63","11.06","5.13","-3.62","2,281,669,071"
"2016-01-01T06:00:00.000Z","10.76","13.64","7.83","13.22","19.53","10.77","3,479,598,306"
"2017-01-02T06:00:00.000Z","13.46","14.93","12.14","14.56","10.14","1.38","2,368,062,837"
"2018-01-01T06:00:00.000Z","14.71","16.60","11.12","11.92","-18.13","-26.89","2,642,516,831"
"2019-01-02T06:00:00.000Z","11.78","15.63","11.72","15.08","26.51","17.75","2,553,732,257"
"2020-01-02T06:00:00.000Z","15.12","15.16","6.82","12.63","-16.25","-25.00","2,829,669,761"
"2021-01-04T06:00:00.000Z","12.75","16.91","12.41","15.42","22.09","13.33","3,358,452,161"
"2022-01-03T06:00:00.000Z","15.50","17.79","11.67","14.10","-8.56","-17.32","3,630,241,171"
"2023-01-03T06:00:00.000Z","14.29","15.62","9.13","11.22","-20.43","-29.18","2,723,461,219"
