"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"1981-09-01T05:00:00.000Z","0.0351","0.0563","0.0351","0.0541","","-34.38","155,176,735"
"1982-01-01T06:00:00.000Z","0.0541","0.3155","0.0541","0.2689","397.04","362.66","890,203,884"
"1983-01-03T06:00:00.000Z","0.2675","0.6969","0.2648","0.5762","114.28","79.90","889,738,550"
"1984-01-02T06:00:00.000Z","0.5762","0.6118","0.2634","0.3896","-32.38","-66.76","1,382,511,673"
"1985-01-01T06:00:00.000Z","0.3896","0.4472","0.2305","0.2744","-29.57","-63.95","1,148,082,658"
"1986-01-01T06:00:00.000Z","0.2744","0.4774","0.2359","0.3923","42.97","8.59","1,289,267,156"
"1987-01-01T06:00:00.000Z","0.3923","0.9246","0.3923","0.6173","57.35","22.98","1,773,034,865"
"1988-01-01T06:00:00.000Z","0.6173","1.05","0.5720","1.04","68.67","34.29","1,288,602,081"
"1989-01-02T06:00:00.000Z","1.04","1.90","0.9465","1.81","73.71","39.33","1,042,062,012"
"1990-01-01T06:00:00.000Z","1.81","3.22","1.70","2.86","58.19","23.81","1,870,751,490"
"1991-01-01T06:00:00.000Z","2.86","7.79","2.56","7.49","161.65","127.27","1,761,632,216"
"1992-01-01T06:00:00.000Z","7.42","11.44","6.61","11.25","50.28","15.90","1,682,905,910"
"1993-01-01T06:00:00.000Z","11.29","11.31","7.78","8.78","-21.97","-56.35","1,715,397,424"
"1994-01-03T06:00:00.000Z","8.78","10.72","8.11","10.22","16.45","-17.92","1,298,151,906"
"1995-01-02T06:00:00.000Z","10.19","11.11","8.14","10.61","3.80","-30.57","2,016,364,962"
"1996-01-01T06:00:00.000Z","10.56","13.22","9.22","11.14","4.97","-29.40","1,702,597,962"
"1997-01-01T06:00:00.000Z","11.17","20.17","10.61","19.63","76.18","41.81","1,708,893,373"
"1998-01-01T06:00:00.000Z","19.67","41.33","18.44","40.79","107.86","73.48","1,582,977,657"
"1999-01-01T06:00:00.000Z","40.25","69.75","34.58","68.75","68.54","34.16","1,387,172,571"
"2000-01-03T06:00:00.000Z","68.63","70.00","34.69","45.69","-33.55","-67.92","1,737,536,369"
"2001-01-01T06:00:00.000Z","45.69","53.73","30.30","51.01","11.65","-22.73","1,851,838,777"
"2002-01-01T06:00:00.000Z","51.01","52.60","23.01","24.02","-52.91","-87.29","2,878,772,024"
"2003-01-01T06:00:00.000Z","24.21","37.89","20.10","35.49","47.75","13.37","2,621,271,571"
"2004-01-01T06:00:00.000Z","35.75","44.30","32.34","42.74","20.43","-13.95","1,788,355,479"
"2005-01-03T06:00:00.000Z","42.99","43.98","34.56","40.48","-5.29","-39.67","1,988,107,723"
"2006-01-02T06:00:00.000Z","40.39","43.95","32.85","40.16","-0.7905","-35.17","3,032,457,058"
"2007-01-01T06:00:00.000Z","41.30","42.01","25.57","26.94","-32.92","-67.30","4,638,290,680"
"2008-01-01T06:00:00.000Z","27.13","31.08","17.05","23.02","-14.55","-48.93","5,216,013,778"
"2009-01-01T06:00:00.000Z","23.07","29.44","17.49","28.93","25.67","-8.71","4,418,454,053"
"2010-01-01T06:00:00.000Z","29.15","37.03","26.62","35.06","21.19","-13.19","3,979,900,870"
"2011-01-03T06:00:00.000Z","35.20","42.47","28.13","42.04","19.91","-14.47","2,935,948,429"
"2012-01-02T06:00:00.000Z","42.41","65.92","41.92","61.85","47.12","12.74","2,391,319,080"
"2013-01-01T06:00:00.000Z","63.57","82.47","62.38","82.34","33.13","-1.25","1,764,022,144"
"2014-01-01T06:00:00.000Z","82.11","106.02","73.96","104.97","27.48","-6.89","1,622,055,880"
"2015-01-01T06:00:00.000Z","105.16","135.47","92.17","132.25","25.99","-8.39","1,288,945,136"
"2016-01-01T06:00:00.000Z","130.11","139.00","109.62","134.08","1.38","-32.99","1,294,552,585"
"2017-01-02T06:00:00.000Z","135.10","191.49","133.05","189.53","41.36","6.98","1,127,475,393"
"2018-01-01T06:00:00.000Z","190.21","215.43","158.09","171.82","-9.34","-43.72","1,250,823,115"
"2019-01-02T06:00:00.000Z","169.71","239.31","168.21","218.38","27.10","-7.28","1,059,987,706"
"2020-01-02T06:00:00.000Z","219.08","292.95","140.63","265.62","21.63","-12.75","1,200,195,577"
"2021-01-04T06:00:00.000Z","266.01","420.61","246.59","415.01","56.24","21.86","959,530,774"
"2022-01-03T06:00:00.000Z","416.57","417.84","264.51","315.86","-23.89","-58.27","1,074,160,354"
"2023-01-03T06:00:00.000Z","317.42","341.47","277.09","333.08","5.45","-28.93","644,225,146"
