"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"1972-12-01T06:00:00.000Z","1.90","2.74","1.90","2.74","","-7.99","784,000"
"1973-01-01T06:00:00.000Z","2.76","4.03","1.63","1.80","-34.25","-42.24","15,630,000"
"1974-01-01T06:00:00.000Z","1.79","2.85","1.32","1.49","-17.36","-25.35","3,734,000"
"1975-01-01T06:00:00.000Z","1.49","2.26","1.48","2.21","48.74","40.75","1,866,000"
"1976-01-01T06:00:00.000Z","2.23","2.65","1.00","1.31","-40.68","-48.67","30,072,000"
"1977-01-03T06:00:00.000Z","1.32","1.32","0.8750","0.8812","-32.86","-40.85","70,170,000"
"1978-01-02T06:00:00.000Z","0.8812","1.51","0.8688","1.24","41.14","33.14","35,986,000"
"1979-01-01T06:00:00.000Z","1.23","1.43","1.10","1.41","13.07","5.07","9,414,000"
"1980-01-01T06:00:00.000Z","1.42","1.43","1.05","1.27","-9.77","-17.76","20,184,000"
"1981-01-01T06:00:00.000Z","1.27","2.91","1.24","1.77","39.90","31.90","52,806,000"
"1982-01-01T06:00:00.000Z","1.82","2.19","1.19","2.15","21.13","13.13","51,908,000"
"1983-01-03T06:00:00.000Z","2.16","2.44","1.64","2.42","12.79","4.80","129,318,000"
"1984-01-02T06:00:00.000Z","2.42","3.01","2.08","2.42","","-7.99","211,066,000"
"1985-01-01T06:00:00.000Z","2.42","3.19","2.40","2.96","22.16","14.17","455,122,000"
"1986-01-01T06:00:00.000Z","2.97","4.44","2.75","4.29","44.73","36.73","379,734,000"
"1987-01-01T06:00:00.000Z","4.27","6.44","3.90","5.13","19.53","11.54","195,042,000"
"1988-01-01T06:00:00.000Z","5.13","9.39","5.03","8.34","62.68","54.69","140,626,000"
"1989-01-02T06:00:00.000Z","8.37","8.74","6.13","6.28","-24.66","-32.66","33,143,600"
"1990-01-01T06:00:00.000Z","6.28","6.50","4.63","4.84","-22.88","-30.88","21,104,400"
"1991-01-01T06:00:00.000Z","4.84","6.19","4.34","5.94","22.58","14.59","26,466,800"
"1992-01-01T06:00:00.000Z","5.97","6.38","4.44","5.19","-12.63","-20.62","19,117,600"
"1993-01-01T06:00:00.000Z","5.25","7.84","4.97","6.81","31.33","23.33","11,155,200"
"1994-01-03T06:00:00.000Z","6.81","9.44","6.78","8.88","30.28","22.28","12,338,000"
"1995-01-02T06:00:00.000Z","8.81","10.63","6.88","10.44","17.61","9.61","11,018,800"
"1996-01-01T06:00:00.000Z","10.44","15.31","10.09","14.16","35.63","27.64","20,090,000"
"1997-01-01T06:00:00.000Z","14.16","19.14","12.81","18.47","30.46","22.47","54,082,400"
"1998-01-01T06:00:00.000Z","18.25","20.00","12.83","16.69","-9.64","-17.64","18,107,200"
"1999-01-01T06:00:00.000Z","16.06","23.50","16.02","19.13","14.61","6.61","21,068,800"
"2000-01-03T06:00:00.000Z","19.06","22.69","16.13","18.47","-3.43","-11.42","18,848,400"
"2001-01-01T06:00:00.000Z","18.53","23.09","13.65","20.38","10.33","2.34","31,651,600"
"2002-01-01T06:00:00.000Z","20.41","23.85","17.01","18.06","-11.37","-19.37","46,203,000"
"2003-01-01T06:00:00.000Z","18.15","23.59","15.47","22.50","24.58","16.59","93,402,012"
"2004-01-01T06:00:00.000Z","22.50","26.10","19.25","26.06","15.82","7.83","90,450,600"
"2005-01-03T06:00:00.000Z","26.19","29.70","23.75","28.97","11.17","3.17","79,983,100"
"2006-01-02T06:00:00.000Z","29.14","39.87","27.10","39.54","36.49","28.49","122,633,200"
"2007-01-01T06:00:00.000Z","39.81","40.82","31.29","33.14","-16.19","-24.18","173,382,841"
"2008-01-01T06:00:00.000Z","33.03","36.40","17.35","21.34","-35.61","-43.60","263,478,469"
"2009-01-01T06:00:00.000Z","21.41","34.52","20.28","33.90","58.86","50.86","233,903,076"
"2010-01-01T06:00:00.000Z","34.25","39.69","28.33","39.50","16.52","8.53","144,585,233"
"2011-01-03T06:00:00.000Z","39.84","44.56","27.52","30.55","-22.66","-30.65","201,313,474"
"2012-01-02T06:00:00.000Z","31.18","39.35","28.50","36.94","20.92","12.92","134,355,613"
"2013-01-01T06:00:00.000Z","37.69","42.96","35.15","41.35","11.94","3.95","120,685,763"
"2014-01-01T06:00:00.000Z","41.10","41.38","28.83","29.52","-28.61","-36.60","227,081,402"
"2015-01-01T06:00:00.000Z","29.67","36.44","28.61","31.93","8.16","0.1713","175,566,115"
"2016-01-01T06:00:00.000Z","30.86","31.18","24.03","29.19","-8.58","-16.57","191,676,387"
"2017-01-02T06:00:00.000Z","29.48","34.45","27.05","34.08","16.75","8.76","164,033,122"
"2018-01-01T06:00:00.000Z","34.31","37.29","25.30","26.45","-22.39","-30.38","174,870,079"
"2019-01-02T06:00:00.000Z","26.11","30.12","22.87","28.31","7.03","-0.9605","155,384,733"
"2020-01-02T06:00:00.000Z","28.60","30.21","19.38","28.25","-0.2119","-8.20","198,629,837"
"2021-01-04T06:00:00.000Z","28.00","33.42","26.33","28.45","0.7080","-7.28","209,845,017"
"2022-01-03T06:00:00.000Z","28.62","32.15","21.43","22.86","-19.65","-27.64","301,398,788"
"2023-01-03T06:00:00.000Z","23.09","32.62","22.96","32.33","41.43","33.43","176,246,391"
