"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"1985-09-02T05:00:00.000Z","10.14","11.45","10.00","11.13","","-10.47","162,958,912"
"1986-01-01T06:00:00.000Z","11.13","12.97","8.75","9.55","-14.17","-24.64","529,328,592"
"1987-01-01T06:00:00.000Z","9.55","11.72","6.19","6.72","-29.60","-40.07","580,387,110"
"1988-01-01T06:00:00.000Z","6.75","8.78","6.66","7.74","15.04","4.57","281,930,037"
"1989-01-02T06:00:00.000Z","7.74","9.61","7.56","8.30","7.31","-3.17","296,526,050"
"1990-01-01T06:00:00.000Z","8.30","9.01","5.92","6.43","-22.58","-33.05","268,772,655"
"1991-01-01T06:00:00.000Z","6.49","10.71","6.16","10.44","62.50","52.03","377,993,807"
"1992-01-01T06:00:00.000Z","10.23","14.76","9.73","14.40","37.89","27.42","399,503,139"
"1993-01-01T06:00:00.000Z","14.34","19.07","13.69","18.80","30.58","20.11","339,680,469"
"1994-01-03T06:00:00.000Z","18.68","19.37","14.46","16.18","-13.92","-24.40","288,377,405"
"1995-01-02T06:00:00.000Z","16.18","23.74","15.89","22.61","39.71","29.23","285,789,629"
"1996-01-01T06:00:00.000Z","22.49","35.40","22.43","31.89","41.05","30.58","342,424,959"
"1997-01-01T06:00:00.000Z","32.19","44.86","30.11","36.95","15.86","5.38","351,432,810"
"1998-01-01T06:00:00.000Z","37.01","45.28","31.06","42.19","14.17","3.70","386,650,077"
"1999-01-01T06:00:00.000Z","41.53","65.33","36.00","54.92","30.18","19.71","533,033,702"
"2000-01-03T06:00:00.000Z","54.92","57.60","30.58","45.04","-17.98","-28.46","1,195,992,722"
"2001-01-01T06:00:00.000Z","44.27","51.31","21.09","32.20","-28.52","-38.99","1,526,481,128"
"2002-01-01T06:00:00.000Z","32.32","38.98","17.87","22.85","-29.04","-39.51","1,055,678,951"
"2003-01-01T06:00:00.000Z","23.94","31.89","19.23","31.83","39.29","28.82","963,769,213"
"2004-01-01T06:00:00.000Z","31.46","36.61","29.73","33.71","5.92","-4.55","885,745,144"
"2005-01-03T06:00:00.000Z","33.88","37.60","31.11","35.46","5.20","-5.28","1,006,264,214"
"2006-01-02T06:00:00.000Z","35.43","43.57","33.55","43.07","21.45","10.98","968,931,733"
"2007-01-01T06:00:00.000Z","42.86","59.30","41.07","58.62","36.10","25.62","1,278,829,724"
"2008-01-01T06:00:00.000Z","58.57","59.97","22.12","31.25","-46.68","-57.15","1,618,409,464"
"2009-01-01T06:00:00.000Z","31.35","39.56","21.95","37.32","19.40","8.93","1,647,439,442"
"2010-01-01T06:00:00.000Z","37.71","51.16","34.92","50.61","35.61","25.14","1,404,326,365"
"2011-01-03T06:00:00.000Z","50.92","59.29","39.24","51.74","2.24","-8.24","1,283,435,375"
"2012-01-02T06:00:00.000Z","52.63","61.40","49.70","60.42","16.78","6.31","935,097,410"
"2013-01-01T06:00:00.000Z","61.57","87.17","61.08","86.99","43.96","33.48","787,751,087"
"2014-01-01T06:00:00.000Z","86.60","97.48","78.91","95.13","9.36","-1.12","748,100,748"
"2015-01-01T06:00:00.000Z","95.39","102.26","82.83","98.60","3.65","-6.82","815,771,051"
"2016-01-01T06:00:00.000Z","96.74","114.26","89.21","110.92","12.50","2.02","885,104,842"
"2017-01-02T06:00:00.000Z","111.67","150.03","110.64","146.84","32.38","21.90","715,497,187"
"2018-01-01T06:00:00.000Z","147.28","162.39","123.48","132.12","-10.02","-20.50","784,812,634"
"2019-01-02T06:00:00.000Z","130.19","183.12","129.07","177.00","33.97","23.50","680,693,657"
"2020-01-02T06:00:00.000Z","177.50","216.70","101.08","212.70","20.17","9.70","879,303,654"
"2021-01-04T06:00:00.000Z","212.84","236.86","194.55","208.51","-1.97","-12.44","682,017,816"
"2022-01-03T06:00:00.000Z","207.86","221.89","166.63","214.30","2.78","-7.70","788,057,615"
"2023-01-03T06:00:00.000Z","215.15","217.22","184.23","188.39","-12.09","-22.56","466,207,053"
