"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"1968-01-01T06:00:00.000Z","0.1929","0.2521","0.1635","0.2320","","-14.66","758,307,120"
"1969-01-01T06:00:00.000Z","0.2282","0.3153","0.2088","0.2849","22.80","8.14","804,942,110"
"1970-01-01T06:00:00.000Z","0.2832","0.3036","0.1072","0.1660","-41.73","-56.40","928,452,746"
"1971-01-01T06:00:00.000Z","0.1646","0.2745","0.1646","0.2649","59.58","44.92","799,284,424"
"1972-01-03T06:00:00.000Z","0.2607","0.4889","0.2545","0.4785","80.63","65.97","595,608,550"
"1973-01-01T06:00:00.000Z","0.4799","0.5567","0.3928","0.4474","-6.50","-21.16","887,728,382"
"1974-01-01T06:00:00.000Z","0.4474","0.5104","0.2877","0.3326","-25.66","-40.32","1,151,108,018"
"1975-01-01T06:00:00.000Z","0.3326","0.6666","0.3119","0.5228","57.19","42.52","1,230,965,982"
"1976-01-01T06:00:00.000Z","0.5228","0.6514","0.4426","0.4827","-7.67","-22.33","1,285,590,501"
"1977-01-03T06:00:00.000Z","0.4827","0.4841","0.3769","0.4052","-16.06","-30.72","1,179,052,863"
"1978-01-02T06:00:00.000Z","0.4039","0.5131","0.3416","0.4972","22.70","8.04","1,568,329,132"
"1979-01-01T06:00:00.000Z","0.4972","0.6957","0.4647","0.6542","31.58","16.92","1,724,113,717"
"1980-01-01T06:00:00.000Z","0.6528","1.07","0.5671","0.9903","51.38","36.71","1,914,287,168"
"1981-01-01T06:00:00.000Z","0.9903","1.19","0.8492","0.8769","-11.45","-26.11","1,639,330,082"
"1982-01-01T06:00:00.000Z","0.8769","1.83","0.7967","1.62","84.22","69.56","2,981,619,960"
"1983-01-03T06:00:00.000Z","1.62","2.14","1.52","1.88","16.10","1.44","3,081,790,411"
"1984-01-02T06:00:00.000Z","1.88","2.01","1.38","1.50","-20.06","-34.72","2,942,301,020"
"1985-01-01T06:00:00.000Z","1.50","1.72","1.27","1.63","8.48","-6.18","3,505,902,854"
"1986-01-01T06:00:00.000Z","1.63","2.20","1.58","1.85","13.94","-0.7175","3,539,480,582"
"1987-01-01T06:00:00.000Z","1.86","3.26","1.58","2.58","39.11","24.45","5,047,871,734"
"1988-01-01T06:00:00.000Z","2.61","2.90","1.94","2.36","-8.58","-23.25","3,517,679,108"
"1989-01-02T06:00:00.000Z","2.35","2.72","1.78","2.09","-11.27","-25.93","3,305,600,320"
"1990-01-01T06:00:00.000Z","2.09","2.23","1.10","1.41","-32.54","-47.20","3,326,732,933"
"1991-01-01T06:00:00.000Z","1.41","2.54","1.32","2.52","78.83","64.16","4,113,170,896"
"1992-01-01T06:00:00.000Z","2.48","3.76","2.22","3.09","22.59","7.93","4,864,695,834"
"1993-01-01T06:00:00.000Z","3.09","3.95","2.85","3.50","13.06","-1.60","4,337,809,947"
"1994-01-03T06:00:00.000Z","3.47","4.54","3.18","4.42","26.42","11.76","4,667,075,164"
"1995-01-02T06:00:00.000Z","4.42","8.55","4.34","7.41","67.71","53.05","5,091,527,695"
"1996-01-01T06:00:00.000Z","7.44","10.21","6.52","8.90","20.00","5.34","5,724,230,901"
"1997-01-01T06:00:00.000Z","9.12","12.91","8.52","11.04","24.13","9.47","4,459,828,783"
"1998-01-01T06:00:00.000Z","11.08","14.58","8.33","12.09","9.52","-5.14","5,039,350,091"
"1999-01-01T06:00:00.000Z","12.10","20.97","11.22","20.14","66.51","51.85","5,461,796,830"
"2000-01-03T06:00:00.000Z","20.17","31.33","13.22","14.33","-28.84","-43.50","5,091,824,577"
"2001-01-01T06:00:00.000Z","14.41","17.23","5.68","9.33","-34.92","-49.58","4,528,131,127"
"2002-01-01T06:00:00.000Z","9.35","10.95","4.88","7.88","-15.48","-30.14","6,353,369,125"
"2003-01-01T06:00:00.000Z","8.00","10.85","6.44","10.43","32.32","17.65","6,819,411,596"
"2004-01-01T06:00:00.000Z","10.44","11.93","7.30","9.52","-8.71","-23.37","6,125,549,105"
"2005-01-03T06:00:00.000Z","9.59","13.73","8.58","13.00","36.53","21.87","6,977,941,894"
"2006-01-02T06:00:00.000Z","13.29","18.93","12.88","18.70","43.87","29.21","7,461,167,195"
"2007-01-01T06:00:00.000Z","18.64","24.28","17.32","22.92","22.55","7.89","7,834,641,119"
"2008-01-01T06:00:00.000Z","22.92","23.15","12.82","16.48","-28.11","-42.77","11,168,699,772"
"2009-01-01T06:00:00.000Z","16.46","24.04","11.53","23.39","41.94","27.28","9,735,358,893"
"2010-01-01T06:00:00.000Z","23.40","24.86","16.94","19.11","-18.27","-32.93","10,730,012,626"
"2011-01-03T06:00:00.000Z","19.17","22.42","9.76","11.70","-38.81","-53.47","12,203,876,663"
"2012-01-02T06:00:00.000Z","11.95","13.62","5.15","6.47","-44.68","-59.34","12,558,650,481"
"2013-01-01T06:00:00.000Z","6.73","13.03","6.69","12.70","96.35","81.69","10,800,329,374"
"2014-01-01T06:00:00.000Z","12.66","18.59","12.38","18.22","43.42","28.76","6,432,968,498"
"2015-01-01T06:00:00.000Z","18.19","18.66","11.03","11.84","-35.01","-49.68","7,008,479,331"
"2016-01-01T06:00:00.000Z","11.58","16.25","8.91","14.84","25.34","10.68","3,403,341,445"
"2017-01-02T06:00:00.000Z","14.95","22.68","14.40","21.01","41.58","26.92","2,717,664,427"
"2018-01-01T06:00:00.000Z","21.18","27.08","19.21","20.46","-2.62","-17.28","2,378,750,025"
"2019-01-02T06:00:00.000Z","20.03","24.09","15.93","20.55","0.4399","-14.22","2,895,553,214"
"2020-01-02T06:00:00.000Z","20.68","24.69","12.54","24.59","19.66","5.00","3,095,918,920"
"2021-01-04T06:00:00.000Z","24.70","38.49","23.85","37.67","53.19","38.53","2,476,837,219"
"2022-01-03T06:00:00.000Z","37.71","41.47","24.07","26.87","-28.67","-43.33","2,713,077,226"
"2023-01-03T06:00:00.000Z","27.00","33.90","26.57","30.37","13.03","-1.64","1,110,294,745"
