"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"1968-01-01T06:00:00.000Z","1.04","1.40","1.04","1.29","","-12.07","17,690,412"
"1969-01-01T06:00:00.000Z","1.28","1.29","0.8750","1.03","-20.17","-32.24","14,800,804"
"1970-01-01T06:00:00.000Z","1.05","1.17","0.9167","1.08","5.05","-7.02","12,991,212"
"1971-01-01T06:00:00.000Z","1.12","1.30","1.08","1.17","7.70","-4.37","16,490,412"
"1972-01-03T06:00:00.000Z","1.15","1.20","0.8802","0.9948","-14.73","-26.80","13,144,800"
"1973-01-01T06:00:00.000Z","1.00","1.03","0.5156","0.5260","-47.13","-59.19","17,330,404"
"1974-01-01T06:00:00.000Z","0.5365","0.6250","0.3542","0.4062","-22.78","-34.84","10,346,400"
"1975-01-01T06:00:00.000Z","0.4219","0.8698","0.4219","0.7760","91.04","78.97","26,378,412"
"1976-01-01T06:00:00.000Z","0.7760","1.15","0.7708","0.9323","20.14","8.07","34,022,432"
"1977-01-03T06:00:00.000Z","0.9323","0.9323","0.6927","0.8281","-11.18","-23.25","30,511,212"
"1978-01-02T06:00:00.000Z","0.8281","0.9792","0.7708","0.8594","3.78","-8.29","33,369,640"
"1979-01-01T06:00:00.000Z","0.8594","1.10","0.7240","1.03","19.39","7.32","40,029,680"
"1980-01-01T06:00:00.000Z","1.03","1.08","0.8333","0.9792","-4.56","-16.63","41,438,564"
"1981-01-01T06:00:00.000Z","0.9896","1.71","0.9635","1.50","53.19","41.12","74,025,936"
"1982-01-01T06:00:00.000Z","1.50","2.48","1.35","2.35","56.59","44.52","86,645,200"
"1983-01-03T06:00:00.000Z","2.34","2.92","2.03","2.64","12.20","0.1288","102,829,768"
"1984-01-02T06:00:00.000Z","2.64","3.44","2.35","3.22","22.13","10.06","93,365,276"
"1985-01-01T06:00:00.000Z","3.22","4.58","2.92","4.29","33.33","21.26","102,794,920"
"1986-01-01T06:00:00.000Z","4.29","7.48","3.88","6.16","43.45","31.38","146,991,304"
"1987-01-01T06:00:00.000Z","6.16","9.44","5.19","6.13","-0.5068","-12.58","192,582,800"
"1988-01-01T06:00:00.000Z","6.13","7.16","5.47","6.50","6.12","-5.95","186,775,600"
"1989-01-02T06:00:00.000Z","6.50","9.22","6.19","8.97","37.98","25.91","167,501,600"
"1990-01-01T06:00:00.000Z","8.97","9.91","7.06","9.38","4.53","-7.54","124,112,400"
"1991-01-01T06:00:00.000Z","9.38","11.13","8.78","11.09","18.33","6.27","109,092,400"
"1992-01-01T06:00:00.000Z","10.94","12.09","9.56","11.75","5.92","-6.15","97,536,800"
"1993-01-01T06:00:00.000Z","11.75","13.97","10.88","12.25","4.26","-7.81","117,362,800"
"1994-01-03T06:00:00.000Z","12.22","13.38","10.28","12.09","-1.28","-13.34","126,084,000"
"1995-01-02T06:00:00.000Z","12.09","16.97","12.00","16.25","34.37","22.30","122,428,800"
"1996-01-01T06:00:00.000Z","16.19","25.88","15.97","21.88","34.62","22.55","149,521,200"
"1997-01-01T06:00:00.000Z","21.75","31.94","21.06","30.97","41.57","29.50","149,562,000"
"1998-01-01T06:00:00.000Z","30.84","38.19","29.84","31.09","0.4036","-11.66","157,909,600"
"1999-01-01T06:00:00.000Z","31.00","32.44","22.88","23.72","-23.72","-35.79","257,114,200"
"2000-01-03T06:00:00.000Z","23.50","33.22","18.88","32.19","35.70","23.64","276,914,600"
"2001-01-01T06:00:00.000Z","32.09","35.08","27.56","33.85","5.17","-6.90","253,548,000"
"2002-01-01T06:00:00.000Z","33.73","39.74","28.23","33.72","-0.3840","-12.45","422,587,804"
"2003-01-01T06:00:00.000Z","33.80","39.33","30.34","38.49","14.16","2.09","212,221,176"
"2004-01-01T06:00:00.000Z","38.49","56.75","37.28","55.54","44.28","32.21","192,728,800"
"2005-01-03T06:00:00.000Z","55.29","67.37","52.49","55.25","-0.5221","-12.59","218,928,300"
"2006-01-02T06:00:00.000Z","55.27","57.65","48.20","49.80","-9.86","-21.93","292,013,902"
"2007-01-01T06:00:00.000Z","49.80","56.75","38.21","39.40","-20.88","-32.95","372,016,733"
"2008-01-01T06:00:00.000Z","39.45","44.32","32.10","34.74","-11.83","-23.90","458,689,955"
"2009-01-01T06:00:00.000Z","35.11","42.25","30.27","35.79","3.02","-9.05","380,306,054"
"2010-01-01T06:00:00.000Z","36.01","52.10","35.76","47.15","31.74","19.67","426,549,956"
"2011-01-03T06:00:00.000Z","47.32","62.26","46.24","61.78","31.03","18.96","333,619,142"
"2012-01-02T06:00:00.000Z","62.10","74.71","59.32","72.22","16.90","4.83","268,848,360"
"2013-01-01T06:00:00.000Z","72.86","101.37","72.54","97.23","34.63","22.56","230,920,428"
"2014-01-01T06:00:00.000Z","97.18","108.69","87.88","103.93","6.89","-5.18","275,858,675"
"2015-01-01T06:00:00.000Z","104.33","111.35","82.41","89.27","-14.11","-26.17","307,500,026"
"2016-01-01T06:00:00.000Z","88.16","117.79","82.42","103.43","15.86","3.79","359,431,311"
"2017-01-02T06:00:00.000Z","103.84","116.49","101.61","113.51","9.75","-2.32","254,344,915"
"2018-01-01T06:00:00.000Z","113.48","114.63","89.10","107.18","-5.58","-17.64","308,801,607"
"2019-01-02T06:00:00.000Z","106.18","162.20","100.80","146.98","37.13","25.07","289,335,477"
"2020-01-02T06:00:00.000Z","147.23","161.83","109.88","152.33","3.64","-8.43","271,771,002"
"2021-01-04T06:00:00.000Z","153.01","194.01","143.58","193.47","27.01","14.94","220,869,040"
"2022-01-03T06:00:00.000Z","192.88","242.63","190.93","231.57","19.69","7.62","250,537,325"
"2023-01-03T06:00:00.000Z","230.44","276.88","213.04","213.85","-7.65","-19.72","188,011,600"
