"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"1968-01-01T06:00:00.000Z","31.00","44.25","30.25","42.25","","-6.92","179,200"
"1969-01-01T06:00:00.000Z","42.25","44.50","27.25","29.25","-30.77","-37.69","173,900"
"1970-01-01T06:00:00.000Z","29.25","30.50","22.25","28.50","-2.56","-9.48","133,900"
"1971-01-01T06:00:00.000Z","28.25","40.38","28.25","40.38","41.67","34.75","390,800"
"1972-01-03T06:00:00.000Z","40.88","54.75","40.75","52.13","29.10","22.19","350,100"
"1973-01-01T06:00:00.000Z","52.25","53.50","29.25","33.75","-35.25","-42.17","277,000"
"1974-01-01T06:00:00.000Z","34.25","38.00","16.75","18.50","-45.19","-52.10","191,400"
"1975-01-01T06:00:00.000Z","18.38","34.00","18.38","28.63","54.73","47.81","215,300"
"1976-01-01T06:00:00.000Z","28.50","37.00","28.38","34.50","20.52","13.61","374,000"
"1977-01-03T06:00:00.000Z","34.50","39.38","23.75","25.75","-25.36","-32.28","480,700"
"1978-01-02T06:00:00.000Z","25.50","31.88","22.88","24.00","-6.80","-13.71","481,400"
"1979-01-01T06:00:00.000Z","24.25","34.00","24.25","32.50","35.42","28.50","537,800"
"1980-01-01T06:00:00.000Z","32.25","42.75","24.25","40.00","23.08","16.16","748,300"
"1981-01-01T06:00:00.000Z","39.75","40.00","16.88","21.88","-45.31","-52.23","1,324,800"
"1982-01-01T06:00:00.000Z","22.13","32.50","17.00","28.50","30.29","23.37","1,476,500"
"1983-01-03T06:00:00.000Z","28.50","37.25","28.00","31.63","10.96","4.05","1,408,900"
"1984-01-02T06:00:00.000Z","31.63","36.50","28.75","36.25","14.62","7.71","1,492,900"
"1985-01-01T06:00:00.000Z","36.25","46.75","20.75","24.88","-31.38","-38.30","2,402,700"
"1986-01-01T06:00:00.000Z","24.88","36.25","24.13","30.25","21.61","14.69","4,750,400"
"1987-01-01T06:00:00.000Z","30.25","41.88","25.50","32.13","6.20","-0.7180","5,148,700"
"1988-01-01T06:00:00.000Z","32.13","37.63","30.50","35.75","11.28","4.37","4,039,800"
"1989-01-02T06:00:00.000Z","35.75","48.38","33.25","45.75","27.97","21.06","4,038,500"
"1990-01-01T06:00:00.000Z","45.38","49.75","35.13","44.38","-3.01","-9.92","5,125,700"
"1991-01-01T06:00:00.000Z","44.38","56.63","42.13","56.50","27.32","20.41","4,459,700"
"1992-01-01T06:00:00.000Z","56.38","60.00","44.88","55.63","-1.55","-8.47","5,990,800"
"1993-01-01T06:00:00.000Z","55.63","58.88","50.75","54.13","-2.70","-9.61","7,628,800"
"1994-01-03T06:00:00.000Z","54.13","62.88","52.50","53.25","-1.62","-8.53","7,026,600"
"1995-01-02T06:00:00.000Z","52.75","66.13","50.13","65.75","23.47","16.56","7,486,900"
"1996-01-01T06:00:00.000Z","65.63","72.00","35.00","43.25","-34.22","-41.14","9,949,300"
"1997-01-01T06:00:00.000Z","43.00","51.13","40.75","49.31","14.02","7.10","18,835,300"
"1998-01-01T06:00:00.000Z","49.06","52.75","33.88","38.00","-22.94","-29.86","27,124,100"
"1999-01-01T06:00:00.000Z","37.38","49.19","26.25","27.25","-28.29","-35.21","34,136,200"
"2000-01-03T06:00:00.000Z","27.63","28.81","21.63","26.50","-2.75","-9.67","44,942,600"
"2001-01-01T06:00:00.000Z","26.75","30.98","23.30","29.38","10.87","3.95","27,426,700"
"2002-01-01T06:00:00.000Z","29.38","37.30","25.73","35.14","19.61","12.69","32,433,800"
"2003-01-01T06:00:00.000Z","35.34","45.42","28.30","44.10","25.50","18.58","28,742,597"
"2004-01-01T06:00:00.000Z","43.90","52.90","38.12","52.30","18.59","11.68","33,233,500"
"2005-01-03T06:00:00.000Z","51.80","54.20","42.56","45.12","-13.73","-20.64","40,692,100"
"2006-01-02T06:00:00.000Z","45.02","53.65","43.23","45.21","0.1995","-6.72","58,669,000"
"2007-01-01T06:00:00.000Z","45.60","59.08","43.34","51.60","14.13","7.22","71,713,181"
"2008-01-01T06:00:00.000Z","51.30","51.79","24.71","32.68","-36.67","-43.58","90,541,598"
"2009-01-01T06:00:00.000Z","32.83","48.31","22.05","47.30","44.74","37.82","64,368,386"
"2010-01-01T06:00:00.000Z","47.52","61.63","37.98","60.13","27.12","20.21","58,789,168"
"2011-01-03T06:00:00.000Z","60.56","73.05","46.81","66.86","11.19","4.28","66,369,551"
"2012-01-02T06:00:00.000Z","68.41","87.37","66.49","84.63","26.58","19.66","57,792,933"
"2013-01-01T06:00:00.000Z","86.00","113.09","83.43","108.90","28.68","21.76","51,766,083"
"2014-01-01T06:00:00.000Z","108.84","127.29","95.95","106.83","-1.90","-8.82","68,028,496"
"2015-01-01T06:00:00.000Z","108.19","117.03","80.33","101.04","-5.42","-12.34","79,571,825"
"2016-01-01T06:00:00.000Z","100.08","119.05","83.16","116.70","15.50","8.58","66,311,473"
"2017-01-02T06:00:00.000Z","116.96","138.96","109.31","135.34","15.97","9.06","72,814,827"
"2018-01-01T06:00:00.000Z","135.53","149.03","91.88","99.34","-26.60","-33.52","121,976,451"
"2019-01-02T06:00:00.000Z","97.59","149.31","96.08","147.82","48.80","41.89","74,971,876"
"2020-01-02T06:00:00.000Z","149.12","166.37","85.62","156.79","6.07","-0.8482","80,396,221"
"2021-01-04T06:00:00.000Z","157.23","212.54","149.07","208.27","32.83","25.92","62,452,691"
"2022-01-03T06:00:00.000Z","209.52","263.30","170.21","234.68","12.68","5.76","99,573,932"
"2023-01-03T06:00:00.000Z","237.53","340.06","219.77","328.53","39.99","33.07","71,535,254"
