"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"1969-07-01T05:00:00.000Z","1.19","1.77","0.8507","1.45","","-20.80","19,300,565"
"1970-01-01T06:00:00.000Z","1.53","1.57","0.6597","0.8623","-40.40","-61.20","36,266,136"
"1971-01-01T06:00:00.000Z","0.8565","1.55","0.8565","1.17","35.57","14.77","46,273,444"
"1972-01-03T06:00:00.000Z","1.12","1.31","0.7060","0.7465","-36.14","-56.94","44,506,540"
"1973-01-01T06:00:00.000Z","0.7639","0.7870","0.2604","0.3472","-53.49","-74.29","43,195,459"
"1974-01-01T06:00:00.000Z","0.3472","0.3704","0.1736","0.1852","-46.66","-67.46","25,898,187"
"1975-01-01T06:00:00.000Z","0.1910","0.6597","0.1910","0.5614","203.13","182.33","37,458,499"
"1976-01-01T06:00:00.000Z","0.5614","0.8044","0.5266","0.7928","41.22","20.42","30,252,763"
"1977-01-03T06:00:00.000Z","0.7928","1.12","0.6655","1.06","33.58","12.78","33,271,401"
"1978-01-02T06:00:00.000Z","1.05","2.84","0.9201","2.62","147.14","126.34","72,875,320"
"1979-01-01T06:00:00.000Z","2.60","4.41","2.53","4.36","66.67","45.87","58,950,684"
"1980-01-01T06:00:00.000Z","4.36","10.14","3.89","9.91","127.27","106.47","68,661,171"
"1981-01-01T06:00:00.000Z","9.91","12.88","8.06","9.72","-1.93","-22.72","55,449,826"
"1982-01-01T06:00:00.000Z","9.79","19.17","8.39","18.75","92.86","72.06","77,302,666"
"1983-01-03T06:00:00.000Z","18.75","22.22","13.06","14.58","-22.22","-43.02","101,802,222"
"1984-01-02T06:00:00.000Z","14.72","22.00","14.33","15.67","7.43","-13.37","104,159,014"
"1985-01-01T06:00:00.000Z","15.67","24.50","14.58","20.83","32.98","12.18","119,010,175"
"1986-01-01T06:00:00.000Z","20.83","22.58","12.75","12.75","-38.80","-59.60","137,577,386"
"1987-01-01T06:00:00.000Z","12.83","19.67","10.75","12.83","0.6533","-20.14","120,759,616"
"1988-01-01T06:00:00.000Z","13.00","19.08","12.67","16.92","31.82","11.02","87,899,580"
"1989-01-02T06:00:00.000Z","16.92","29.33","16.25","29.33","73.40","52.60","84,488,893"
"1990-01-01T06:00:00.000Z","29.33","33.92","23.50","28.08","-4.26","-25.06","98,053,320"
"1991-01-01T06:00:00.000Z","28.08","35.08","22.75","26.88","-4.30","-25.10","134,440,022"
"1992-01-01T06:00:00.000Z","26.88","29.50","17.00","20.50","-23.72","-44.52","133,601,102"
"1993-01-01T06:00:00.000Z","20.63","21.38","6.13","17.75","-13.41","-34.21","308,668,407"
"1994-01-03T06:00:00.000Z","17.63","25.38","15.88","22.63","27.46","6.67","190,801,100"
"1995-01-02T06:00:00.000Z","22.63","28.00","17.00","27.38","20.99","0.1973","311,808,703"
"1996-01-01T06:00:00.000Z","27.25","28.88","15.00","19.00","-30.59","-51.39","193,818,401"
