"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"1972-12-01T06:00:00.000Z","53.00","53.50","52.00","52.75","","-0.9999","3,900"
"1973-01-01T06:00:00.000Z","52.75","54.75","47.75","49.50","-6.16","-7.16","41,200"
"1974-01-01T06:00:00.000Z","49.00","51.00","40.00","42.50","-14.14","-15.14","26,200"
"1975-01-01T06:00:00.000Z","43.63","51.00","41.50","44.00","3.53","2.53","33,000"
"1976-01-01T06:00:00.000Z","46.00","49.00","43.50","47.25","7.39","6.39","129,600"
"1977-01-03T06:00:00.000Z","47.63","51.00","47.50","49.75","5.29","4.29","189,100"
"1978-01-02T06:00:00.000Z","49.75","49.75","43.25","43.25","-13.07","-14.07","79,700"
"1979-01-01T06:00:00.000Z","43.75","45.00","36.00","37.75","-12.72","-13.72","92,450"
"1980-01-01T06:00:00.000Z","37.25","39.00","29.00","29.75","-21.19","-22.19","70,150"
"1981-01-01T06:00:00.000Z","29.75","32.50","25.00","26.00","-12.61","-13.60","111,450"
"1982-01-01T06:00:00.000Z","27.00","33.00","25.00","30.50","17.31","16.31","94,200"
"1983-01-03T06:00:00.000Z","31.50","37.00","29.75","32.00","4.92","3.92","121,300"
"1984-01-02T06:00:00.000Z","32.00","34.75","28.63","31.00","-3.13","-4.12","196,850"
"1985-01-01T06:00:00.000Z","31.00","36.00","31.00","35.00","12.90","11.90","422,500"
"1986-01-01T06:00:00.000Z","35.00","49.50","34.25","45.50","30.00","29.00","424,700"
"1987-01-01T06:00:00.000Z","45.88","51.25","36.50","40.00","-12.09","-13.09","217,700"
"1988-01-01T06:00:00.000Z","40.00","43.50","39.50","40.25","0.6250","-0.3749","168,800"
"1989-01-02T06:00:00.000Z","40.25","45.00","38.25","44.50","10.56","9.56","271,950"
"1990-01-01T06:00:00.000Z","44.00","45.00","40.63","43.00","-3.37","-4.37","167,300"
"1991-01-01T06:00:00.000Z","43.00","51.00","42.00","46.00","6.98","5.98","67,250"
"1992-01-01T06:00:00.000Z","46.50","54.00","45.00","53.50","16.30","15.30","66,400"
"1993-01-01T06:00:00.000Z","53.50","64.00","49.50","60.50","13.08","12.08","161,800"
"1994-01-03T06:00:00.000Z","60.75","64.00","48.50","48.75","-19.42","-20.42","127,150"
"1995-01-02T06:00:00.000Z","49.00","82.00","48.63","72.50","48.72","47.72","74,100"
"1996-01-01T06:00:00.000Z","72.50","73.00","58.00","62.00","-14.48","-15.48","74,450"
"1997-01-01T06:00:00.000Z","61.50","73.75","59.50","71.63","15.52","14.52","152,900"
"1998-01-01T06:00:00.000Z","71.13","78.00","69.75","73.25","2.27","1.27","175,750"
"1999-01-01T06:00:00.000Z","71.50","78.00","56.00","56.00","-23.55","-24.55","350,350"
"2000-01-03T06:00:00.000Z","56.00","59.50","50.63","53.00","-5.36","-6.36","67,400"
"2001-01-01T06:00:00.000Z","53.75","73.75","53.50","69.75","31.60","30.60","140,950"
"2002-01-01T06:00:00.000Z","68.75","73.00","65.00","72.25","3.58","2.58","105,650"
"2003-01-01T06:00:00.000Z","70.00","88.00","68.40","83.70","15.85","14.85","448,050"
"2004-01-01T06:00:00.000Z","83.70","86.00","71.50","78.75","-5.91","-6.91","402,600"
"2005-01-03T06:00:00.000Z","77.75","84.00","71.50","72.10","-8.44","-9.44","188,350"
"2006-01-02T06:00:00.000Z","73.00","78.00","69.00","76.00","5.41","4.41","111,550"
"2007-01-01T06:00:00.000Z","76.00","81.00","64.50","67.00","-11.84","-12.84","213,402"
"2008-01-01T06:00:00.000Z","68.00","71.50","57.00","60.00","-10.45","-11.45","92,866"
"2009-01-01T06:00:00.000Z","60.50","64.49","49.57","63.00","5.00","4.00","147,627"
"2010-01-01T06:00:00.000Z","63.00","75.90","61.31","73.00","15.87","14.87","112,706"
"2011-01-03T06:00:00.000Z","75.75","83.70","71.08","81.50","11.64","10.64","126,056"
"2012-01-02T06:00:00.000Z","81.51","91.30","81.06","83.56","2.53","1.53","232,142"
"2013-01-01T06:00:00.000Z","84.79","99.44","70.03","76.00","-9.05","-10.05","313,882"
"2014-01-01T06:00:00.000Z","78.43","95.35","75.51","85.75","12.83","11.83","240,583"
"2015-01-01T06:00:00.000Z","85.25","89.92","78.01","85.00","-0.8746","-1.87","115,299"
"2016-01-01T06:00:00.000Z","83.50","94.00","79.14","86.00","1.18","0.1766","168,968"
"2017-01-02T06:00:00.000Z","85.00","92.50","84.03","90.25","4.94","3.94","156,989"
"2018-01-01T06:00:00.000Z","89.32","92.50","80.51","88.00","-2.49","-3.49","159,302"
"2019-01-02T06:00:00.000Z","86.09","91.99","81.10","89.70","1.93","0.9319","88,863"
"2020-01-02T06:00:00.000Z","88.73","92.00","51.00","82.00","-8.58","-9.58","84,685"
"2021-01-04T06:00:00.000Z","82.00","82.00","72.20","74.81","-8.77","-9.77","62,962"
"2022-01-03T06:00:00.000Z","75.00","77.10","58.20","59.15","-20.93","-21.93","89,159"
"2023-01-03T06:00:00.000Z","60.78","64.78","54.06","54.92","-7.14","-8.14","59,355"
