"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"1989-06-01T05:00:00.000Z","2.89","3.33","2.74","3.33","","-15.51","17,694,360"
"1990-01-01T06:00:00.000Z","3.33","3.46","2.02","2.10","-37.04","-52.54","12,122,551"
"1991-01-01T06:00:00.000Z","2.10","3.98","1.90","3.31","57.65","42.14","15,195,942"
"1992-01-01T06:00:00.000Z","3.31","4.69","3.28","4.69","41.79","26.29","12,590,811"
"1993-01-01T06:00:00.000Z","4.64","7.11","4.30","7.06","50.53","35.02","16,278,799"
"1994-01-03T06:00:00.000Z","7.04","8.67","6.69","8.35","18.18","2.68","17,413,793"
"1995-01-02T06:00:00.000Z","8.35","13.11","8.20","12.07","44.68","29.17","15,185,252"
"1996-01-01T06:00:00.000Z","12.00","12.30","8.81","11.81","-2.15","-17.65","22,501,738"
"1997-01-01T06:00:00.000Z","11.74","16.31","10.33","15.50","31.19","15.69","17,711,277"
"1998-01-01T06:00:00.000Z","15.47","17.22","8.67","10.89","-29.75","-45.25","22,736,553"
"1999-01-01T06:00:00.000Z","10.86","15.17","9.61","13.50","23.98","8.47","28,797,102"
"2000-01-03T06:00:00.000Z","13.56","16.00","10.11","14.72","9.05","-6.45","22,024,434"
"2001-01-01T06:00:00.000Z","14.72","16.53","11.07","15.33","4.15","-11.35","26,345,753"
"2002-01-01T06:00:00.000Z","15.38","17.63","11.42","14.53","-5.22","-20.72","75,057,596"
"2003-01-01T06:00:00.000Z","14.53","18.83","11.56","18.48","27.19","11.68","94,216,270"
"2004-01-01T06:00:00.000Z","18.48","27.31","17.68","27.00","46.07","30.56","78,634,807"
"2005-01-03T06:00:00.000Z","26.95","30.24","24.33","27.41","1.51","-14.00","83,582,607"
"2006-01-02T06:00:00.000Z","27.57","35.65","26.00","31.61","15.32","-0.1803","85,398,490"
"2007-01-01T06:00:00.000Z","31.73","44.99","30.41","36.13","14.31","-1.19","117,192,443"
"2008-01-01T06:00:00.000Z","36.05","40.75","17.70","24.15","-33.16","-48.66","157,689,654"
"2009-01-01T06:00:00.000Z","24.25","32.85","16.67","31.15","28.99","13.48","137,105,213"
"2010-01-01T06:00:00.000Z","31.33","40.29","27.54","39.12","25.59","10.08","97,902,718"
"2011-01-03T06:00:00.000Z","39.56","47.50","29.29","37.11","-5.14","-20.64","105,248,023"
"2012-01-02T06:00:00.000Z","38.03","46.69","34.06","46.53","25.38","9.88","99,405,308"
"2013-01-01T06:00:00.000Z","47.51","74.08","47.43","73.85","58.71","43.21","88,126,942"
"2014-01-01T06:00:00.000Z","73.58","81.82","65.91","77.84","5.40","-10.10","98,932,529"
"2015-01-01T06:00:00.000Z","78.12","80.31","65.45","76.61","-1.58","-17.09","96,878,933"
"2016-01-01T06:00:00.000Z","75.74","95.76","67.20","90.06","17.56","2.05","89,796,775"
"2017-01-02T06:00:00.000Z","90.84","135.70","88.29","131.97","46.54","31.03","75,174,119"
"2018-01-01T06:00:00.000Z","132.69","157.84","117.72","126.26","-4.33","-19.83","84,409,404"
"2019-01-02T06:00:00.000Z","124.56","173.95","120.86","172.00","36.23","20.72","115,639,389"
"2020-01-02T06:00:00.000Z","172.83","199.50","104.56","199.20","15.81","0.3089","122,053,476"
"2021-01-04T06:00:00.000Z","198.84","240.33","185.23","236.32","18.63","3.13","92,519,310"
"2022-01-03T06:00:00.000Z","236.32","246.23","172.19","228.33","-3.38","-18.89","107,222,231"
"2023-01-03T06:00:00.000Z","229.52","240.15","196.85","228.28","-0.0219","-15.53","78,080,653"
