"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"1968-01-01T06:00:00.000Z","7.15","8.87","6.00","8.61","","-8.52","5,749,223"
"1969-01-01T06:00:00.000Z","8.64","9.11","1.63","1.76","-79.52","-88.04","30,167,382"
"1970-01-01T06:00:00.000Z","1.82","2.32","1.57","2.19","24.41","15.88","21,401,281"
"1971-01-01T06:00:00.000Z","2.19","3.61","2.08","3.47","58.23","49.71","53,024,143"
"1972-01-03T06:00:00.000Z","3.47","5.72","3.40","5.47","57.60","49.07","54,766,524"
"1973-01-01T06:00:00.000Z","5.47","5.51","3.92","4.47","-18.27","-26.80","61,883,888"
"1974-01-01T06:00:00.000Z","4.47","4.87","2.17","2.42","-45.96","-54.49","46,664,621"
"1975-01-01T06:00:00.000Z","2.44","3.31","2.38","2.47","2.30","-6.22","30,431,979"
"1976-01-01T06:00:00.000Z","2.49","2.96","2.01","2.44","-1.12","-9.65","46,138,996"
"1977-01-03T06:00:00.000Z","2.44","2.58","1.72","2.19","-10.23","-18.75","29,737,160"
"1978-01-02T06:00:00.000Z","2.19","2.38","1.82","2.36","7.60","-0.9270","29,591,361"
"1979-01-01T06:00:00.000Z","2.36","4.39","2.32","4.19","77.65","69.12","77,402,897"
"1980-01-01T06:00:00.000Z","4.19","5.61","2.79","3.06","-27.15","-35.68","191,493,626"
"1981-01-01T06:00:00.000Z","3.08","3.53","2.25","2.38","-22.27","-30.79","68,152,480"
"1982-01-01T06:00:00.000Z","2.38","3.00","1.79","2.58","8.77","0.2469","49,633,791"
"1983-01-03T06:00:00.000Z","2.58","3.71","2.39","3.31","27.96","19.43","38,185,580"
"1984-01-02T06:00:00.000Z","3.31","3.82","2.82","3.56","7.56","-0.9605","38,119,016"
"1985-01-01T06:00:00.000Z","3.56","4.47","3.36","4.06","14.06","5.54","69,063,352"
"1986-01-01T06:00:00.000Z","4.06","4.15","2.79","4.12","1.71","-6.81","137,819,275"
"1987-01-01T06:00:00.000Z","4.12","6.85","4.06","4.83","17.17","8.65","177,582,052"
"1988-01-01T06:00:00.000Z","4.83","5.69","4.07","4.65","-3.73","-12.26","130,048,489"
"1989-01-02T06:00:00.000Z","4.65","6.15","4.51","6.12","31.64","23.12","148,528,553"
"1990-01-01T06:00:00.000Z","6.12","6.62","5.10","5.62","-8.16","-16.69","204,476,393"
"1991-01-01T06:00:00.000Z","5.62","5.86","3.74","3.86","-31.36","-39.88","146,050,863"
"1992-01-01T06:00:00.000Z","3.85","4.43","3.44","3.53","-8.63","-17.16","63,867,585"
"1993-01-01T06:00:00.000Z","3.54","4.33","3.47","3.76","6.69","-1.83","104,101,019"
"1994-01-03T06:00:00.000Z","3.78","4.00","3.22","3.67","-2.58","-11.11","151,727,244"
"1995-01-02T06:00:00.000Z","3.67","4.33","3.56","4.01","9.47","0.9456","213,580,044"
"1996-01-01T06:00:00.000Z","4.03","5.26","3.87","5.22","30.10","21.58","198,760,354"
"1997-01-01T06:00:00.000Z","5.21","7.25","4.83","7.10","36.04","27.51","144,373,171"
"1998-01-01T06:00:00.000Z","7.10","7.12","4.46","5.35","-24.63","-33.16","104,845,983"
"1999-01-01T06:00:00.000Z","5.33","8.15","4.83","7.21","34.63","26.11","48,924,672"
"2000-01-03T06:00:00.000Z","7.04","9.27","5.98","8.77","21.62","13.09","53,164,596"
"2001-01-01T06:00:00.000Z","8.80","9.82","7.53","9.29","6.01","-2.52","58,161,457"
"2002-01-01T06:00:00.000Z","9.33","10.62","8.00","9.57","2.94","-5.58","38,499,254"
"2003-01-01T06:00:00.000Z","9.53","14.92","9.42","14.81","54.77","46.25","47,057,839"
"2004-01-01T06:00:00.000Z","14.89","20.82","14.11","19.79","33.68","25.15","47,352,352"
"2005-01-03T06:00:00.000Z","19.33","39.14","18.27","33.20","67.73","59.21","62,302,703"
"2006-01-02T06:00:00.000Z","32.83","40.38","30.47","36.83","10.93","2.41","59,206,348"
"2007-01-01T06:00:00.000Z","36.79","61.48","31.87","54.78","48.74","40.21","52,341,223"
"2008-01-01T06:00:00.000Z","55.49","63.08","23.84","33.72","-38.44","-46.97","159,689,423"
"2009-01-01T06:00:00.000Z","33.85","43.13","28.44","38.66","14.65","6.13","104,305,687"
"2010-01-01T06:00:00.000Z","38.86","43.54","35.18","40.52","4.81","-3.71","47,717,386"
"2011-01-03T06:00:00.000Z","41.02","55.63","32.18","44.48","9.77","1.25","106,719,506"
"2012-01-02T06:00:00.000Z","45.50","50.00","38.16","43.00","-3.33","-11.85","65,903,464"
"2013-01-01T06:00:00.000Z","43.81","45.67","37.09","44.23","2.86","-5.66","55,159,675"
"2014-01-01T06:00:00.000Z","44.35","54.09","39.14","43.03","-2.71","-11.24","58,060,208"
"2015-01-01T06:00:00.000Z","42.79","45.60","28.66","32.52","-24.42","-32.95","87,356,753"
"2016-01-01T06:00:00.000Z","32.31","36.85","25.55","34.76","6.89","-1.64","62,144,251"
"2017-01-02T06:00:00.000Z","35.15","35.42","27.59","31.19","-10.27","-18.79","60,334,106"
"2018-01-01T06:00:00.000Z","31.25","34.56","24.29","25.32","-18.82","-27.34","87,349,303"
"2019-01-02T06:00:00.000Z","24.91","30.38","23.66","26.47","4.54","-3.98","72,707,900"
"2020-01-02T06:00:00.000Z","26.50","27.43","7.04","19.03","-28.11","-36.63","176,092,328"
"2021-01-04T06:00:00.000Z","19.09","36.80","18.73","36.10","89.70","81.18","135,724,891"
"2022-01-03T06:00:00.000Z","36.19","58.98","36.19","48.74","35.01","26.49","146,857,788"
"2023-01-03T06:00:00.000Z","48.55","58.22","44.22","57.91","18.81","10.29","79,477,740"
