"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"1968-01-01T06:00:00.000Z","7.21","9.33","6.07","8.78","","-5.83","50,055,758"
"1969-01-01T06:00:00.000Z","8.49","10.68","8.14","8.66","-1.33","-7.16","31,226,202"
"1970-01-01T06:00:00.000Z","8.93","9.25","6.62","8.23","-5.05","-10.89","25,539,578"
"1971-01-01T06:00:00.000Z","7.91","9.33","6.71","8.17","-0.7099","-6.54","35,488,041"
"1972-01-03T06:00:00.000Z","8.17","9.80","7.85","9.77","19.64","13.81","32,352,726"
"1973-01-01T06:00:00.000Z","9.77","13.30","7.70","12.14","24.18","18.34","48,206,344"
"1974-01-01T06:00:00.000Z","12.16","13.07","7.38","8.34","-31.25","-37.08","38,191,445"
"1975-01-01T06:00:00.000Z","8.52","14.35","8.08","13.48","61.54","55.70","49,236,884"
"1976-01-01T06:00:00.000Z","13.48","18.61","13.45","16.07","19.26","13.43","62,341,686"
"1977-01-03T06:00:00.000Z","16.07","16.25","9.10","10.21","-36.48","-42.31","63,889,388"
"1978-01-02T06:00:00.000Z","10.21","11.49","8.20","8.52","-16.57","-22.41","74,466,919"
"1979-01-01T06:00:00.000Z","8.52","11.11","8.31","8.63","1.37","-4.46","68,238,260"
"1980-01-01T06:00:00.000Z","8.63","11.17","7.12","9.80","13.51","7.68","124,903,852"
"1981-01-01T06:00:00.000Z","9.80","12.02","8.66","9.13","-6.85","-12.68","74,410,786"
"1982-01-01T06:00:00.000Z","9.13","12.05","7.64","11.29","23.64","17.81","148,327,331"
"1983-01-03T06:00:00.000Z","11.29","14.00","10.74","13.77","21.96","16.13","196,848,881"
"1984-01-02T06:00:00.000Z","13.77","13.97","10.74","12.57","-8.69","-14.52","244,992,068"
"1985-01-01T06:00:00.000Z","12.51","13.48","10.33","11.84","-5.80","-11.63","237,256,799"
"1986-01-01T06:00:00.000Z","11.84","18.70","11.29","17.53","48.03","42.19","363,597,660"
"1987-01-01T06:00:00.000Z","17.62","26.98","12.60","19.72","12.48","6.65","482,444,089"
"1988-01-01T06:00:00.000Z","19.95","23.05","17.04","21.65","9.76","3.93","271,750,556"
"1989-01-02T06:00:00.000Z","21.65","27.42","21.06","26.37","21.83","16.00","272,971,786"
