"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"1971-10-01T05:00:00.000Z","0.3607","0.3935","0.2739","0.3935","","-14.11","20,828,880"
"1972-01-03T06:00:00.000Z","0.3839","0.5536","0.3511","0.3781","-3.91","-18.03","96,680,848"
"1973-01-01T06:00:00.000Z","0.3781","0.3916","0.1447","0.1620","-57.15","-71.27","48,457,164"
"1974-01-01T06:00:00.000Z","0.1620","0.2006","0.1196","0.1312","-19.01","-33.13","19,719,890"
"1975-01-01T06:00:00.000Z","0.1331","0.2932","0.1331","0.2546","94.05","79.94","27,670,188"
"1976-01-01T06:00:00.000Z","0.2527","0.4880","0.2527","0.4803","88.65","74.53","46,376,818"
"1977-01-03T06:00:00.000Z","0.4784","0.6887","0.4398","0.6713","39.77","25.65","34,374,982"
"1978-01-02T06:00:00.000Z","0.6713","0.9086","0.6019","0.7436","10.77","-3.34","35,650,950"
"1979-01-01T06:00:00.000Z","0.7436","0.9861","0.7234","0.9271","24.68","10.56","44,379,394"
"1980-01-01T06:00:00.000Z","0.9271","1.04","0.7431","0.8646","-6.74","-20.86","48,281,040"
"1981-01-01T06:00:00.000Z","0.8646","1.04","0.7847","0.9063","4.82","-9.29","32,095,624"
"1982-01-01T06:00:00.000Z","0.8958","1.38","0.7083","1.34","47.89","33.77","36,602,750"
"1983-01-03T06:00:00.000Z","1.33","1.72","1.28","1.44","7.77","-6.34","78,801,722"
"1984-01-02T06:00:00.000Z","1.44","2.00","1.35","1.91","32.20","18.09","81,928,314"
"1985-01-01T06:00:00.000Z","1.90","2.44","1.84","2.38","24.73","10.62","103,567,736"
"1986-01-01T06:00:00.000Z","2.38","3.39","2.33","3.04","27.70","13.58","84,603,150"
"1987-01-01T06:00:00.000Z","3.04","4.83","2.53","3.53","15.98","1.87","131,574,718"
"1988-01-01T06:00:00.000Z","3.53","4.11","3.22","4.08","15.75","1.64","74,405,338"
"1989-01-02T06:00:00.000Z","4.08","6.31","4.06","5.44","33.16","19.05","94,891,864"
"1990-01-01T06:00:00.000Z","5.44","6.33","4.88","5.83","7.28","-6.83","106,790,820"
"1991-01-01T06:00:00.000Z","5.81","9.54","5.63","9.54","63.57","49.46","102,983,250"
"1992-01-01T06:00:00.000Z","9.46","11.92","8.58","11.63","21.83","7.72","99,576,758"
"1993-01-01T06:00:00.000Z","11.25","11.88","7.96","10.67","-8.24","-22.36","150,445,704"
"1994-01-03T06:00:00.000Z","10.67","11.96","9.17","10.71","0.3909","-13.72","94,086,188"
"1995-01-02T06:00:00.000Z","10.75","14.46","10.58","14.46","35.02","20.91","104,399,554"
"1996-01-01T06:00:00.000Z","14.38","16.75","13.21","15.83","9.51","-4.60","122,533,848"
"1997-01-01T06:00:00.000Z","15.75","26.50","15.67","24.91","57.30","43.19","145,301,166"
"1998-01-01T06:00:00.000Z","24.84","40.31","22.56","39.88","60.10","45.99","165,877,200"
"1999-01-01T06:00:00.000Z","39.38","58.38","34.41","57.69","44.67","30.56","197,276,900"
"2000-01-03T06:00:00.000Z","57.69","57.69","32.69","42.56","-26.22","-40.33","268,772,001"
"2001-01-01T06:00:00.000Z","42.50","47.44","18.25","29.54","-30.60","-44.71","480,487,795"
"2002-01-01T06:00:00.000Z","29.90","34.98","9.85","14.08","-52.34","-66.45","645,052,990"
"2003-01-01T06:00:00.000Z","14.08","16.50","7.20","15.60","10.80","-3.32","850,716,242"
"2004-01-01T06:00:00.000Z","15.66","17.31","10.47","13.40","-14.10","-28.22","662,215,297"
"2005-01-03T06:00:00.000Z","13.40","13.80","9.08","9.65","-27.99","-42.10","864,121,590"
"2006-01-02T06:00:00.000Z","9.66","12.83","7.79","12.24","26.84","12.73","919,226,098"
"2007-01-01T06:00:00.000Z","12.23","13.94","7.91","8.11","-33.74","-47.86","1,261,107,215"
"2008-01-01T06:00:00.000Z","8.12","10.47","2.57","3.96","-51.17","-65.29","1,723,601,557"
"2009-01-01T06:00:00.000Z","4.05","7.77","3.08","7.38","86.36","72.25","1,775,862,465"
"2010-01-01T06:00:00.000Z","7.45","11.24","6.21","10.62","43.90","29.79","1,710,227,866"
"2011-01-03T06:00:00.000Z","10.71","13.35","6.73","9.73","-8.38","-22.49","2,143,295,763"
"2012-01-02T06:00:00.000Z","9.98","12.17","9.04","11.02","13.26","-0.8562","1,651,966,683"
"2013-01-01T06:00:00.000Z","11.27","17.80","11.26","17.70","60.62","46.50","1,191,063,058"
"2014-01-01T06:00:00.000Z","17.60","21.16","15.90","20.77","17.34","3.23","1,251,576,943"
"2015-01-01T06:00:00.000Z","20.85","23.80","18.16","23.28","12.08","-2.03","896,389,475"
"2016-01-01T06:00:00.000Z","22.89","24.82","19.79","23.41","0.5584","-13.56","1,102,650,555"
"2017-01-02T06:00:00.000Z","23.65","25.71","18.30","20.16","-13.88","-28.00","1,213,357,673"
"2018-01-01T06:00:00.000Z","19.32","26.01","19.15","20.63","2.33","-11.78","1,169,260,568"
"2019-01-02T06:00:00.000Z","20.35","23.98","19.56","23.10","11.97","-2.14","912,377,761"
"2020-01-02T06:00:00.000Z","23.27","25.20","11.63","23.52","1.82","-12.30","1,145,843,908"
"2021-01-04T06:00:00.000Z","23.47","39.35","23.05","37.45","59.23","45.11","945,113,830"
"2022-01-03T06:00:00.000Z","37.68","39.98","25.14","33.31","-11.05","-25.17","884,444,506"
"2023-01-03T06:00:00.000Z","33.97","40.95","31.38","32.60","-2.13","-16.25","721,272,647"
