"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"1971-05-03T05:00:00.000Z","0.4104","0.4766","0.2399","0.2873","","-19.08","13,132,496"
"1972-01-03T06:00:00.000Z","0.2873","0.3157","0.2052","0.2399","-16.50","-35.57","7,736,176"
"1973-01-01T06:00:00.000Z","0.2431","0.3378","0.1831","0.2715","13.17","-5.90","5,685,760"
"1974-01-01T06:00:00.000Z","0.2778","0.4261","0.1294","0.1294","-52.34","-71.41","9,733,072"
"1975-01-01T06:00:00.000Z","0.1294","0.3599","0.1294","0.2336","80.53","61.45","14,499,584"
"1976-01-01T06:00:00.000Z","0.2304","0.3283","0.1957","0.3157","35.15","16.07","11,383,200"
"1977-01-03T06:00:00.000Z","0.3157","0.5871","0.2936","0.4309","36.49","17.41","24,247,840"
"1978-01-02T06:00:00.000Z","0.4309","0.6487","0.3362","0.4924","14.27","-4.80","21,415,728"
"1979-01-01T06:00:00.000Z","0.4830","0.6250","0.3977","0.5587","13.46","-5.61","18,630,368"
"1980-01-01T06:00:00.000Z","0.5587","1.33","0.3977","1.25","122.89","103.82","47,234,832"
"1981-01-01T06:00:00.000Z","1.22","1.44","0.8736","0.9091","-27.00","-46.07","23,653,648"
"1982-01-01T06:00:00.000Z","0.8949","0.8949","0.4545","0.7244","-20.32","-39.39","21,596,960"
"1983-01-03T06:00:00.000Z","0.7244","0.7599","0.4759","0.5327","-26.46","-45.54","19,557,120"
"1984-01-02T06:00:00.000Z","0.5256","0.5824","0.3054","0.3196","-40.00","-59.08","11,547,360"
"1985-01-01T06:00:00.000Z","0.3125","0.4545","0.2912","0.4545","42.21","23.13","15,882,240"
"1986-01-01T06:00:00.000Z","0.4545","0.6037","0.3551","0.5114","12.52","-6.56","18,596,160"
"1987-01-01T06:00:00.000Z","0.5114","1.16","0.4830","1.01","97.20","78.13","20,440,640"
"1988-01-01T06:00:00.000Z","1.01","1.47","0.8807","1.44","42.54","23.46","17,922,720"
"1989-01-02T06:00:00.000Z","1.44","1.80","1.39","1.70","18.48","-0.5995","29,507,200"
"1990-01-01T06:00:00.000Z","1.70","3.41","1.67","3.19","87.16","68.08","60,209,600"
"1991-01-01T06:00:00.000Z","3.17","7.22","2.52","6.75","111.76","92.69","57,926,800"
"1992-01-01T06:00:00.000Z","6.81","9.13","5.41","6.75","","-19.08","58,250,000"
"1993-01-01T06:00:00.000Z","6.75","7.47","5.00","5.97","-11.57","-30.65","51,047,200"
"1994-01-03T06:00:00.000Z","5.91","6.72","4.22","4.63","-22.51","-41.59","50,524,800"
"1995-01-02T06:00:00.000Z","4.69","6.44","4.31","6.25","35.14","16.06","43,955,600"
"1996-01-01T06:00:00.000Z","6.41","7.34","4.91","5.91","-5.50","-24.58","58,630,000"
"1997-01-01T06:00:00.000Z","5.88","8.14","5.81","6.34","7.41","-11.67","65,547,600"
"1998-01-01T06:00:00.000Z","6.34","10.19","6.19","10.19","60.59","41.51","74,451,600"
"1999-01-01T06:00:00.000Z","10.14","10.69","7.31","8.13","-20.25","-39.32","63,934,800"
"2000-01-03T06:00:00.000Z","8.14","12.30","6.55","11.55","42.12","23.04","87,892,400"
"2001-01-01T06:00:00.000Z","11.56","18.93","10.56","16.50","42.90","23.82","255,648,800"
"2002-01-01T06:00:00.000Z","16.44","21.45","13.05","17.80","7.88","-11.20","160,192,200"
"2003-01-01T06:00:00.000Z","17.88","24.97","17.48","24.00","34.86","15.78","168,635,018"
"2004-01-01T06:00:00.000Z","23.98","24.11","18.43","23.89","-0.4582","-19.53","180,579,000"
"2005-01-03T06:00:00.000Z","23.85","34.70","22.32","33.94","42.02","22.94","188,147,200"
"2006-01-02T06:00:00.000Z","34.40","46.63","33.90","40.77","20.14","1.07","244,015,400"
"2007-01-01T06:00:00.000Z","41.15","99.62","38.25","95.61","134.51","115.43","275,973,975"
"2008-01-01T06:00:00.000Z","95.61","103.29","26.00","48.10","-49.69","-68.77","527,163,341"
"2009-01-01T06:00:00.000Z","48.96","54.71","30.16","37.61","-21.81","-40.88","599,967,328"
"2010-01-01T06:00:00.000Z","38.10","50.68","34.39","45.85","21.91","2.83","388,635,964"
"2011-01-03T06:00:00.000Z","46.21","55.73","30.74","40.58","-11.49","-30.57","366,356,984"
"2012-01-02T06:00:00.000Z","41.59","48.17","33.61","42.57","4.90","-14.17","233,432,800"
"2013-01-01T06:00:00.000Z","43.51","64.27","43.30","62.99","47.97","28.89","217,603,112"
"2014-01-01T06:00:00.000Z","63.67","66.88","39.78","44.69","-29.05","-48.13","291,964,901"
"2015-01-01T06:00:00.000Z","44.81","48.25","36.05","41.95","-6.13","-25.21","332,554,679"
"2016-01-01T06:00:00.000Z","41.35","63.42","34.76","57.00","35.88","16.80","235,864,866"
"2017-01-02T06:00:00.000Z","57.69","69.35","49.31","65.96","15.72","-3.36","207,106,019"
"2018-01-01T06:00:00.000Z","66.50","82.24","55.17","58.46","-11.37","-30.45","311,929,834"
"2019-01-02T06:00:00.000Z","57.52","98.08","56.94","89.83","53.66","34.58","270,570,229"
"2020-01-02T06:00:00.000Z","89.90","111.17","59.29","108.96","21.30","2.22","225,671,317"
"2021-01-04T06:00:00.000Z","109.00","149.55","100.05","139.23","27.78","8.70","148,116,944"
"2022-01-03T06:00:00.000Z","139.52","150.32","106.78","120.07","-13.76","-32.84","153,113,154"
"2023-01-03T06:00:00.000Z","120.51","137.61","109.00","135.38","12.75","-6.33","104,770,768"
